년도,시도,사설학원수,대학교_숫자,중학생인원수변화,초등학생인원수변화,고등학생인원수변화,유치원원아수변화,대학생숫자,의원,병원,종합병원,상급종합병원,의사,치과의사,한의사,약사,간호사,기타보건의료인,주택수,빈집수,자동차등록대수,활동,신생,소멸,상용_월평균_임금,임금상승률,"협회 및 단체, 수리 및 기타 개인서비스업_활동","협회 및 단체, 수리 및 기타 개인서비스업_신생","협회 및 단체, 수리 및 기타 개인서비스업_소멸","예술, 스포츠 및 여가관련 서비스업_활동","예술, 스포츠 및 여가관련 서비스업_신생","예술, 스포츠 및 여가관련 서비스업_소멸",보건업 및 사회복지 서비스업_활동,보건업 및 사회복지 서비스업_신생,보건업 및 사회복지 서비스업_소멸,교육서비스업_활동,교육서비스업_신생,교육서비스업_소멸,"사업 시설관리, 사업지원 및 임대 서비스업_활동","사업 시설관리, 사업지원 및 임대 서비스업_신생","사업 시설관리, 사업지원 및 임대 서비스업_소멸","전문, 과학 및 기술서비스업_활동","전문, 과학 및 기술서비스업_신생","전문, 과학 및 기술서비스업_소멸",부동산업_활동,부동산업_신생,부동산업_소멸,금융 및 보험업_활동,금융 및 보험업_신생,금융 및 보험업_소멸,정보통신업_활동,정보통신업_신생,정보통신업_소멸,숙박 및 음식점업_활동,숙박 및 음식점업_신생,숙박 및 음식점업_소멸,운수 및 창고업_활동,운수 및 창고업_신생,운수 및 창고업_소멸,도매 및 소매업_활동,도매 및 소매업_신생,도매 및 소매업_소멸,건설업_활동,건설업_신생,건설업_소멸,"수도, 하수 및 폐기물처리, 원료재생업_활동","수도, 하수 및 폐기물처리, 원료재생업_신생","수도, 하수 및 폐기물처리, 원료재생업_소멸","전기, 가스, 증기 및 공기조절 공급업_활동","전기, 가스, 증기 및 공기조절 공급업_신생","전기, 가스, 증기 및 공기조절 공급업_소멸",제조업_활동,제조업_신생,제조업_소멸,광업_활동,광업_신생,광업_소멸,총_인구,남성_인구,여성_인구,부채,자산(만원),농가수,어가수,백화점판매액,대형소매점,예금은행대출금액,예금액,지방세
2013,전라남도,2787,19,67888,99206,75837,18895,85497,894,76,21,1,2861.0,640.0,686.0,1149.0,5849.0,1788.0,,,13688569,167320,21373,19645,2723586.0,2.3,8064,875,973,2896,520,570,1989,154,114,3471,647,594,1910,324,273,2191,288,162,18206,2288,2179,280,47,71,528,81,70,29272,5263,5097,21435,1431,1086,44927,6356,5943,17856,1295,1046,459,56,34,792,212,27,12439,1433,1344,605,103,62,1907172,952597,954575,,,164834.0,21747.0,,,15968.2,24216.2,1599464.0
2013,울산광역시,2303,4,45860,67156,49863,19032,36162,537,42,4,0,1499.0,452.0,373.0,608.0,2950.0,601.0,,,6948158,107882,15349,13323,2834007.0,-3.5,5455,638,622,2660,416,487,1382,117,83,3349,694,556,2133,396,331,2622,526,232,18438,2154,1752,274,49,76,351,62,47,18643,3807,3639,12115,786,654,23629,3700,3355,7928,815,606,226,24,12,23,3,0,8637,1161,867,17,1,4,1156480,595319,561161,,,11997.0,947.0,,,19560.1,14588.0,1413522.0
2013,충청북도,2365,16,57623,88860,62812,17446,134245,775,40,10,1,2186.0,478.0,541.0,925.0,3148.0,1080.0,,,10573419,160877,21984,20940,2513146.0,4.3,7935,934,1014,3439,681,710,1775,133,129,3953,722,724,2641,543,412,2350,326,235,25894,3282,3101,316,64,81,628,120,88,26719,5016,4963,17003,1148,1218,39433,6185,6117,14670,1177,966,447,40,32,225,77,3,13359,1531,1139,90,5,8,1572732,792862,779870,,,78717.0,,,,17211.7,18654.6,1431512.0
2013,대전광역시,2159,15,59997,93398,58950,25263,151320,995,39,8,1,3246.0,727.0,660.0,1082.0,4570.0,1334.0,,,8274122,151948,22390,20716,2722674.0,3.0,7663,1034,979,3570,748,745,2339,173,129,4663,953,890,2688,551,460,3211,526,368,28927,3337,3198,541,109,152,1455,294,214,21808,4822,4571,15518,1217,1064,40373,6740,6387,9832,959,861,137,6,11,35,8,0,9185,913,687,3,0,0,1532811,767309,765502,,,9518.0,,,,23859.8,23975.3,1258482.0
2013,강원도,2326,18,54755,83187,56601,16007,138500,695,47,14,1,2403.0,588.0,477.0,900.0,4122.0,875.0,,,9832254,161152,19937,19940,2437051.0,3.2,8753,814,955,3652,619,674,1682,129,114,4168,776,837,2403,410,381,2311,313,204,24245,2352,2667,341,80,91,663,139,112,35201,6113,5838,12622,883,833,39469,5355,5455,17051,1102,990,407,25,30,142,43,9,7877,773,734,165,11,16,1542263,776498,765765,,,71203.0,2666.0,,,13259.9,14145.8,1330566.0
2013,제주특별자치도,978,4,23887,38235,23713,5295,29758,331,6,7,0,940.0,202.0,188.0,361.0,1998.0,456.0,,,7670794,64751,9560,7964,2217146.0,3.8,3488,387,438,1493,222,246,755,70,39,1599,250,241,1523,258,250,993,152,85,9243,1335,982,123,24,27,345,73,57,13887,2989,2487,6841,432,392,16266,2633,2230,5490,501,276,96,6,6,41,11,1,2553,217,207,15,0,0,593806,297504,296302,,,38502.0,4752.0,,,7325.0,1360.9,768612.0
2013,세종특별자치시,108,2,3797,7090,3528,1305,25608,57,1,0,0,96.0,31.0,33.0,64.0,93.0,60.0,,,2164838,11658,2285,1435,0.0,0.0,456,61,56,213,51,50,115,15,5,264,72,54,180,42,21,219,64,28,2222,596,284,14,3,2,53,17,8,1826,452,287,1428,148,100,2393,426,364,1173,209,90,39,4,1,14,3,0,1040,121,84,9,1,1,122153,62205,59948,,,,,,,2429.1,144173.5,216598.0
2014,경기도,18074,61,439888,732307,452698,181812,482796,6032,283,50,5,17543.0,4722.0,3561.0,7013.0,25878.0,8104.0,,,73393515,1329135,208051,187472,2784899.0,1.8,55041,9149,7309,25506,5508,4830,15564,1309,723,33317,7030,5368,21238,4842,3506,26164,4779,3058,319323,44855,55589,2964,759,669,14219,3060,2063,159788,36735,30457,133052,12041,11406,292716,51661,43247,72503,9510,6946,2299,220,154,582,264,17,154756,16319,12119,103,10,11,12357830,6219813,6138017,,,129904.0,850.0,,,268494.6,14808.7,15216198.0
2014,서울특별시,13671,48,286826,457517,320398,91195,575724,7655,210,40,17,27465.0,6648.0,4512.0,8217.0,37660.0,6750.0,,,38005651,1285898,181516,187357,3199814.0,1.0,48403,6868,6262,24334,4708,4322,20123,1546,1008,29136,5718,4388,24572,4392,3120,54304,9562,5666,335740,37892,47061,10270,2081,1508,38009,6705,4517,142059,29498,25635,104709,8750,30201,321817,50223,42959,56813,5629,4389,506,35,31,213,62,12,74839,7841,6269,51,6,9,10103233,4979768,5123465,,,2751.0,,,,494441.9,565416.1,14502519.0
2014,경상남도,5885,21,118400,186973,115580,49011,128959,1496,144,22,1,4807.0,1208.0,1112.0,1754.0,8951.0,2359.0,,,21770014,347170,54236,47184,2678468.0,2.5,16242,2426,1965,5891,1248,1165,3830,310,164,9524,2185,1725,5386,1192,835,6764,1284,645,52440,8695,10026,707,150,124,1182,210,175,61021,13055,11241,31329,2124,1743,79711,12751,11077,25462,2142,1571,819,86,69,482,228,15,46285,6140,4634,95,10,10,3350257,1687114,1663143,,,135112.0,9050.0,,,62681.3,7638.4,4195428.0
