"시점","시군구별(1)",산부인과,소아청소년과
"2017.4/4","충북",45,53
"2017.4/4","충남",43,63
"2017.4/4","전북",50,74
"2017.4/4","전남",21,28
"2017.4/4","경북",55,72
"2017.4/4","경남",64,106
"2017.4/4","제주",21,27
"2018.4/4","서울",394,509
"2018.4/4","부산",65,137
"2018.4/4","대구",87,112
"2018.4/4","인천",59,148
"2018.4/4","광주",37,43
"2018.4/4","대전",45,64
"2018.4/4","울산",32,36
"2018.4/4","세종",6,22
"2018.4/4","경기",268,675
"2018.4/4","강원",31,53
"2018.4/4","충북",41,50
"2018.4/4","충남",42,62
"2018.4/4","전북",50,76
"2018.4/4","전남",19,27
"2018.4/4","경북",54,74
"2018.4/4","경남",59,105
"2018.4/4","제주",22,28
"2019.4/4","서울",391,501
"2019.4/4","부산",67,134
"2019.4/4","대구",91,115
"2019.4/4","인천",59,149
"2019.4/4","광주",35,47
"2019.4/4","대전",46,62
"2019.4/4","울산",33,36
"2019.4/4","세종",7,21
"2019.4/4","경기",264,687
"2019.4/4","강원",32,54
"2019.4/4","충북",40,51
"2019.4/4","충남",42,62
"2019.4/4","전북",50,76
"2019.4/4","전남",19,27
"2019.4/4","경북",54,73
"2019.4/4","경남",58,100
"2019.4/4","제주",23,32
"2020.4/4","서울",385,475
"2020.4/4","부산",67,128
"2020.4/4","대구",87,112
"2020.4/4","인천",60,140
"2020.4/4","광주",36,43
"2020.4/4","대전",44,59
"2020.4/4","울산",34,35
"2020.4/4","세종",7,22
"2020.4/4","경기",265,672
"2020.4/4","강원",32,56
"2020.4/4","충북",40,51
"2020.4/4","충남",43,67
"2020.4/4","전북",48,68
"2020.4/4","전남",18,25
"2020.4/4","경북",53,73
"2020.4/4","경남",59,98
"2020.4/4","제주",23,34
"2021.4/4","서울",397,455
"2021.4/4","부산",67,132
"2021.4/4","대구",84,114
"2021.4/4","인천",59,137
"2021.4/4","광주",36,42
"2021.4/4","대전",43,59
"2021.4/4","울산",32,32
"2021.4/4","세종",9,22
"2021.4/4","경기",272,657
"2021.4/4","강원",32,56
"2021.4/4","충북",39,54
"2021.4/4","충남",42,64
"2021.4/4","전북",48,65
"2021.4/4","전남",18,26
"2021.4/4","경북",51,71
"2021.4/4","경남",61,91
"2021.4/4","제주",23,34
"2022.3/4","서울",393,454
"2022.3/4","부산",68,136
"2022.3/4","대구",79,116
"2022.3/4","인천",60,141
"2022.3/4","광주",36,41
"2022.3/4","대전",41,58
"2022.3/4","울산",30,32
"2022.3/4","세종",9,22
"2022.3/4","경기",287,663
"2022.3/4","강원",33,57
"2022.3/4","충북",39,55
"2022.3/4","충남",41,66
"2022.3/4","전북",50,66
"2022.3/4","전남",18,26
"2022.3/4","경북",50,70
"2022.3/4","경남",61,92
"2022.3/4","제주",22,34
