"시도별(1)","시점",합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,인턴,인턴,인턴,인턴,인턴,인턴,인턴,인턴,인턴,인턴,인턴,인턴,인턴,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의
"시도별(1)","시점",전체,상급종합,종합병원,종합병원,종합병원,종합병원,병원,병원,병원,요양병원,요양병원,요양병원,요양병원,의원,의원,의원,보건소 및 보건기관,기타,전체,상급종합,종합병원,종합병원,종합병원,종합병원,병원,병원,병원,요양병원,요양병원,요양병원,요양병원,의원,의원,의원,보건소 및 보건기관,기타,전체,상급종합,종합병원,종합병원,종합병원,종합병원,병원,병원,병원,요양병원,의원,의원,보건소 및 보건기관,전체,상급종합,종합병원,종합병원,종합병원,종합병원,병원,병원,병원,요양병원,요양병원,의원,의원,전체,상급종합,종합병원,종합병원,종합병원,종합병원,병원,병원,병원,요양병원,요양병원,요양병원,요양병원,의원,의원,의원,보건소 및 보건기관,기타
"시도별(1)","시점",소계,소계,소계,500병상 이상,300-499병상,100-299병상,소계,100병상 이상,30-99병상,소계,300병상 이상,100-299병상,30-99병상,소계,병상있음,병상없음,소계,소계,소계,소계,소계,500병상 이상,300-499병상,100-299병상,소계,100병상 이상,30-99병상,소계,300병상 이상,100-299병상,30-99병상,소계,병상있음,병상없음,소계,소계,소계,소계,소계,500병상 이상,300-499병상,100-299병상,소계,100병상 이상,30-99병상,소계,소계,병상없음,소계,소계,소계,소계,500병상 이상,300-499병상,100-299병상,소계,100병상 이상,30-99병상,소계,300병상 이상,소계,병상없음,소계,소계,소계,500병상 이상,300-499병상,100-299병상,소계,100병상 이상,30-99병상,소계,300병상 이상,100-299병상,30-99병상,소계,병상있음,병상없음,소계,소계
"전국","2020",99492,20236,20316,10287,4920,5109,10238,4751,5487,5434,866,4243,325,41938,8240,33698,989,341,6128,854,339,165,79,95,255,141,114,682,92,529,61,3344,310,3034,550,104,3388,2234,1149,937,162,50,3,2,1,-,-,-,2,8665,5423,3145,2367,658,120,92,72,20,4,4,1,1,81311,11725,15683,6818,4021,4844,9888,4536,5352,4748,770,3714,264,38593,7930,30663,437,237
"서울","2010",21646,8881,3453,1955,1008,490,1207,494,713,187,-,123,64,7803,1649,6154,113,2,1217,375,89,38,29,22,43,21,22,32,-,17,15,652,87,565,26,-,1003,741,262,148,111,3,-,-,-,-,-,-,-,4674,3459,1157,774,352,31,58,58,-,-,-,-,-,14752,4306,1945,995,516,434,1106,415,691,155,-,106,49,7151,1562,5589,87,2
"서울","2011",22891,9464,3545,1827,1277,441,1292,520,772,230,9,160,61,8237,1775,6462,112,11,1318,440,100,50,35,15,36,19,17,40,1,24,15,677,94,583,24,1,970,763,207,85,118,4,-,-,-,-,-,-,-,4879,3604,1219,753,444,22,56,56,-,-,-,-,-,15724,4657,2019,939,680,400,1200,445,755,190,8,136,46,7560,1681,5879,88,10
"서울","2012",24013,9788,3555,1748,1327,480,1447,544,903,271,9,198,64,8821,1910,6911,116,15,1478,566,114,45,44,25,39,19,20,42,1,24,17,691,86,605,24,2,793,554,239,136,99,4,-,-,-,-,-,-,-,4604,3449,1103,640,441,22,52,52,-,-,-,-,-,17138,5219,2099,927,743,429,1356,473,883,229,8,174,47,8130,1824,6306,92,13
"서울","2013",24675,9899,3584,1827,1082,675,1639,613,1026,311,9,241,61,9111,1987,7124,119,12,1550,612,114,39,49,26,41,20,21,46,1,30,15,710,87,623,23,4,783,597,185,93,74,18,-,-,-,-,1,1,-,4452,3293,1106,697,306,103,53,52,1,-,-,-,-,17890,5397,2179,998,653,528,1545,541,1004,265,8,211,46,8400,1900,6500,96,8
"서울","2014",25551,10796,3400,1830,1027,543,1699,667,1032,325,17,254,54,9183,2008,7175,132,16,1596,664,97,41,35,21,48,24,24,44,2,32,10,707,84,623,32,4,1080,875,205,101,96,8,-,-,-,-,-,-,-,4828,3756,1020,681,308,31,52,50,2,-,-,-,-,18047,5501,2078,1007,588,483,1599,593,1006,281,15,222,44,8476,1924,6552,100,12
"서울","2015",25930,9936,4192,2316,1135,741,1713,590,1123,380,45,279,56,9554,2070,7484,135,20,1650,694,101,50,26,25,49,26,23,48,4,33,11,723,85,638,31,4,996,645,351,191,140,20,-,-,-,-,-,-,-,4706,3442,1213,783,341,89,51,47,4,-,-,-,-,18578,5155,2527,1292,628,607,1613,517,1096,332,41,246,45,8831,1985,6846,104,16
"서울","2016",26596,9960,4313,2097,1441,775,1800,564,1236,396,47,296,53,9970,2107,7863,125,32,1632,677,91,50,19,22,51,25,26,59,5,44,10,724,72,652,23,7,1167,683,484,247,197,40,-,-,-,-,-,-,-,4432,3314,1068,607,413,48,50,40,10,-,-,-,-,19365,5286,2670,1193,812,665,1699,499,1200,337,42,252,43,9246,2035,7211,102,25
"서울","2017",27609,10017,4439,2185,1197,1057,1920,632,1288,444,63,339,42,10630,2202,8428,122,37,1995,914,112,61,21,30,52,20,32,60,9,46,5,820,91,729,27,10,1481,903,578,436,115,27,-,-,-,-,-,-,-,3692,2703,940,416,395,129,49,39,10,-,-,-,-,20441,5497,2809,1272,666,871,1819,573,1246,384,54,293,37,9810,2111,7699,95,27
"서울","2018",27512,9350,4924,2675,1252,997,1885,613,1272,459,77,337,45,10717,2151,8566,126,51,1924,835,136,94,18,24,54,23,31,54,9,40,5,805,85,720,29,11,1046,677,368,203,145,20,-,-,-,-,1,1,-,4008,2630,1335,854,366,115,43,37,6,-,-,-,-,20534,5208,3085,1524,723,838,1788,553,1235,405,68,297,40,9911,2066,7845,97,40
