"시점","시도별",데이터
"2015","전국",32658
"2015","서울특별시",41857
"2015","부산광역시",25773
"2015","대구광역시",24660
"2015","인천광역시",28034
"2015","광주광역시",25687
"2015","대전광역시",27125
"2015","울산광역시",49381
"2015","세종특별자치시",44463
"2015","경기도",33028
"2015","강원도",24761
"2015","충청북도",28839
"2015","충청남도",35458
"2015","전라북도",24176
"2015","전라남도",32733
"2015","경상북도",32427
"2015","경상남도",29523
"2015","제주특별자치도",27314
"2016","전국",34167
"2016","서울특별시",44111
"2016","부산광역시",26883
"2016","대구광역시",25551
"2016","인천광역시",29689
"2016","광주광역시",27373
"2016","대전광역시",28124
"2016","울산광역시",52205
"2016","세종특별자치시",41018
"2016","경기도",34591
"2016","강원도",25331
"2016","충청북도",30527
"2016","충청남도",37554
"2016","전라북도",24689
"2016","전라남도",33786
"2016","경상북도",33697
"2016","경상남도",30370
"2016","제주특별자치도",29342
"2017","전국",35977
"2017","서울특별시",46715
"2017","부산광역시",27592
"2017","대구광역시",26561
"2017","인천광역시",30990
"2017","광주광역시",28759
"2017","대전광역시",30102
"2017","울산광역시",52237
"2017","세종특별자치시",40876
"2017","경기도",37588
"2017","강원도",27216
"2017","충청북도",31951
"2017","충청남도",39338
"2017","전라북도",25710
"2017","전라남도",34542
"2017","경상북도",33828
"2017","경상남도",31033
"2017","제주특별자치도",30863
"2018","전국",37014
"2018","서울특별시",48362
"2018","부산광역시",28287
"2018","대구광역시",27004
"2018","인천광역시",31363
"2018","광주광역시",29759
"2018","대전광역시",30529
"2018","울산광역시",52694
"2018","세종특별자치시",37243
"2018","경기도",39150
"2018","강원도",28471
"2018","충청북도",33672
"2018","충청남도",39935
"2018","전라북도",26783
"2018","전라남도",35159
"2018","경상북도",34530
"2018","경상남도",30987
"2018","제주특별자치도",31193
"2019","전국",37596
"2019","서울특별시",48693
"2019","부산광역시",29259
"2019","대구광역시",27700
"2019","인천광역시",32873
"2019","광주광역시",31186
"2019","대전광역시",31566
"2019","울산광역시",54190
"2019","세종특별자치시",38186
"2019","경기도",38929
"2019","강원도",29397
"2019","충청북도",34889
"2019","충청남도",41089
"2019","전라북도",28302
"2019","전라남도",35673
"2019","경상북도",35038
"2019","경상남도",32035
"2019","제주특별자치도",30710
"2020","전국",37842
"2020","서울특별시",49006
"2020","부산광역시",29643
"2020","대구광역시",27934
"2020","인천광역시",32724
"2020","광주광역시",31674
"2020","대전광역시",32080
"2020","울산광역시",53908
"2020","세종특별자치시",37869
"2020","경기도",38819
"2020","강원도",28891
"2020","충청북도",35403
"2020","충청남도",42073
"2020","전라북도",29515
"2020","전라남도",38605
"2020","경상북도",35471
"2020","경상남도",31550
"2020","제주특별자치도",30030
"2021 p)","전국",40571
"2021 p)","서울특별시",54209
"2021 p)","부산광역시",32014
"2021 p)","대구광역시",29353
"2021 p)","인천광역시",35818
"2021 p)","광주광역시",32999
"2021 p)","대전광역시",33810
"2021 p)","울산광역시",59346
"2021 p)","세종특별자치시",39730
"2021 p)","경기도",41011
"2021 p)","강원도",30858
"2021 p)","충청북도",37903
"2021 p)","충청남도",45544
"2021 p)","전라북도",31157
"2021 p)","전라남도",38857
"2021 p)","경상북도",38000
"2021 p)","경상남도",32968
"2021 p)","제주특별자치도",31999
