"시점","행정구역별",데이터
"2008","광주광역시",11282.4
"2008","대전광역시",16458.2
"2008","울산광역시",9916.9
"2008","세종특별자치시",95938.1
"2008","경기도",10560.6
"2008","강원도",10068
"2008","충청북도",12489.9
"2008","충청남도",12965.9
"2008","전라북도",12469.8
"2008","전라남도",17619.1
"2008","경상북도",27092.5
"2008","경상남도",4751.9
"2009","전국",751272.7
"2009","서울특별시",403096.2
"2009","부산광역시",41827
"2009","대구광역시",26009.3
"2009","인천광역시",24456.2
"2009","광주광역시",12518.6
"2009","대전광역시",17755.7
"2009","울산광역시",10425.8
"2009","세종특별자치시",105995.5
"2009","경기도",10453.3
"2009","강원도",10166.8
"2009","충청북도",12711.1
"2009","충청남도",13340.6
"2009","전라북도",12790.8
"2009","전라남도",17519.2
"2009","경상북도",27461.7
"2009","경상남도",4744.8
"2010","전국",873890.6
"2010","서울특별시",484568.5
"2010","부산광역시",48583.9
"2010","대구광역시",29739.4
"2010","인천광역시",26323.7
"2010","광주광역시",13858.6
"2010","대전광역시",20508.5
"2010","울산광역시",11707.8
"2010","세종특별자치시",118623.4
"2010","경기도",11416.9
"2010","강원도",11318.1
"2010","충청북도",14374.2
"2010","충청남도",15105.2
"2010","전라북도",13303.1
"2010","전라남도",19368.3
"2010","경상북도",29708.1
"2010","경상남도",5382.9
"2011","전국",947801.4
"2011","서울특별시",514010.6
"2011","부산광역시",54734.7
"2011","대구광역시",33694.1
"2011","인천광역시",28061.2
"2011","광주광역시",15775.4
"2011","대전광역시",22604.5
"2011","울산광역시",12897.8
"2011","세종특별자치시",131385.1
"2011","경기도",12626.3
"2011","강원도",12893.8
"2011","충청북도",16721.5
"2011","충청남도",16632.8
"2011","전라북도",14949.3
"2011","전라남도",21676.5
"2011","경상북도",32927.1
"2011","경상남도",6210.7
"2012","전국",990273.1
"2012","서울특별시",536133.2
"2012","부산광역시",57404.3
"2012","대구광역시",34922.4
"2012","인천광역시",29395.1
"2012","광주광역시",16577.8
"2012","대전광역시",23234.8
"2012","울산광역시",13631.6
"2012","세종특별자치시",137650.9
"2012","경기도",13162.3
"2012","강원도",13335.2
"2012","충청북도",17305.6
"2012","충청남도",17262.1
"2012","전라북도",15835.7
"2012","전라남도",22857
"2012","경상북도",34223.9
"2012","경상남도",6443.1
"2012","제주특별자치도",898.1
"2013","전국",1009685.4
"2013","서울특별시",532689.2
"2013","부산광역시",59554.5
"2013","대구광역시",37541.7
"2013","인천광역시",31197.4
"2013","광주광역시",18041.6
"2013","대전광역시",23975.3
"2013","울산광역시",14588
"2013","세종특별자치시",144173.5
"2013","경기도",13718.5
"2013","강원도",14145.8
"2013","충청북도",18654.6
"2013","충청남도",17957.6
"2013","전라북도",15924.7
"2013","전라남도",24216.2
"2013","경상북도",35242.6
"2013","경상남도",6703.3
"2013","제주특별자치도",1360.9
"2014","전국",1080543.3
"2014","서울특별시",565416.1
"2014","부산광역시",67846.8
"2014","대구광역시",42203.2
"2014","인천광역시",32603.1
"2014","광주광역시",19139.3
"2014","대전광역시",25692.5
"2014","울산광역시",14873.6
"2014","세종특별자치시",153813.3
"2014","경기도",14808.7
"2014","강원도",15124.3
"2014","충청북도",19741.1
"2014","충청남도",18907.1
"2014","전라북도",17303.3
"2014","전라남도",25822.9
"2014","경상북도",37942.2
"2014","경상남도",7638.4
"2014","제주특별자치도",1667.4
"2015","전국",1163727.4
"2015","서울특별시",600391.1
"2015","부산광역시",73156.4
"2015","대구광역시",46861.6
"2015","인천광역시",35680
"2015","광주광역시",21419.9
"2015","대전광역시",28045.8
"2015","울산광역시",15505.6
"2015","세종특별자치시",169215.4
"2015","경기도",15664.1
"2015","강원도",16285.4
"2015","충청북도",22462.1
"2015","충청남도",20055.2
"2015","전라북도",19700.1
"2015","전라남도",28207.6
"2015","경상북도",39657.4
"2015","경상남도",8886.4
"2015","제주특별자치도",2533.3
"2016","전국",1240973.6
"2016","서울특별시",628071.1
"2016","부산광역시",79929.2
"2016","대구광역시",47164.2
"2016","인천광역시",40274.6
"2016","광주광역시",24067.4
"2016","대전광역시",28605.4
"2016","울산광역시",16080.5
"2016","세종특별자치시",184606.3
"2016","경기도",22669.9
"2016","강원도",17522.2
"2016","충청북도",22611.6
"2016","충청남도",21020.7
"2016","전라북도",20112.5
"2016","전라남도",30487.5
"2016","경상북도",42454.8
"2016","경상남도",9587.6
"2016","제주특별자치도",5708.1
"2017","전국",1305558.4
"2017","서울특별시",664687
"2017","부산광역시",81765.8
"2017","대구광역시",48356.4
"2017","인천광역시",43007.6
"2017","광주광역시",24235.1
"2017","대전광역시",30601.9
"2017","울산광역시",15899.4
"2017","세종특별자치시",195344.5
"2017","경기도",23775.3
"2017","강원도",18707.2
"2017","충청북도",23823.3
"2017","충청남도",22690.2
"2017","전라북도",20753.7
"2017","전라남도",30995.6
"2017","경상북도",43283.8
"2017","경상남도",9896.2
"2017","제주특별자치도",7735.5
"2018","전국",1394987.3
"2018","서울특별시",728762.8
"2018","부산광역시",80983.6
"2018","대구광역시",48437.4
"2018","인천광역시",44338
"2018","광주광역시",24104.4
"2018","대전광역시",30908.9
"2018","울산광역시",15886.4
"2018","세종특별자치시",206787.8
"2018","경기도",23680.4
"2018","강원도",19412.9
"2018","충청북도",24605
"2018","충청남도",27566.9
"2018","전라북도",22167.1
"2018","전라남도",32334.2
"2018","경상북도",43841.2
"2018","경상남도",9305.7
"2018","제주특별자치도",11864.7
"2019","전국",1515519.5
"2019","서울특별시",791160.6
"2019","부산광역시",90142.9
"2019","대구광역시",52113.4
"2019","인천광역시",46757.3
"2019","광주광역시",25261.5
"2019","대전광역시",33905.4
"2019","울산광역시",16646.3
"2019","세종특별자치시",223043.4
"2019","경기도",25501.3
"2019","강원도",21582.6
"2019","충청북도",25555.5
"2019","충청남도",36495.5
"2019","전라북도",23693.8
"2019","전라남도",34777.2
"2019","경상북도",47388.8
"2019","경상남도",9847.4
"2019","제주특별자치도",11646.8
"2020","전국",1697818.1
"2020","서울특별시",898371.8
