"경제활동별(1)","시점","시도별(1)",실질
"지역내총생산(시장가격)","1993","경기도",91248247
"지역내총생산(시장가격)","1993","강원도",19358364
"지역내총생산(시장가격)","1993","충청북도",17719733
"지역내총생산(시장가격)","1993","충청남도",23479111
"지역내총생산(시장가격)","1993","전라북도",20275704
"지역내총생산(시장가격)","1993","전라남도",32878511
"지역내총생산(시장가격)","1993","경상북도",28681426
"지역내총생산(시장가격)","1993","경상남도",53008094
"지역내총생산(시장가격)","1993","제주특별자치도",6286562
"지역내총생산(시장가격)","1994","서울특별시",173338951
"지역내총생산(시장가격)","1994","부산광역시",39996488
"지역내총생산(시장가격)","1994","대구광역시",26208027
"지역내총생산(시장가격)","1994","인천광역시",33147157
"지역내총생산(시장가격)","1994","광주광역시",14575241
"지역내총생산(시장가격)","1994","대전광역시",17140681
"지역내총생산(시장가격)","1994","경기도",100442143
"지역내총생산(시장가격)","1994","강원도",20722664
"지역내총생산(시장가격)","1994","충청북도",19784995
"지역내총생산(시장가격)","1994","충청남도",26534043
"지역내총생산(시장가격)","1994","전라북도",21899213
"지역내총생산(시장가격)","1994","전라남도",35789612
"지역내총생산(시장가격)","1994","경상북도",32763852
"지역내총생산(시장가격)","1994","경상남도",60723218
"지역내총생산(시장가격)","1994","제주특별자치도",6611720
"지역내총생산(시장가격)","1995","서울특별시",185098581
"지역내총생산(시장가격)","1995","부산광역시",43749924
"지역내총생산(시장가격)","1995","대구광역시",28303019
"지역내총생산(시장가격)","1995","인천광역시",38546919
"지역내총생산(시장가격)","1995","광주광역시",16417691
"지역내총생산(시장가격)","1995","대전광역시",18350280
"지역내총생산(시장가격)","1995","경기도",112681418
"지역내총생산(시장가격)","1995","강원도",22896326
"지역내총생산(시장가격)","1995","충청북도",22086859
"지역내총생산(시장가격)","1995","충청남도",28831852
"지역내총생산(시장가격)","1995","전라북도",25085280
"지역내총생산(시장가격)","1995","전라남도",39492280
"지역내총생산(시장가격)","1995","경상북도",35531357
"지역내총생산(시장가격)","1995","경상남도",68113992
"지역내총생산(시장가격)","1995","제주특별자치도",7450774
"지역내총생산(시장가격)","1996","서울특별시",195791851
"지역내총생산(시장가격)","1996","부산광역시",46044004
"지역내총생산(시장가격)","1996","대구광역시",30238666
"지역내총생산(시장가격)","1996","인천광역시",40762864
"지역내총생산(시장가격)","1996","광주광역시",17978636
"지역내총생산(시장가격)","1996","대전광역시",19742504
"지역내총생산(시장가격)","1996","경기도",121352335
"지역내총생산(시장가격)","1996","강원도",24901426
"지역내총생산(시장가격)","1996","충청북도",24310971
"지역내총생산(시장가격)","1996","충청남도",32476312
"지역내총생산(시장가격)","1996","전라북도",27201090
"지역내총생산(시장가격)","1996","전라남도",42154621
"지역내총생산(시장가격)","1996","경상북도",38775525
"지역내총생산(시장가격)","1996","경상남도",72412697
"지역내총생산(시장가격)","1996","제주특별자치도",7641803
"지역내총생산(시장가격)","1997","서울특별시",204816198
"지역내총생산(시장가격)","1997","부산광역시",47291520
"지역내총생산(시장가격)","1997","대구광역시",31886745
"지역내총생산(시장가격)","1997","인천광역시",43341199
"지역내총생산(시장가격)","1997","광주광역시",18559392
"지역내총생산(시장가격)","1997","대전광역시",20894508
"지역내총생산(시장가격)","1997","경기도",124658091
"지역내총생산(시장가격)","1997","강원도",26025382
"지역내총생산(시장가격)","1997","충청북도",24840759
"지역내총생산(시장가격)","1997","충청남도",36555909
"지역내총생산(시장가격)","1997","전라북도",28700006
"지역내총생산(시장가격)","1997","전라남도",46754746
"지역내총생산(시장가격)","1997","경상북도",44492072
"지역내총생산(시장가격)","1997","경상남도",79696351
