"시점","행정구역별",데이터
"1992","경기도",1572188
"1992","강원도",257018
"1992","충청북도",231561
"1992","충청남도",267178
"1992","전라북도",275802
"1992","전라남도",286568
"1992","경상북도",475797
"1992","경상남도",787918
"1992","제주특별자치도",109650
"1993","서울특별시",3259784
"1993","부산광역시",953137
"1993","대구광역시",578199
"1993","인천광역시",547764
"1993","광주광역시",259407
"1993","대전광역시",351499
"1993","경기도",2060796
"1993","강원도",276472
"1993","충청북도",275171
"1993","충청남도",312417
"1993","전라북도",317943
"1993","전라남도",306831
"1993","경상북도",538627
"1993","경상남도",867135
"1993","제주특별자치도",120885
"1994","서울특별시",3849973
"1994","부산광역시",1071901
"1994","대구광역시",723621
"1994","인천광역시",617049
"1994","광주광역시",322050
"1994","대전광역시",410748
"1994","경기도",2607957
"1994","강원도",341100
"1994","충청북도",316782
"1994","충청남도",378105
"1994","전라북도",378020
"1994","전라남도",346028
"1994","경상북도",656207
"1994","경상남도",1069002
"1994","제주특별자치도",142368
"1995","서울특별시",4339477
"1995","부산광역시",1214759
"1995","대구광역시",814937
"1995","인천광역시",766354
"1995","광주광역시",368392
"1995","대전광역시",443899
"1995","경기도",3152939
"1995","강원도",401600
"1995","충청북도",392653
"1995","충청남도",466647
"1995","전라북도",454512
"1995","전라남도",411099
"1995","경상북도",723593
"1995","경상남도",1195510
"1995","제주특별자치도",169592
"1996","서울특별시",4890599
"1996","부산광역시",1423582
"1996","대구광역시",925755
"1996","인천광역시",852742
"1996","광주광역시",413812
"1996","대전광역시",469598
"1996","경기도",3561397
"1996","강원도",455980
"1996","충청북도",452701
"1996","충청남도",553099
"1996","전라북도",480275
"1996","전라남도",502836
"1996","경상북도",845789
"1996","경상남도",1387078
"1996","제주특별자치도",179442
"1997","서울특별시",5332574
"1997","부산광역시",1407264
"1997","대구광역시",895670
"1997","인천광역시",953300
"1997","광주광역시",476169
"1997","대전광역시",488284
"1997","울산광역시",437244
"1997","경기도",3801650
"1997","강원도",500237
"1997","충청북도",451422
"1997","충청남도",586680
"1997","전라북도",517615
"1997","전라남도",506554
"1997","경상북도",864497
"1997","경상남도",990847
"1997","제주특별자치도",195674
"1998","서울특별시",4944434
"1998","부산광역시",1311077
"1998","대구광역시",825576
"1998","인천광역시",867295
"1998","광주광역시",445580
"1998","대전광역시",443743
"1998","울산광역시",398222
"1998","경기도",3520307
"1998","강원도",469465
"1998","충청북도",415485
"1998","충청남도",550902
"1998","전라북도",509453
"1998","전라남도",479466
"1998","경상북도",804326
"1998","경상남도",963432
"1998","제주특별자치도",200949
"1999","서울특별시",5566124
"1999","부산광역시",1383309
"1999","대구광역시",869060
"1999","인천광역시",888639
"1999","광주광역시",435397
"1999","대전광역시",507337
