"시점","행정구역별",데이터
"2008","충청북도",12898.3
"2008","충청남도",20593.3
"2008","전라북도",15711
"2008","전라남도",11945.1
"2008","경상북도",20224.2
"2008","경상남도",39099.5
"2008","제주도",5707.8
"2009","전국",953505.2
"2009","서울특별시",413183.5
"2009","부산광역시",56980.8
"2009","대구광역시",36858.4
"2009","인천광역시",48812.9
"2009","광주광역시",18579
"2009","대전광역시",17884.9
"2009","울산광역시",14625.2
"2009","경기도",205433.8
"2009","강원도",10687.6
"2009","충청북도",13506.1
"2009","충청남도",22037.4
"2009","전라북도",16114.7
"2009","전라남도",12196.3
"2009","경상북도",20930.7
"2009","경상남도",39841.2
"2009","제주도",5832.6
"2010","전국",987148.1
"2010","서울특별시",423631.2
"2010","부산광역시",59708.7
"2010","대구광역시",37568.3
"2010","인천광역시",52574.1
"2010","광주광역시",18094
"2010","대전광역시",18593.2
"2010","울산광역시",14958
"2010","경기도",216001.6
"2010","강원도",10990.6
"2010","충청북도",13527.4
"2010","충청남도",22874.5
"2010","전라북도",16856.9
"2010","전라남도",12389.3
"2010","경상북도",21866.3
"2010","경상남도",41711.3
"2010","제주도",5802.7
"2011","전국",1063192.5
"2011","서울특별시",455160.8
"2011","부산광역시",66473.8
"2011","대구광역시",40073.7
"2011","인천광역시",57408.1
"2011","광주광역시",19466.4
"2011","대전광역시",20616
"2011","울산광역시",16475.5
"2011","경기도",229840.4
"2011","강원도",11458.4
"2011","충청북도",14453.6
"2011","충청남도",24258
"2011","전라북도",18543.1
"2011","전라남도",13309.3
"2011","경상북도",23713.8
"2011","경상남도",45940.5
"2011","제주도",6001.2
"2012","전국",1099781.8
"2012","서울특별시",453586.6
"2012","부산광역시",71707.9
"2012","대구광역시",42708.2
"2012","인천광역시",60034.3
"2012","광주광역시",20823.9
"2012","대전광역시",21968
"2012","울산광역시",17898.3
"2012","경기도",237118.4
"2012","강원도",12144.3
"2012","충청북도",15672.7
"2012","충청남도",24703.4
"2012","전라북도",20491.5
"2012","전라남도",14944.8
"2012","경상북도",25858
"2012","경상남도",52023
"2012","제주도",6512.2
"2012","세종특별자치시",1586.3
"2013","전국",1154760.3
"2013","서울특별시",462443.1
"2013","부산광역시",77411.6
"2013","대구광역시",46578.5
"2013","인천광역시",62378.3
"2013","광주광역시",23082.8
"2013","대전광역시",23859.8
"2013","울산광역시",19560.1
"2013","경기도",248468.3
"2013","강원도",13259.9
"2013","충청북도",17211.7
"2013","충청남도",26445.4
"2013","전라북도",22597.6
"2013","전라남도",15968.2
"2013","경상북도",28452.3
"2013","경상남도",57288.6
"2013","제주도",7325
"2013","세종특별자치시",2429.1
"2014","전국",1250103.3
"2014","서울특별시",494441.9
"2014","부산광역시",84345.8
"2014","대구광역시",53214
"2014","인천광역시",66365
"2014","광주광역시",24782.2
"2014","대전광역시",25804.7
"2014","울산광역시",21981.2
"2014","경기도",268494.6
"2014","강원도",14184.7
"2014","충청북도",19076.8
"2014","충청남도",29451.1
