,년도,시도,총 인구,남성 인구,여성 인구,부채,자산(만원),농가수,어가수,백화점판매액,대형소매점,예금은행대출금액,예금액,지방세
59,2016,경기도,12716780,6395453,6321327,,,120317.0,696.0,5962062.0,15562174.0,305720.4,22669.9,19245126.0
60,2016,강원도,1550806,781146,769660,,,72624.0,2259.0,,1014199.0,16415.4,17522.2,1859620.0
61,2016,충청북도,1591625,803240,788385,,,74292.0,,,1086935.0,22070.0,22611.6,2020649.0
62,2016,충청남도,2096727,1064765,1031962,,,128275.0,8550.0,,1604897.0,33828.8,21020.7,3120102.0
63,2016,전라북도,1864791,927505,937286,,,98930.0,2776.0,,1140357.0,27330.1,20112.5,1896033.0
64,2016,전라남도,1903914,951889,952025,,,151059.0,18601.0,,848746.0,20060.0,30487.5,2243786.0
65,2016,경상북도,2700398,1356868,1343530,,,181067.0,2818.0,,1454300.0,37300.0,42454.8,3567765.0
66,2016,경상남도,3373871,1699219,1674652,,,127515.0,8479.0,940447.0,2686376.0,72333.0,9587.6,4736834.0
67,2016,제주특별자치도,641597,322545,319052,,,33109.0,4082.0,,551079.0,12548.2,5708.1,1376124.0
68,2017,서울특별시,9857426,4830206,5027220,9690.0,54431.0,3410.0,,12200212.0,19099450.0,569688.0,664687.0,19296437.0
69,2017,부산광역시,3470653,1709508,1761145,5181.0,31482.0,7716.0,1929.0,2820449.0,5248735.0,106819.1,81765.8,4947208.0
70,2017,대구광역시,2475231,1227814,1247417,6424.0,39500.0,16554.0,,2198020.0,3855871.0,71095.8,48356.4,3156682.0
71,2017,인천광역시,2948542,1479597,1468945,6333.0,30464.0,11962.0,2052.0,809522.0,2814267.0,80147.3,43007.6,4427782.0
72,2017,광주광역시,1463770,725295,738475,4312.0,29815.0,10940.0,,889279.0,1724452.0,31038.5,24235.1,1710868.0
73,2017,대전광역시,1502227,750969,751258,6158.0,31149.0,9127.0,,1108465.0,2283320.0,31050.7,30601.9,1713620.0
74,2017,울산광역시,1165132,599480,565652,7352.0,40766.0,12070.0,791.0,832284.0,1719438.0,26949.2,15899.4,1983863.0
75,2017,세종특별자치시,280100,139734,140366,,,5918.0,,0.0,181938.0,7585.8,195344.5,665142.0
76,2017,경기도,12873895,6475323,6398572,9028.0,42032.0,117225.0,685.0,5912434.0,15727159.0,326152.3,23775.3,20710614.0
77,2017,강원도,1550142,780635,769507,4153.0,28474.0,68750.0,2082.0,,1034526.0,17587.6,18707.2,1944969.0
78,2017,충청북도,1594432,805091,789341,5195.0,30808.0,72811.0,,,1089241.0,23178.8,23823.3,2106205.0
79,2017,충청남도,2116770,1076270,1040500,5941.0,32173.0,125886.0,8598.0,,1709778.0,35278.9,22690.2,3433932.0
80,2017,전라북도,1854607,922307,932300,4121.0,26189.0,96780.0,2884.0,,1130343.0,28323.0,20753.7,2005960.0
81,2017,전라남도,1896424,948290,948134,4188.0,27383.0,146481.0,18871.0,,814118.0,21010.3,30995.6,2319014.0
82,2017,경상북도,2691706,1353164,1338542,4719.0,31886.0,179321.0,2798.0,,1438525.0,39225.6,43283.8,3719931.0
83,2017,경상남도,3380404,1701413,1678991,6141.0,32643.0,124865.0,8152.0,938153.0,2694119.0,74494.8,9896.2,4818215.0
84,2017,제주특별자치도,657083,330823,326260,5942.0,43068.0,32200.0,3966.0,,557094.0,14707.9,7735.5,1448695.0
85,2018,서울특별시,9765623,4773899,4991724,10073.0,60714.0,3130.0,,12646197.0,19321882.0,607389.3,728762.8,20695311.0
86,2018,부산광역시,3441453,1692421,1749032,6096.0,35272.0,7487.0,1858.0,2933155.0,5321690.0,113616.7,80983.6,4935112.0
87,2018,대구광역시,2461769,1219342,1242427,7670.0,43053.0,15833.0,,2239553.0,3979998.0,74462.0,48437.4,3227882.0
88,2018,인천광역시,2954642,1481844,1472798,7065.0,33800.0,11440.0,1965.0,774552.0,2699571.0,85660.7,44338.0,4465821.0
89,2018,광주광역시,1459336,722581,736755,4785.0,32369.0,10380.0,,906047.0,1717370.0,33475.5,24104.4,1845600.0
90,2018,대전광역시,1489936,744338,745598,6675.0,33924.0,8852.0,,1110360.0,2217522.0,33252.0,30908.9,1735655.0
91,2018,울산광역시,1155623,593819,561804,7568.0,43436.0,11772.0,739.0,797891.0,1641283.0,27620.7,15886.4,1946957.0
92,2018,세종특별자치시,314126,156831,157295,10254.0,54717.0,5789.0,,0.0,273388.0,8351.6,206787.8,670652.0
93,2018,경기도,13077153,6577501,6499652,9850.0,45940.0,113288.0,643.0,6056987.0,15971989.0,350553.6,23680.4,22807183.0
94,2018,강원도,1543052,776456,766596,4508.0,31791.0,67809.0,2004.0,,1025147.0,19200.5,19412.9,2057307.0
95,2018,충청북도,1599252,808971,790281,5112.0,31201.0,70874.0,,,1085155.0,25028.7,24605.0,2281543.0
96,2018,충청남도,2126282,1082009,1044273,5590.0,30923.0,123480.0,8473.0,,1709003.0,36232.6,27566.9,3507758.0
97,2018,전라북도,1836832,913297,923535,4376.0,27539.0,94935.0,2924.0,,1105829.0,29107.6,22167.1,2039943.0
98,2018,전라남도,1882970,943000,939970,4561.0,29253.0,145223.0,18506.0,,780501.0,22228.8,32334.2,2392217.0
99,2018,경상북도,2676831,1346689,1330142,5082.0,32255.0,176385.0,2639.0,,1401874.0,40939.9,43841.2,3634277.0
100,2018,경상남도,3373988,1697412,1676576,6728.0,33042.0,122953.0,7730.0,902984.0,2629056.0,76526.6,9305.7,4616070.0
101,2018,제주특별자치도,667191,335719,331472,6466.0,48972.0,31208.0,4013.0,,539964.0,16633.8,11864.7,1458970.0
102,2019,서울특별시,9729107,4744059,4985048,10635.0,64240.0,2851.0,,13046293.0,19467389.0,641634.1,791160.6,22268213.0
103,2019,부산광역시,3413841,1675417,1738424,6217.0,35781.0,7314.0,1810.0,3090218.0,5413119.0,120127.2,90142.9,5191892.0
104,2019,대구광역시,2438031,1205286,1232745,7546.0,41818.0,15747.0,,2307724.0,3986016.0,80062.2,52113.4,3476077.0
105,2019,인천광역시,2957026,1482249,1474777,7277.0,35159.0,11321.0,1879.0,,2378313.0,92157.9,46757.3,4809476.0
106,2019,광주광역시,1456468,720740,735728,5003.0,34387.0,10238.0,,883421.0,1663445.0,36888.6,25261.5,2027885.0
107,2019,대전광역시,1474870,736607,738263,6763.0,35692.0,8920.0,,1128107.0,2160064.0,35318.1,33905.4,1991017.0
