전출인구,출생아수,산부인과의원수,초등학생인원수,도매 및 소매업 신생,예금은행대출금액,예금액,cluster_id
1642977,47445,385,409536,49581,726164.1,898371.8,1
419997,16823,59,190849,12160,82937.6,10308.9,3
506176,15058,67,153527,14454,132190.5,101058.8,3
364083,11193,87,122587,9605,88740.3,57156.5,3
460304,16040,60,156928,13214,102078.5,51948.8,3
257577,8165,48,94661,6953,33132.0,25070.1,0
334679,12873,53,129079,9471,47189.5,51352.9,3
232246,7318,36,86419,5810,42161.3,28573.7,0
286386,11950,43,120115,8409,41097.0,38260.0,0
248770,9738,18,92405,6948,26806.6,36756.8,0
149696,6617,34,67397,3754,30498.2,18231.6,0
226441,8607,40,85135,6103,28669.1,27669.5,0
243418,7481,44,79807,6405,39341.3,38725.4,0
217897,7835,32,73478,5554,22831.4,23634.2,0
94736,3989,23,40575,2856,20182.3,14025.4,0
65909,3468,7,29487,1361,9864.7,251734.3,0
