"충북","L. 부동산업(68)",25278,25111,86,65,25262,16,27154,26964,106,63,27133,21
"충북","M. 전문, 과학 및 기술 서비스업(70~73)",X,3274,639,56,3969,X,4462,3713,686,59,4458,4
"충북","N. 사업시설관리, 사업지원 및 임대 서비스업(74~76)",4602,3883,612,102,4597,5,5195,4414,650,124,5188,7
"충북","P. 교육 서비스업(85)",5816,5630,153,33,5816,-,6110,5925,154,31,6110,-
"충북","Q. 보건업 및 사회복지 서비스업(86~87)",2039,998,654,387,2039,-,2087,1029,638,420,2087,-
"충북","R. 예술, 스포츠 및 여가관련 서비스업(90~91)",X,4534,88,23,4645,X,X,4701,85,24,4810,X
"충북","S. 협회및단체,수리및기타개인서비스업(94~96)",X,11948,299,119,12366,X,X,12362,273,129,12764,X
"충남","전산업",277155,260385,13204,3239,276828,327,294870,278066,13040,3408,294514,356
"충남","A. 농업, 임업 및 어업(01~03)",9461,8939,483,26,9448,13,10202,9628,529,31,10188,14
"충남","B. 광업(05~08)",183,159,X,X,183,-,X,149,14,10,173,X
"충남","C. 제조업(10~34)",23663,19544,3072,827,23443,220,24438,20254,3085,867,24206,232
"충남","D. 전기, 가스, 증기 및 공기조절 공급업(35)",10327,10296,X,X,10311,16,12872,12841,X,X,12855,17
"충남","E. 수도, 하수·폐기물 처리, 원료재생업(36~39)",722,463,148,105,716,6,795,520,165,99,784,11
"충남","F. 건설업(41~42)",25039,23475,1351,194,25020,19,26494,24982,1302,194,26478,16
"충남","G. 도매 및 소매업(45~47)",63914,60611,2590,704,63905,9,67854,64616,2507,719,67842,12
"충남","H. 운수 및 창고업(49~52)",22819,22465,302,47,22814,5,23426,23017,349,52,23418,8
"충남","I. 숙박 및 음식점업(55~56)",39512,37337,1867,305,39509,3,40796,38846,1654,293,40793,3
"충남","J. 정보통신업(58~63)",X,1541,123,6,1670,X,X,1806,159,8,1973,X
"충남","K. 금융 및 보험업(64~66)",X,916,14,3,933,X,965,941,X,X,962,3
"충남","L. 부동산업(68)",36105,35855,143,89,36087,18,38819,38531,164,103,38798,21
"충남","M. 전문, 과학 및 기술 서비스업(70~73)",5020,4198,760,56,5014,6,5766,4858,839,62,5759,7
"충남","N. 사업시설관리, 사업지원 및 임대 서비스업(74~76)",5916,5086,691,134,5911,5,6949,6073,717,152,6942,7
"충남","P. 교육 서비스업(85)",7641,7426,187,28,7641,-,8061,7836,189,36,8061,-
"충남","Q. 보건업 및 사회복지 서비스업(86~87)",2587,1188,910,489,2587,-,2638,1256,842,540,2638,-
"충남","R. 예술, 스포츠 및 여가관련 서비스업(90~91)",5668,5504,147,14,5665,3,X,5832,126,15,5973,X
"충남","S. 협회및단체,수리및기타개인서비스업(94~96)",X,15382,389,200,15971,X,X,16080,367,224,16671,X
"전북","전산업",248227,235597,10348,2137,248082,145,260156,247728,10029,2259,260016,140
"전북","A. 농업, 임업 및 어업(01~03)",5960,5662,280,14,5956,4,6611,6271,312,23,6606,5
"전북","B. 광업(05~08)",127,101,22,4,127,-,134,107,21,6,134,-
"전북","C. 제조업(10~34)",16167,14433,1359,307,16099,68,16548,14801,1377,304,16482,66
"전북","D. 전기, 가스, 증기 및 공기조절 공급업(35)",26294,26263,19,4,26286,8,29562,29532,18,5,29555,7
"전북","E. 수도, 하수·폐기물 처리, 원료재생업(36~39)",536,362,114,56,532,4,581,390,122,66,578,3
"전북","F. 건설업(41~42)",22285,20686,1411,177,22274,11,23565,22023,1367,167,23557,8
"전북","G. 도매 및 소매업(45~47)",59658,56913,2163,565,59641,17,61491,58736,2137,599,61472,19
"전북","H. 운수 및 창고업(49~52)",21639,21370,236,29,21635,4,21926,21645,245,33,21923,3
"전북","I. 숙박 및 음식점업(55~56)",X,28596,1559,219,30374,X,31101,29620,1262,219,31101,-
"전북","J. 정보통신업(58~63)",X,1277,156,7,1440,X,X,1441,181,7,1629,X
"전북","K. 금융 및 보험업(64~66)",1106,1072,25,5,1102,4,1123,1092,23,5,1120,3
"전북","L. 부동산업(68)",23810,23612,104,81,23797,13,25029,24842,97,79,25018,11
"전북","M. 전문, 과학 및 기술 서비스업(70~73)",4960,4120,808,27,4955,5,5554,4650,861,37,5548,6
"전북","N. 사업시설관리, 사업지원 및 임대 서비스업(74~76)",X,3828,462,51,4341,X,X,4386,475,61,4922,X
"전북","P. 교육 서비스업(85)",7619,7388,211,20,7619,-,7922,7685,217,20,7922,-
"전북","Q. 보건업 및 사회복지 서비스업(86~87)",X,1446,898,453,2797,X,X,1505,840,493,2838,X
"전북","R. 예술, 스포츠 및 여가관련 서비스업(90~91)",X,4381,145,13,4539,X,4692,4547,127,14,4688,4
"전북","S. 협회및단체,수리및기타개인서비스업(94~96)",X,14087,376,105,14568,X,X,14455,347,121,14923,X
"전남","전산업",256730,244224,10191,2170,256585,145,269191,256386,10267,2373,269026,165
"전남","A. 농업, 임업 및 어업(01~03)",15502,14732,747,18,15497,5,16427,15614,784,24,16422,5
"전남","B. 광업(05~08)",X,1187,X,X,1213,X,X,1139,20,5,1164,X
"전남","C. 제조업(10~34)",17569,15771,1452,299,17522,47,17802,15936,1470,343,17749,53
"전남","D. 전기, 가스, 증기 및 공기조절 공급업(35)",18216,18177,X,X,18204,12,20095,20050,23,4,20077,18
"전남","E. 수도, 하수·폐기물 처리, 원료재생업(36~39)",623,441,125,53,619,4,705,503,134,61,698,7
"전남","F. 건설업(41~42)",24036,21955,1792,259,24006,30,25674,23629,1736,279,25644,30
"전남","G. 도매 및 소매업(45~47)",61044,58462,2026,550,61038,6,63078,60489,1982,598,63069,9
"전남","H. 운수 및 창고업(49~52)",24200,23819,300,68,24187,13,24811,24358,379,63,24800,11
