시도,년도,상용_월평균_임금,임금상승률
전라남도,2021,3352080.0,3.0
경상북도,2021,3452111.0,4.0
경상남도,2021,3399502.0,4.3
제주특별자치도,2021,2906566.0,6.6
서울특별시,2022,4082853.0,4.6
부산광역시,2022,3404468.0,3.5
대구광역시,2022,3202101.0,3.5
인천광역시,2022,3418862.0,3.3
광주광역시,2022,3284566.0,4.6
대전광역시,2022,3556267.0,4.6
울산광역시,2022,3725381.0,6.0
세종특별자치시,2022,3685371.0,4.4
경기도,2022,3751651.0,3.9
강원도,2022,3285138.0,3.7
충청북도,2022,3439403.0,3.8
충청남도,2022,3669868.0,2.9
전라북도,2022,3192759.0,3.6
전라남도,2022,3445263.0,2.8
경상북도,2022,3563537.0,3.2
경상남도,2022,3560180.0,4.7
제주특별자치도,2022,3036703.0,4.5
