,년도,시도,초등학생인원수,빈집수,전출인구,총인구,예금은행대출금액,예금액,산부인과의원수,"협회 및 단체, 수리 및 기타 개인서비스업 소멸",도매 및 소매업 신생,교육서비스업 소멸
0,2013,경기도,739619,,1821303,12234630,248468.3,13718.5,286,7235,49143,6822
1,2013,서울특별시,469392,,1620640,10143645,462443.1,532689.2,395,6229,48097,4749
2,2013,경상남도,190166,,423864,3333820,57288.6,6703.3,65,1933,12612,1530
3,2013,부산광역시,160821,,496161,3527635,77411.6,59554.5,82,2093,13902,1510
4,2013,대구광역시,136309,,363224,2501588,46578.5,37541.7,86,1301,9981,1188
5,2013,인천광역시,157918,,439578,2879782,62378.3,31197.4,69,1769,11522,1192
6,2013,전라북도,105135,,260395,1872965,22597.6,15924.7,52,974,6935,732
7,2013,경상북도,135237,,330983,2699440,28452.3,35242.6,57,1361,9127,987
8,2013,광주광역시,96055,,229288,1472910,23082.8,18041.6,45,1086,6342,775
9,2013,충청남도,116216,,268053,2047631,26445.4,17957.6,47,1171,7662,854
10,2013,전라남도,99206,,246635,1907172,15968.2,24216.2,24,973,6356,594
11,2013,울산광역시,67156,,157185,1156480,19560.1,14588.0,31,622,3700,556
12,2013,충청북도,88860,,212860,1572732,17211.7,18654.6,49,1014,6185,724
13,2013,대전광역시,93398,,230547,1532811,23859.8,23975.3,52,979,6740,890
14,2013,강원도,83187,,214931,1542263,13259.9,14145.8,34,955,5355,837
15,2013,제주특별자치도,38235,,81028,593806,7325.0,1360.9,21,438,2633,241
16,2013,세종특별자치시,7090,,15109,122153,2429.1,144173.5,2,56,426,54
17,2014,경기도,732307,,1834379,12357830,268494.6,14808.7,277,7309,51661,5368
18,2014,서울특별시,457517,,1661425,10103233,494441.9,565416.1,392,6262,50223,4388
19,2014,경상남도,186973,,456164,3350257,62681.3,7638.4,64,1965,12751,1725
20,2014,부산광역시,155754,,500802,3519401,84345.8,67846.8,77,2107,14569,1263
21,2014,대구광역시,131765,,365739,2493264,53214.0,42203.2,85,1453,10744,1064
22,2014,인천광역시,156740,,442973,2902608,66365.0,32603.1,67,1698,11938,1049
23,2014,전라북도,101860,,276900,1871560,24625.9,17303.3,54,1036,7545,763
24,2014,경상북도,131307,,338029,2700794,31642.7,37942.2,55,1492,9728,972
25,2014,광주광역시,93163,,246043,1475884,24782.2,19139.3,43,1090,6781,911
26,2014,충청남도,115056,,279817,2062273,29451.1,18907.1,46,1259,8001,749
27,2014,전라남도,95720,,260874,1905780,17164.0,25822.9,23,990,6799,568
28,2014,울산광역시,65810,,173229,1166377,21981.2,14873.6,31,696,4020,558
29,2014,충청북도,86508,,213577,1578933,19076.8,19741.1,47,1001,6539,548
30,2014,대전광역시,91599,,248397,1531809,25804.7,25692.5,50,971,7085,838
31,2014,강원도,80458,,226284,1544442,14184.7,15124.3,32,1036,5432,630
32,2014,제주특별자치도,37915,,81396,607346,8312.3,1667.4,20,404,2581,215
33,2014,세종특별자치시,8057,,23070,156125,3535.0,153813.3,3,57,653,65
34,2015,경기도,733359,144893.0,1898312,12522606,284496.7,15664.1,273,6834,49285,5418
35,2015,서울특별시,450675,79049.0,1726687,10022181,525529.1,600391.1,389,5614,44599,4307
36,2015,경상남도,187075,98680.0,450279,3364702,68619.5,8886.4,66,1816,11822,1584
37,2015,부산광역시,154283,86626.0,520591,3513777,92109.5,73156.4,74,1992,13133,1366
38,2015,대구광역시,129583,29610.0,364364,2487829,61642.8,46861.6,85,1302,9664,973
39,2015,인천광역시,157099,47402.0,463685,2925815,69059.0,35680.0,65,1553,11394,1013
40,2015,전라북도,100260,73869.0,264662,1869711,26242.4,19700.1,53,942,7183,626
41,2015,경상북도,129743,108114.0,345307,2702826,35582.2,39657.4,55,1324,9675,858
42,2015,광주광역시,91862,26705.0,233875,1472199,28259.6,21419.9,41,1030,6342,693
43,2015,충청남도,115484,73719.0,279680,2077649,32255.0,20055.2,46,1137,7772,755
44,2015,전라남도,94368,103333.0,246168,1908996,19216.7,28207.6,22,931,6819,602
45,2015,울산광역시,66134,21423.0,170473,1173534,24057.9,15505.6,32,569,3714,546
46,2015,충청북도,85290,54884.0,213188,1583952,21044.6,22462.1,47,886,5944,690
47,2015,대전광역시,89464,26419.0,241390,1518775,27830.0,28045.8,47,935,6128,793
48,2015,강원도,78414,59260.0,222352,1549507,15464.9,16285.4,33,925,5570,604
49,2015,제주특별자치도,38164,18475.0,83323,624395,10191.0,2533.3,20,351,2526,243
50,2015,세종특별자치시,13353,16458.0,30950,210884,5215.0,169215.4,4,62,712,104
51,2016,경기도,727380,167830.0,1824976,12716780,305720.4,22669.9,269,7115,52487,5381
52,2016,서울특별시,436121,94668.0,1655859,9930616,544592.1,628071.1,388,5667,44997,4121
53,2016,경상남도,185325,98899.0,410180,3373871,72333.0,9587.6,64,1862,12066,1370
54,2016,부산광역시,151207,85333.0,480407,3498529,99122.7,79929.2,70,2061,13686,1271
55,2016,대구광역시,125541,36932.0,337488,2484557,66966.8,47164.2,87,1358,10049,1077
56,2016,인천광역시,155590,52941.0,435869,2943069,73804.8,40274.6,65,1716,12107,1044
57,2016,전라북도,97895,73696.0,252607,1864791,27330.1,20112.5,52,941,7233,755
58,2016,경상북도,127825,107862.0,318803,2700398,37300.0,42454.8,56,1431,9740,1009
59,2016,광주광역시,89095,29127.0,221074,1469214,30354.2,24067.4,39,1018,6228,832
60,2016,충청남도,115309,80152.0,271446,2096727,33828.8,21020.7,46,1091,7956,742
61,2016,전라남도,92981,102257.0,237337,1903914,20060.0,30487.5,22,903,7205,551
62,2016,울산광역시,65629,20965.0,155812,1172304,25364.2,16080.5,32,638,3813,479
