,년도,시도,총인구,전출인구,출생아수,산부인과의원수,초등학생인원수,빈집수,"협회 및 단체, 수리 및 기타 개인서비스업 소멸",도매 및 소매업 신생,교육서비스업 소멸,예금은행대출금액,예금액
66,2016,제주특별자치도,641597,92193,5494,21,38272,21469.0,376,2886,288,12548.2,5708.1
67,2016,세종특별자치시,243048,35236,3297,4,17910,10115.0,83,838,123,6747.6,184606.3
68,2017,경기도,12873895,1772162,94088,269,733941,194981.0,8152,52606,6139,326152.3,23775.3
69,2017,서울특별시,9857426,1571423,65389,388,428333,93343.0,6267,44574,4492,569688.0,664687.0
70,2017,경상남도,3380404,409200,23849,64,186619,120548.0,2288,12473,1606,74494.8,9896.2
71,2017,부산광역시,3470653,467471,21480,65,150863,94737.0,2162,13900,1414,106819.1,81765.8
72,2017,대구광역시,2475231,333118,15946,86,124708,44180.0,1508,10226,1140,71095.8,48356.4
73,2017,인천광역시,2948542,411135,20445,62,156470,57489.0,2070,11563,1142,80147.3,43007.6
74,2017,전라북도,1854607,239253,11348,50,97383,77631.0,1190,7109,837,28323.0,20753.7
75,2017,경상북도,2691706,316642,17957,55,127642,126480.0,1705,9951,1044,39225.6,43283.8
76,2017,광주광역시,1463770,216256,10120,38,88189,33569.0,1173,6076,814,31038.5,24235.1
77,2017,충청남도,2116770,269337,15670,43,116963,92110.0,1377,8190,748,35278.9,22690.2
78,2017,전라남도,1896424,230551,12354,21,93233,109799.0,1235,7308,647,21010.3,30995.6
79,2017,울산광역시,1165132,147116,9381,32,66016,26867.0,788,4001,556,26949.2,15899.4
80,2017,충청북도,1594432,194915,11394,45,84240,60881.0,1165,6107,601,23178.8,23823.3
81,2017,대전광역시,1502227,227624,10851,46,84240,26994.0,1092,6256,741,31050.7,30601.9
82,2017,강원도,1550142,209618,8958,30,75722,62109.0,1141,5690,694,17587.6,18707.2
83,2017,제주특별자치도,657083,91022,5037,21,38901,28629.0,431,2831,303,14707.9,7735.5
84,2017,세종특별자치시,280100,47383,3504,4,20764,14360.0,113,988,225,7585.8,195344.5
