"Ω√¡°","∑π∫ß01(1)","«◊∏Ò",º≠øÔ,∫ŒªÍ,¥Î±∏,¿Œ√µ,±§¡÷,¥Î¿¸,øÔªÍ,∞Ê±‚,ºº¡æ,∞≠ø¯,√Ê∫œ,√Ê≥≤,¿¸∫œ,¿¸≥≤,∞Ê∫œ,∞Ê≥≤,¡¶¡÷
"Ω√¡°","∑π∫ß01(1)","«◊∏Ò",∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë
"2016.02","√—∞Ë","∞Ë",3063683,1262050,1109004,1366205,614605,634926,528605,4956698,97390,699210,735370,977741,844611,907373,1317593,1581662,440384
"2016.03","√—∞Ë","∞Ë",3066050,1269965,1111860,1371956,616656,636387,530037,4977373,99306,702114,738756,982333,847712,912421,1323260,1588007,443346
"2016.04","√—∞Ë","∞Ë",3069594,1273105,1114718,1381159,617529,637952,531375,4997475,100581,704854,741561,986724,850427,917386,1328010,1593175,446897
"2016.05","√—∞Ë","∞Ë",3073263,1276419,1116622,1391287,619195,639606,532802,5018564,101876,707570,744325,991299,853404,921782,1332616,1598186,449682
"2016.06","√—∞Ë","∞Ë",3079041,1281346,1121285,1402056,621683,641846,534522,5044960,103385,710637,747677,995893,856618,928583,1337672,1603242,453778
"2016.07","√—∞Ë","∞Ë",3079928,1285658,1121928,1404598,628249,643298,535697,5064874,104532,713078,750481,999439,859442,931869,1341337,1609382,457330
"2016.08","√—∞Ë","∞Ë",3078045,1287391,1122296,1409174,628858,643575,536007,5077528,105688,715174,752295,1002375,861189,934952,1343823,1610931,458797
"2016.09","√—∞Ë","∞Ë",3080627,1289596,1123671,1415540,629969,644240,536689,5094685,106757,716906,754347,1005222,862747,937381,1346014,1614008,460308
"2016.10","√—∞Ë","∞Ë",3083269,1291084,1125092,1421640,631099,645112,536131,5113529,108165,718687,756480,1008347,864835,942588,1348557,1616504,461876
"2016.11","√—∞Ë","∞Ë",3084245,1293107,1127839,1431690,632583,646688,537672,5136236,109274,720961,759056,1012283,867409,947752,1351556,1621512,464607
"2016.12","√—∞Ë","∞Ë",3083007,1295316,1130811,1437373,633375,648084,538720,5160921,110419,722333,760701,1015144,869002,952004,1353654,1625244,467243
"2017.01","√—∞Ë","∞Ë",3091903,1300184,1135006,1445827,636015,650595,540964,5187211,111575,724972,764206,1020082,872161,956413,1359113,1631608,469392
"2017.02","√—∞Ë","∞Ë",3093930,1300316,1135646,1449769,636743,650908,541387,5196362,112751,726277,766543,1023900,873395,958692,1361908,1634959,470813
"2017.03","√—∞Ë","∞Ë",3095613,1303909,1138268,1454764,638056,651954,542434,5211908,114634,728238,768982,1028062,875290,962623,1365189,1639400,474889
"2017.04","√—∞Ë","∞Ë",3099256,1307446,1140879,1461573,639285,653205,543303,5232031,116363,730443,771422,1032143,877618,967487,1368459,1643001,477979
"2017.05","√—∞Ë","∞Ë",3103357,1311219,1144276,1465912,640460,653815,544154,5247754,118726,732514,773320,1035816,879736,971021,1371375,1645762,479704
"2017.06","√—∞Ë","∞Ë",3107935,1315538,1147171,1474320,642414,654980,545289,5266842,120690,734753,775667,1039514,881479,974601,1374572,1649935,482865
"2017.07","√—∞Ë","∞Ë",3112120,1319052,1149216,1482505,643756,656189,546167,5286640,122212,736938,777410,1042978,883311,978484,1377921,1653011,486688
"2017.08","√—∞Ë","∞Ë",3113550,1322368,1150147,1485973,645179,656768,546628,5302204,123901,738864,779691,1046227,884782,981056,1380585,1654794,489674
"2017.09","√—∞Ë","∞Ë",3115764,1326522,1152024,1492139,646936,658093,547548,5328680,125336,741209,782346,1050267,887756,984116,1385102,1658276,493255
"2017.10","√—∞Ë","∞Ë",3116066,1327652,1152836,1497259,647730,658534,548292,5343944,126661,742712,784024,1052603,888800,986056,1387840,1661036,495262
"2017.11","√—∞Ë","∞Ë",3117713,1330958,1155789,1504816,649341,659496,549105,5367400,128231,744855,785883,1055723,891078,990525,1390682,1665778,497989
"2017.12","√—∞Ë","∞Ë",3116256,1333224,1157053,1510319,649293,659619,549489,5386022,129765,745959,787188,1057515,892118,994318,1392151,1667809,500197
"2018.01","√—∞Ë","∞Ë",3118469,1337098,1159779,1518259,650988,661136,550794,5410671,131423,747942,789964,1061517,894354,997919,1395844,1671341,504384
"2018.02","√—∞Ë","∞Ë",3118125,1339684,1161086,1523039,651797,661224,551530,5419963,133429,749073,791382,1064780,895677,999511,1397213,1673382,507722
"2018.03","√—∞Ë","∞Ë",3116691,1342367,1163153,1527657,652723,661833,552619,5438855,135320,751024,793745,1068551,897069,1003271,1399597,1677137,512190
"2018.04","√—∞Ë","∞Ë",3119463,1346249,1164220,1532983,653909,662962,553893,5460515,137317,753084,796754,1071630,899846,1006728,1402773,1679469,516779
"2018.05","√—∞Ë","∞Ë",3119696,1349658,1165890,1537591,654938,663517,554810,5481236,138870,754887,799311,1074458,902164,1011138,1405917,1681260,521427
"2018.06","√—∞Ë","∞Ë",3120469,1353065,1169274,1543895,656724,664639,555362,5501802,140568,757152,801579,1078323,905265,1014986,1408400,1683948,526584
"2018.07","√—∞Ë","∞Ë",3121497,1356553,1171042,1548964,658381,665977,555983,5521232,141900,759804,803924,1081717,907900,1018390,1411174,1686718,532838
"2018.08","√—∞Ë","∞Ë",3121532,1358638,1171803,1553504,659551,666895,556309,5537623,143406,761597,805791,1084172,909819,1019952,1413199,1688694,537170
"2018.09","√—∞Ë","∞Ë",3123924,1361064,1173853,1558567,660837,668089,556948,5555622,144734,763415,807826,1086638,911528,1022818,1415766,1689257,541692
"2018.10","√—∞Ë","∞Ë",3123896,1363704,1174278,1564608,662378,668645,557340,5575139,146079,764592,810276,1088905,912784,1024496,1417838,1690979,545390
"2018.11","√—∞Ë","∞Ë",3123702,1369410,1176887,1569602,663799,669668,558034,5600152,147058,766389,812451,1091871,914690,1028122,1420399,1693663,550014
"2018.12","√—∞Ë","∞Ë",3124651,1371172,1178353,1577607,664316,669959,558106,5617611,147925,766374,814698,1093582,915944,1032074,1422157,1694448,553578
"2019.01","√—∞Ë","∞Ë",3128420,1374237,1180280,1585866,666311,670964,559108,5641689,149757,768981,818127,1097189,918657,1034777,1426204,1698317,557130
"2019.02","√—∞Ë","∞Ë",3128962,1377773,1179956,1589791,666658,670398,559599,5642849,151390,769915,820163,1099559,920004,1035367,1427937,1697492,559875
"2019.03","√—∞Ë","∞Ë",3127236,1379051,1181477,1592114,668127,670970,560436,5648632,153041,770150,820869,1101599,920584,1037073,1429670,1697776,563469
"2019.04","√—∞Ë","∞Ë",3124289,1379485,1178908,1596103,668564,671172,561228,5657404,154037,771424,825341,1102985,921596,1039266,1430821,1700564,566123
"2019.05","√—∞Ë","∞Ë",3121807,1381685,1179594,1602665,669489,670929,561418,5672997,154911,773189,827030,1105040,923764,1041049,1433106,1704100,569848
"2019.06","√—∞Ë","∞Ë",3120332,1384087,1180955,1609398,670512,671039,562106,5691619,156082,775340,828862,1107206,925574,1043683,1435458,1707551,574361
"2019.07","√—∞Ë","∞Ë",3121140,1385252,1182351,1617597,672166,671788,563035,5710355,157498,777558,831244,1109552,926422,1046210,1437795,1711514,579297
"2019.08","√—∞Ë","∞Ë",3120892,1387243,1184063,1618821,673404,671871,563684,5724979,158650,779605,833182,1111491,928198,1048160,1440087,1713986,583222
