년도,시도,총 인구,남성 인구,여성 인구,주택수,빈집수
2013,서울특별시,10143645,5007869,5135776,,
2013,부산광역시,3527635,1747000,1780635,,
2013,대구광역시,2501588,1246071,1255517,,
2013,인천광역시,2879782,1448835,1430947,,
2013,광주광역시,1472910,730216,742694,,
2013,대전광역시,1532811,767309,765502,,
2013,울산광역시,1156480,595319,561161,,
2013,세종특별자치시,122153,62205,59948,,
2013,경기도,12234630,6159193,6075437,,
2013,강원도,1542263,776498,765765,,
2013,충청북도,1572732,792862,779870,,
2013,충청남도,2047631,1037421,1010210,,
2013,전라북도,1872965,932894,940071,,
2013,전라남도,1907172,952597,954575,,
2013,경상북도,2699440,1355951,1343489,,
2013,경상남도,3333820,1678592,1655228,,
2013,제주특별자치도,593806,297504,296302,,
2014,서울특별시,10103233,4979768,5123465,,
2014,부산광역시,3519401,1740417,1778984,,
2014,대구광역시,2493264,1241119,1252145,,
2014,인천광역시,2902608,1459074,1443534,,
2014,광주광역시,1475884,731339,744545,,
2014,대전광역시,1531809,766497,765312,,
2014,울산광역시,1166377,600904,565473,,
2014,세종특별자치시,156125,78862,77263,,
2014,경기도,12357830,6219813,6138017,,
2014,강원도,1544442,778007,766435,,
2014,충청북도,1578933,796141,782792,,
2014,충청남도,2062273,1045892,1016381,,
2014,전라북도,1871560,931536,940024,,
2014,전라남도,1905780,951975,953805,,
2014,경상북도,2700794,1356182,1344612,,
2014,경상남도,3350257,1687114,1663143,,
2014,제주특별자치도,607346,304656,302690,,
2015,서울특별시,10022181,4930943,5091238,2793244,79049
2015,서울특별시,10022181,4930943,5091238,1164352,86626
2015,서울특별시,10022181,4930943,5091238,738100,29610
2015,서울특별시,10022181,4930943,5091238,942244,47402
2015,서울특별시,10022181,4930943,5091238,486527,26705
2015,서울특별시,10022181,4930943,5091238,468885,26419
2015,서울특별시,10022181,4930943,5091238,357674,21423
2015,서울특별시,10022181,4930943,5091238,81130,16458
2015,서울특별시,10022181,4930943,5091238,3693557,144893
2015,서울특별시,10022181,4930943,5091238,569899,59260
2015,서울특별시,10022181,4930943,5091238,556951,54884
2015,서울특별시,10022181,4930943,5091238,754372,73719
2015,서울특별시,10022181,4930943,5091238,687103,73869
2015,서울특별시,10022181,4930943,5091238,747621,103333
2015,서울특별시,10022181,4930943,5091238,995385,108114
2015,서울특별시,10022181,4930943,5091238,1134738,98680
2015,서울특별시,10022181,4930943,5091238,195224,18475
2015,부산광역시,3513777,1735570,1778207,2793244,79049
2015,부산광역시,3513777,1735570,1778207,1164352,86626
2015,부산광역시,3513777,1735570,1778207,738100,29610
2015,부산광역시,3513777,1735570,1778207,942244,47402
2015,부산광역시,3513777,1735570,1778207,486527,26705
2015,부산광역시,3513777,1735570,1778207,468885,26419
2015,부산광역시,3513777,1735570,1778207,357674,21423
2015,부산광역시,3513777,1735570,1778207,81130,16458
2015,부산광역시,3513777,1735570,1778207,3693557,144893
2015,부산광역시,3513777,1735570,1778207,569899,59260
2015,부산광역시,3513777,1735570,1778207,556951,54884
2015,부산광역시,3513777,1735570,1778207,754372,73719
2015,부산광역시,3513777,1735570,1778207,687103,73869
2015,부산광역시,3513777,1735570,1778207,747621,103333
2015,부산광역시,3513777,1735570,1778207,995385,108114
2015,부산광역시,3513777,1735570,1778207,1134738,98680
2015,부산광역시,3513777,1735570,1778207,195224,18475
2015,대구광역시,2487829,1237291,1250538,2793244,79049
2015,대구광역시,2487829,1237291,1250538,1164352,86626
2015,대구광역시,2487829,1237291,1250538,738100,29610
2015,대구광역시,2487829,1237291,1250538,942244,47402
2015,대구광역시,2487829,1237291,1250538,486527,26705
2015,대구광역시,2487829,1237291,1250538,468885,26419
2015,대구광역시,2487829,1237291,1250538,357674,21423
2015,대구광역시,2487829,1237291,1250538,81130,16458
2015,대구광역시,2487829,1237291,1250538,3693557,144893
2015,대구광역시,2487829,1237291,1250538,569899,59260
2015,대구광역시,2487829,1237291,1250538,556951,54884
2015,대구광역시,2487829,1237291,1250538,754372,73719
2015,대구광역시,2487829,1237291,1250538,687103,73869
2015,대구광역시,2487829,1237291,1250538,747621,103333
2015,대구광역시,2487829,1237291,1250538,995385,108114
2015,대구광역시,2487829,1237291,1250538,1134738,98680
2015,대구광역시,2487829,1237291,1250538,195224,18475
2015,인천광역시,2925815,1469869,1455946,2793244,79049
2015,인천광역시,2925815,1469869,1455946,1164352,86626
2015,인천광역시,2925815,1469869,1455946,738100,29610
2015,인천광역시,2925815,1469869,1455946,942244,47402
2015,인천광역시,2925815,1469869,1455946,486527,26705
2015,인천광역시,2925815,1469869,1455946,468885,26419
2015,인천광역시,2925815,1469869,1455946,357674,21423
2015,인천광역시,2925815,1469869,1455946,81130,16458
2015,인천광역시,2925815,1469869,1455946,3693557,144893
2015,인천광역시,2925815,1469869,1455946,569899,59260
2015,인천광역시,2925815,1469869,1455946,556951,54884
2015,인천광역시,2925815,1469869,1455946,754372,73719
2015,인천광역시,2925815,1469869,1455946,687103,73869
2015,인천광역시,2925815,1469869,1455946,747621,103333
2015,인천광역시,2925815,1469869,1455946,995385,108114
2015,인천광역시,2925815,1469869,1455946,1134738,98680
2015,인천광역시,2925815,1469869,1455946,195224,18475
2015,광주광역시,1472199,729662,742537,2793244,79049
2015,광주광역시,1472199,729662,742537,1164352,86626
2015,광주광역시,1472199,729662,742537,738100,29610
2015,광주광역시,1472199,729662,742537,942244,47402
2015,광주광역시,1472199,729662,742537,486527,26705
2015,광주광역시,1472199,729662,742537,468885,26419
2015,광주광역시,1472199,729662,742537,357674,21423
2015,광주광역시,1472199,729662,742537,81130,16458
