시군구,년도,전출인구,출생아수,산부인과의원수,cluster_id
중랑구,2018,59616,2446,11,0.67
중랑구,2019,55932,2244,10,0.67
중랑구,2020,62212,1873,9,0.67
중랑구,2021,57957,1825,9,0.67
성북구,2013,71262,3831,15,0.33
성북구,2014,76521,3537,14,0.33
성북구,2015,76213,3514,14,0.33
성북구,2016,70396,3060,16,0.33
성북구,2017,68221,2631,14,0.33
성북구,2018,65477,2264,13,0.33
성북구,2019,61169,2147,13,0.67
성북구,2020,68231,2041,12,0.33
성북구,2021,62394,1939,12,0.67
강북구,2013,52704,2491,8,0.67
강북구,2014,52641,2360,9,0.67
강북구,2015,52240,2164,9,0.67
강북구,2016,48947,1965,10,0.67
강북구,2017,44809,1772,9,0.67
강북구,2018,45800,1344,9,0.67
강북구,2019,42622,1227,8,1.0
강북구,2020,46656,1049,7,0.67
강북구,2021,42961,994,6,1.0
도봉구,2013,52619,2530,8,0.67
도봉구,2014,51552,2553,8,0.67
도봉구,2015,52460,2481,8,0.67
도봉구,2016,48607,2249,8,0.67
도봉구,2017,45260,1906,7,0.67
도봉구,2018,44213,1707,7,0.67
도봉구,2019,41225,1483,7,1.0
도봉구,2020,47892,1218,6,0.67
도봉구,2021,42682,1136,6,1.0
노원구,2013,83460,4668,17,0.33
노원구,2014,83748,4715,17,0.33
노원구,2015,83672,4462,16,0.33
노원구,2016,81176,4176,16,0.33
노원구,2017,78488,3494,16,0.33
노원구,2018,72748,2851,17,0.33
노원구,2019,68095,2604,17,0.33
노원구,2020,77707,2252,17,0.33
노원구,2021,68473,2225,17,0.33
은평구,2013,77311,4157,17,0.33
은평구,2014,80850,4085,17,0.33
은평구,2015,85329,3870,15,0.33
은평구,2016,82925,3522,13,0.33
은평구,2017,73637,2930,12,0.33
은평구,2018,71519,2703,13,0.33
은평구,2019,72721,2407,13,0.33
은평구,2020,76165,2144,13,0.33
은평구,2021,66951,2076,12,0.33
서대문구,2013,49668,2358,9,0.67
서대문구,2014,49817,2334,9,0.67
서대문구,2015,55165,2175,8,0.67
서대문구,2016,54236,2201,7,0.67
서대문구,2017,50286,1911,10,0.67
서대문구,2018,48484,1647,10,0.67
서대문구,2019,46677,1521,9,0.67
서대문구,2020,53579,1533,9,0.67
서대문구,2021,47061,1426,9,0.67
마포구,2013,65135,3320,22,0.33
마포구,2014,67146,3373,24,0.33
마포구,2015,72254,3626,25,0.33
마포구,2016,72793,3392,26,0.33
마포구,2017,63689,2812,25,0.67
마포구,2018,61071,2528,26,0.67
마포구,2019,59573,2334,26,0.67
마포구,2020,68667,2015,26,0.33
마포구,2021,62124,1959,26,0.67
양천구,2013,68505,3547,17,0.33
양천구,2014,70772,3527,16,0.33
양천구,2015,70624,3526,15,0.33
양천구,2016,74404,3334,15,0.33
양천구,2017,62729,2876,16,0.67
양천구,2018,62414,2387,16,0.67
양천구,2019,56733,2222,15,0.67
양천구,2020,68021,1875,15,0.33
양천구,2021,60442,1827,15,0.67
강서구,2013,86246,5224,14,0.33
강서구,2014,96548,5424,13,0.0
강서구,2015,94501,5812,13,0.0
강서구,2016,93011,5456,13,0.0
강서구,2017,86483,4800,14,0.33
강서구,2018,90281,4260,14,0.0
강서구,2019,85057,3841,18,0.33
강서구,2020,99573,3345,19,0.0
강서구,2021,91368,3006,19,0.0
구로구,2013,62188,4468,16,0.67
구로구,2014,65025,4279,14,0.33
구로구,2015,64052,4257,12,0.67
구로구,2016,61558,3736,12,0.67
구로구,2017,58672,3139,12,0.67
구로구,2018,58543,2658,12,0.67
구로구,2019,53666,2460,12,0.67
구로구,2020,64024,2269,12,0.67
구로구,2021,54880,2229,12,0.67
금천구,2013,38174,1739,8,1.0
금천구,2014,37071,1820,9,1.0
금천구,2015,37303,1885,9,1.0
금천구,2016,36528,1595,10,1.0
금천구,2017,34907,1498,10,1.0
금천구,2018,35508,1314,10,1.0
금천구,2019,33728,1154,11,1.0
금천구,2020,36963,1092,10,1.0
금천구,2021,35047,1012,10,1.0
영등포구,2013,65125,3448,19,0.33
영등포구,2014,65662,3480,18,0.33
영등포구,2015,65678,3611,19,0.33
영등포구,2016,71785,3282,19,0.33
영등포구,2017,66039,2805,18,0.33
영등포구,2018,62108,2698,17,0.67
영등포구,2019,58253,2633,17,0.67
영등포구,2020,68526,2296,17,0.33
영등포구,2021,61108,2402,17,0.67
동작구,2013,67868,3712,10,0.33
동작구,2014,69117,3765,10,0.33
동작구,2015,76096,3643,10,0.33
동작구,2016,68243,3184,10,0.33
동작구,2017,66978,2814,10,0.33
동작구,2018,66105,2417,10,0.33
동작구,2019,62047,2227,9,0.67
동작구,2020,69650,2044,9,0.33
동작구,2021,68311,1831,9,0.33
관악구,2013,97304,4140,20,0.0
관악구,2014,98182,4071,20,0.0
관악구,2015,100724,3960,21,0.0
관악구,2016,96179,3561,21,0.0
관악구,2017,94943,2931,20,0.0
관악구,2018,96477,2582,20,0.0
관악구,2019,95788,2245,20,0.0
관악구,2020,103226,1905,21,0.0
관악구,2021,95711,1707,21,0.0
서초구,2013,76974,4081,26,0.33
서초구,2014,74512,4135,24,0.33
서초구,2015,83320,4078,24,0.33
서초구,2016,74319,3629,25,0.33
서초구,2017,76574,3039,23,0.33
서초구,2018,83489,2919,24,0.33
서초구,2019,67634,2512,26,0.33
서초구,2020,77669,2238,29,0.33
서초구,2021,81777,2163,36,0.33
