시군구,년도,전입인구,전출인구,등록외국인,주민등록인구,출생아수,산부인과의원수,소아청소년과의원수,문화기반시설수
노원구,2020,68176,77707,3995,523037,2252,17,29,21
노원구,2021,58736,68473,3990,510956,2225,17,27,22
은평구,2013,77427,77311,4451,503660,4157,17,29,7
은평구,2014,73950,80850,4599,498644,4085,17,28,9
은평구,2015,82375,85329,4658,497920,3870,15,27,12
은평구,2016,74864,82925,4461,491476,3522,13,28,12
은평구,2017,68402,73637,4408,486794,2930,12,27,12
은평구,2018,67489,71519,4469,483197,2703,13,25,14
은평구,2019,69399,72721,4514,480032,2407,13,24,16
은평구,2020,76364,76165,4208,479835,2144,13,22,16
은평구,2021,63269,66951,3866,473307,2076,12,19,16
서대문구,2013,47645,49668,9957,314110,2358,9,14,12
서대문구,2014,45088,49817,10485,310376,2334,9,14,13
서대문구,2015,55729,55165,10964,312141,2175,8,13,14
서대문구,2016,55152,54236,11677,314194,2201,7,13,13
서대문구,2017,48534,50286,12228,312800,1911,10,14,13
서대문구,2018,45861,48484,12767,310313,1647,10,13,13
서대문구,2019,45729,46677,13774,309397,1521,9,13,13
서대문구,2020,56504,53579,10779,312173,1533,9,11,14
서대문구,2021,42484,47061,10840,304819,1426,9,11,14
마포구,2013,60331,65135,9242,381856,3320,22,22,10
마포구,2014,68853,67146,10391,385439,3373,24,22,11
마포구,2015,71484,72254,10708,387643,3626,25,24,11
마포구,2016,62642,72793,10995,379892,3392,26,24,12
마포구,2017,57490,63689,10868,374915,2812,25,23,14
마포구,2018,60227,61071,11282,375077,2528,26,22,14
마포구,2019,57766,59573,11890,374035,2334,26,22,13
마포구,2020,66215,68667,9968,371890,2015,26,19,13
마포구,2021,61543,62124,9781,368905,1959,26,18,14
양천구,2013,63005,68505,4406,492528,3547,17,28,8
양천구,2014,62502,70772,4487,486221,3527,16,27,8
양천구,2015,66589,70624,4478,484532,3526,15,27,7
양천구,2016,65385,74404,4106,477739,3334,15,27,8
양천구,2017,54797,62729,3864,471154,2876,16,26,9
양천구,2018,54579,62414,3960,464185,2387,16,26,12
양천구,2019,50256,56733,4120,458165,2222,15,24,12
양천구,2020,64081,68021,3530,454251,1875,15,22,12
양천구,2021,54952,60442,3185,447302,1827,15,22,12
강서구,2013,84702,86246,6166,569070,5224,14,25,12
강서구,2014,109436,96548,6493,585160,5424,13,27,12
강서구,2015,94604,94501,6617,589074,5812,13,29,13
강서구,2016,95852,93011,6619,595485,5456,13,31,14
강서구,2017,90217,86483,6564,601691,4800,14,34,14
강서구,2018,83699,90281,6662,596949,4260,14,32,14
강서구,2019,78518,85057,6477,591796,3841,18,29,14
강서구,2020,87198,99573,5716,580185,3345,19,27,15
강서구,2021,87269,91368,5453,574315,3006,19,28,14
구로구,2013,56381,62188,27204,424964,4468,16,23,13
구로구,2014,62804,65025,31300,425831,4279,14,21,13
구로구,2015,57099,64052,32512,422092,4257,12,19,13
구로구,2016,54368,61558,32049,417551,3736,12,21,13
구로구,2017,50077,58672,30817,410742,3139,12,19,15
구로구,2018,51108,58543,33989,404497,2658,12,19,15
구로구,2019,54791,53666,32707,406664,2460,12,18,15
구로구,2020,60885,64024,28080,404408,2269,12,18,15
