시군구,년도,principal_col,cluster_id,pred_cluster
종로구,2013,-0.5959128344556133,1.0,0.9549313034503825
종로구,2014,-0.607813800009524,1.0,0.9638807665535382
종로구,2015,-0.6078073460025469,1.0,0.9638759131744533
종로구,2016,-0.6390037766739052,1.0,0.9873354639124798
종로구,2017,-0.6561798305947226,1.0,1.0002517655458087
종로구,2018,-0.6660745668157845,1.0,1.0076925548098994
종로구,2019,-0.6748618089180467,1.0,1.0143005143587656
종로구,2020,-0.6735502946392736,1.0,1.0133142625631468
종로구,2021,-0.6657257123790468,1.0,1.0074302181200054
중구,2013,-0.6720674355238909,1.0,1.0121991603573486
중구,2014,-0.6676853055564672,1.0,1.0089038218170394
중구,2015,-0.6694685066596037,1.0,1.0102447796078788
중구,2016,-0.6825976532421859,1.0,1.020117828343671
중구,2017,-0.6958486396713401,1.0,1.0300824999991705
중구,2018,-0.6943485361285993,1.0,1.028954430075276
중구,2019,-0.6986296008834565,1.0,1.0321737681106864
중구,2020,-0.6994868363173448,1.0,1.0328184046195097
중구,2021,-0.7085816595926591,1.0,1.0396576635824433
용산구,2013,-0.4222459330375866,1.0,0.824334712825912
용산구,2014,-0.4298268746439588,1.0,0.8300355407869768
용산구,2015,-0.42001780707786424,1.0,0.8226591738979662
용산구,2016,-0.4588696119201553,1.0,0.8518755254916259
용산구,2017,-0.4983717541306681,1.0,0.8815809273438666
용산구,2018,-0.4927946236984712,1.0,0.8773869547793438
용산구,2019,-0.510764385785873,1.0,0.8909001207527418
용산구,2020,-0.5036028260197802,1.0,0.8855146657157233
용산구,2021,-0.4886992255149212,1.0,0.8743072370227986
성동구,2013,-0.1912522679215504,0.67,0.6506286993386827
성동구,2014,-0.19053789138911245,0.67,0.6500914919675789
성동구,2015,-0.19498700955318485,0.67,0.6534372052771903
성동구,2016,-0.2199869356517266,0.67,0.6722370173753773
성동구,2017,-0.23164117564925896,0.67,0.6810009441660876
성동구,2018,-0.21810563970231747,0.67,0.6708222927793701
성동구,2019,-0.2307114244319699,0.67,0.6803017761719823
성동구,2020,-0.22325495817017638,0.67,0.6746945530111761
성동구,2021,-0.2740940787839576,0.67,0.712925302614548
광진구,2013,-0.03596380565129691,0.67,0.5338525976738278
광진구,2014,-0.019519898827931856,0.33,0.5214868667824316
광진구,2015,-0.026378084113483385,0.33,0.5266441858158842
광진구,2016,-0.06286698879575417,0.67,0.5540836489963519
광진구,2017,-0.1220540246269357,0.67,0.5985919866565892
광진구,2018,-0.12286458238095993,0.67,0.5992015217972261
광진구,2019,-0.16022282651965442,0.67,0.6272947236473956
광진구,2020,-0.17659035681966528,0.67,0.6396030197975004
광진구,2021,-0.2102529232427849,0.67,0.6649170915672686
동대문구,2013,-0.11176016540444636,0.67,0.590851059008036
동대문구,2014,-0.08603834291857823,0.67,0.5715083846476726
동대문구,2015,-0.08038676366470791,0.67,0.5672584269633189
동대문구,2016,-0.12534587963559513,0.67,0.601067444198877
동대문구,2017,-0.1656490822859052,0.67,0.6313752392617265
동대문구,2018,-0.15121613991173247,0.67,0.6205217429918221
동대문구,2019,-0.18077744324633654,0.67,0.6427516866275548
동대문구,2020,-0.18344053252513903,0.67,0.6447543156691304
동대문구,2021,-0.23520466849809793,0.67,0.6836806719263753
중랑구,2013,0.010745618689191515,0.33,0.4987273578089432
중랑구,2014,0.04324923377623799,0.33,0.47428481130941913
중랑구,2015,0.06019646068320647,0.33,0.46154058637929296
중랑구,2016,-0.008813760714468663,0.33,0.5134359075901127
중랑구,2017,-0.06732171682842658,0.67,0.5574335808974566
중랑구,2018,-0.09551973113822305,0.67,0.5786383384026033
중랑구,2019,-0.1411867403020753,0.67,0.6129796875722989
중랑구,2020,-0.14361062714191977,0.67,0.6148024376459083
중랑구,2021,-0.17266915289374762,0.67,0.6366542952006615
성북구,2013,0.23747356366022912,0.33,0.3282291432917319
성북구,2014,0.23587922675293657,0.33,0.3294280762069797
성북구,2015,0.23205477443361333,0.33,0.3323040441077787
성북구,2016,0.17082835323123974,0.33,0.3783459887724159
성북구,2017,0.10759158345819683,0.33,0.4258997049211555
성북구,2018,0.052865799781828586,0.33,0.4670532045749711
성북구,2019,0.017416146990063934,0.67,0.4937111558346759
성북구,2020,0.04291310792541477,0.33,0.4745375761700796
성북구,2021,-0.00013601634824573429,0.67,0.5069102897591621
강북구,2013,-0.32722789560666116,0.67,0.752881651620899
강북구,2014,-0.332776053981687,0.67,0.7570538373517821
강북구,2015,-0.3523919154596381,0.67,0.7718048613538514
강북구,2016,-0.38278065183976884,0.67,0.7946570302601076
강북구,2017,-0.4303034341981357,0.67,0.8303939110492251
강북구,2018,-0.46224626792146095,0.67,0.8544147529315208
강북구,2019,-0.497468633747168,1.0,0.8809017855958102
강북구,2020,-0.4959861660778577,0.67,0.8797869777553864
강북구,2021,-0.5287603206682028,1.0,0.9044329685293896
도봉구,2013,-0.14804133615111614,0.67,0.618134307368495
도봉구,2014,-0.15223992187690816,0.67,0.6212916216106208
도봉구,2015,-0.15328810405525878,0.67,0.6220798490605735
도봉구,2016,-0.1962193196072726,0.67,0.6543638959150841
도봉구,2017,-0.2523481352311357,0.67,0.6965724681669823
도봉구,2018,-0.27599779522095536,0.67,0.7143568872985474
도봉구,2019,-0.3131766455025515,1.0,0.7423151859177344
도봉구,2020,-0.30399924092471964,0.67,0.7354138262524215
도봉구,2021,-0.3416269974174446,1.0,0.7637096999662574
노원구,2013,0.6497323332421946,0.33,0.018212730706303415
노원구,2014,0.6555555217451519,0.33,0.013833723774986706
