시군구,년도,전출인구,출생아수,산부인과의원수,초등학교수,cluster_id,pred_cluster
노원구,2015,83672,4462,16,42,0.33,0.2554939669059233
노원구,2016,81176,4176,16,42,0.33,0.2913781091956804
노원구,2017,78488,3494,16,42,0.33,0.33175687068672755
노원구,2018,72748,2851,17,42,0.33,0.4146756491466649
노원구,2019,68095,2604,17,42,0.33,0.48024329173138336
노원구,2020,77707,2252,17,42,0.33,0.34879438293190046
노원구,2021,68473,2225,17,42,0.33,0.47676724812141047
은평구,2013,77311,4157,17,31,0.33,0.32869450622449214
은평구,2014,80850,4085,17,31,0.33,0.28002980368312613
은평구,2015,85329,3870,15,30,0.33,0.21656108269184338
은평구,2016,82925,3522,13,30,0.33,0.2505290450977957
은평구,2017,73637,2930,12,30,0.33,0.3814045994228812
은평구,2018,71519,2703,13,30,0.33,0.4122465763562405
은평구,2019,72721,2407,13,31,0.33,0.3984997261399261
은평구,2020,76165,2144,13,31,0.33,0.3520360277107413
은평구,2021,66951,2076,12,30,0.33,0.47793453299862887
서대문구,2013,49668,2358,9,18,0.67,0.6962491627327335
서대문구,2014,49817,2334,9,18,0.67,0.6942975024419815
서대문구,2015,55165,2175,8,18,0.67,0.620525096597342
서대문구,2016,54236,2201,7,19,0.67,0.6343244925571497
서대문구,2017,50286,1911,10,19,0.67,0.6917531477116028
서대문구,2018,48484,1647,10,19,0.67,0.7179266219853251
서대문구,2019,46677,1521,9,19,0.67,0.7430644362382456
서대문구,2020,53579,1533,9,19,0.67,0.6474484089371318
서대문구,2021,47061,1426,9,19,0.67,0.7381883652151513
마포구,2013,65135,3320,22,22,0.33,0.48977760959035643
마포구,2014,67146,3373,24,22,0.33,0.46261882130501364
마포구,2015,72254,3626,25,22,0.33,0.3911886937833826
마포구,2016,72793,3392,26,22,0.33,0.38527612232535646
마포구,2017,63689,2812,25,22,0.33,0.513548492225486
마포구,2018,61071,2528,26,22,0.67,0.5515774464373299
마포구,2019,59573,2334,26,22,0.67,0.5732173424853046
마포구,2020,68667,2015,26,22,0.33,0.4487872816236522
마포구,2021,62124,1959,26,22,0.67,0.5396368753074389
양천구,2013,68505,3547,17,30,0.33,0.4519224241680989
양천구,2014,70772,3527,16,30,0.33,0.4201628752479619
양천구,2015,70624,3526,15,30,0.33,0.4217516618800221
양천구,2016,74404,3334,15,30,0.33,0.37030669789823056
양천구,2017,62729,2876,16,30,0.67,0.5345395596949377
양천구,2018,62414,2387,16,30,0.67,0.5411684095043638
양천구,2019,56733,2222,15,30,0.67,0.6201238332250661
양천구,2020,68021,1875,15,30,0.33,0.4654469864813353
양천구,2021,60442,1827,15,30,0.67,0.5706032317431623
강서구,2013,86246,5224,14,36,0.33,0.20625696385604386
강서구,2014,96548,5424,13,36,0.0,0.06223011212753793
강서구,2015,94501,5812,13,36,0.0,0.08877225611739759
강서구,2016,93011,5456,13,36,0.0,0.11105261072522632
강서구,2017,86483,4800,14,36,0.33,0.20494178253941397
강서구,2018,90281,4260,14,36,0.0,0.15486133705713456
강서구,2019,85057,3841,18,36,0.33,0.23099207879243377
강서구,2020,99573,3345,19,35,0.0,0.0312558227625328
강서구,2021,91368,3006,19,35,0.0,0.1464286524502587
구로구,2013,62188,4468,16,24,0.67,0.5255117868185046
구로구,2014,65025,4279,14,24,0.33,0.4861791306783656
구로구,2015,64052,4257,12,24,0.33,0.4988227272266812
구로구,2016,61558,3736,12,24,0.67,0.5357689131928279
구로구,2017,58672,3139,12,24,0.67,0.5784948883272529
