,총인구,전출인구,출생아수,산부인과의원수,초등학교수
0,0.06788361260574349,0.1094331070431531,0.06303672574456422,0.06,0.06666666666666665
1,0.06232406199522278,0.08344235781319212,0.0688836104513064,0.06,0.06666666666666665
2,0.058697796777375855,0.08329813645400883,0.06906632559839211,0.06,0.06666666666666665
3,0.05463428383520458,0.07213128264295945,0.058103416773250496,0.06,0.033333333333333326
4,0.0583075260812847,0.06623880996775625,0.029417138680796637,0.06,0.033333333333333326
5,0.0552269171144541,0.05577245990131138,0.02119495706194044,0.06,0.033333333333333326
6,0.05201983153314954,0.04698525851678634,0.026493696327425542,0.04000000000000001,0.033333333333333326
7,0.04857605400190074,0.060469955600424424,0.0001827151470856908,0.06,0.033333333333333326
8,0.04008224593558363,0.051960895408610014,0.0,0.1,0.033333333333333326
9,0.014393038727139346,0.0321819661491867,0.09026128266033255,0.04000000000000001,0.0
10,0.010056697659459907,0.03696187405354734,0.09373287045496072,0.04000000000000001,0.0
11,0.005843219588698045,0.036735240489116444,0.07710579207016262,0.06,0.0
12,0.004968724140049369,0.023394764764661652,0.07875022839393385,0.04000000000000001,0.0
13,0.0057998561780212565,0.012258815530580086,0.05116024118399416,0.06,0.0
14,0.00582876511847244,0.015338971701709031,0.03745660515256714,0.08000000000000002,0.0
15,0.006634601833549553,0.0,0.04659236250685182,0.08000000000000002,0.0
16,0.004952462861045559,0.024198283765825723,0.02959985382788234,0.06,0.0
17,0.0,0.01794525769266428,0.018088799561483654,0.06,0.0
18,0.211832067964919,0.20849257775076488,0.29252695048419514,0.020000000000000018,0.09999999999999998
19,0.20498606950432008,0.21891772171458593,0.26457153298008407,0.020000000000000018,0.09999999999999998
20,0.20027210540199686,0.22639662934080537,0.2629270966563128,0.04000000000000001,0.09999999999999998
21,0.1946691913807994,0.19810863988956764,0.2156038735611182,0.04000000000000001,0.09999999999999998
22,0.19271783790034364,0.17757769925726,0.17102137767220904,0.020000000000000018,0.09999999999999998
23,0.19242513487827528,0.18972319800562462,0.1551251598757537,0.04000000000000001,0.09999999999999998
24,0.19183069479024756,0.1678015514097638,0.143614105609355,0.04000000000000001,0.09999999999999998
25,0.19430602281638126,0.20192020438226901,0.11839941531152932,0.04000000000000001,0.09999999999999998
26,0.18150116900527946,0.20796719994231147,0.12899689384249957,0.06,0.09999999999999998
27,0.3195124507192905,0.2881542756482235,0.42207198976795174,0.1,0.2666666666666666
28,0.31363851538136306,0.32928826759243046,0.3884524027041842,0.08000000000000002,0.2666666666666666
29,0.31529535903097233,0.3060274226612961,0.40654120226566787,0.08000000000000002,0.2666666666666666
30,0.31937151963459093,0.2843427111555221,0.36597843961264387,0.04000000000000001,0.29999999999999993
31,0.32939750154482145,0.27450475415409026,0.35337109446373105,0.04000000000000001,0.29999999999999993
32,0.3355641399048173,0.3052136021344761,0.3321761374017906,0.06,0.29999999999999993
33,0.3223166179430566,0.29583921378756195,0.3038552896035081,0.08000000000000002,0.29999999999999993
34,0.30906728917251775,0.3472850329133744,0.2589073634204275,0.08000000000000002,0.29999999999999993
35,0.29539697395665826,0.274958021282952,0.23844326694682988,0.08000000000000002,0.29999999999999993
36,0.44524827359421243,0.4245567768586528,0.4498446921249772,0.18,0.33333333333333326
37,0.4351789282733051,0.4615598570148238,0.45368171021377673,0.16000000000000003,0.33333333333333326
38,0.42978560407037875,0.45878874661337343,0.4427188013886351,0.16000000000000003,0.33333333333333326
39,0.4240869291839367,0.42300124648460435,0.40909921432486757,0.16000000000000003,0.33333333333333326
40,0.4249686518676982,0.3838657505176516,0.3323588525488763,0.16000000000000003,0.33333333333333326
41,0.42109485384723794,0.4057770955878566,0.3049515804860223,0.16000000000000003,0.33333333333333326
42,0.4134899956997951,0.38840872333192544,0.2610999451854559,0.14,0.33333333333333326
43,0.4050558123231586,0.4256487385781834,0.18344600767403618,0.14,0.33333333333333326
44,0.3929754888321149,0.3849268076602145,0.1746756806139229,0.12,0.33333333333333326
45,0.4368393855404707,0.37806599157335197,0.3879042572629271,0.18,0.29999999999999993
46,0.4357805955964456,0.41488364426771607,0.3847980997624703,0.2,0.29999999999999993
47,0.42939533337428765,0.4278532650685566,0.3944820025580121,0.18,0.29999999999999993
48,0.42020951754592,0.3733066867203032,0.33893659784396124,0.22000000000000003,0.29999999999999993
49,0.41221980912872064,0.34354557910026473,0.2903343687191668,0.22000000000000003,0.29999999999999993
50,0.4075311403492922,0.39373461209605143,0.24812716974237164,0.24,0.29999999999999993
51,0.4041740896393971,0.35309509338333,0.24776173944820024,0.22000000000000003,0.29999999999999993
52,0.39810863257098045,0.3991944206937047,0.21450758267860404,0.18,0.29999999999999993
53,0.38828501324390835,0.32601238243383845,0.19312991046957795,0.18,0.29999999999999993
54,0.5317420166154134,0.4754669166503559,0.500091357573543,0.16000000000000003,0.33333333333333326
55,0.5354242929053847,0.5059388295406549,0.5042938059565139,0.14,0.3666666666666666
56,0.5265221460551943,0.5346491815437866,0.5189110177233693,0.12,0.3666666666666666
57,0.5212751733633023,0.46809102428069593,0.46720263109811805,0.1,0.3666666666666666
58,0.5162540517686851,0.4178607851822854,0.40489676594189655,0.1,0.3666666666666666
59,0.5071892921284569,0.41445098019016613,0.35044765211035994,0.1,0.3666666666666666
60,0.49599791855628744,0.3765001596736476,0.31353919239904987,0.08000000000000002,0.3666666666666666
61,0.4918187698523114,0.44119374079301144,0.24575187283025762,0.06,0.3666666666666666
62,0.4785351117149867,0.39736074912694563,0.23698154577014435,0.06,0.3666666666666666
63,0.6397729202727558,0.5344225479793557,0.6035081308240454,0.18,0.5666666666666667
64,0.6219162291178075,0.5885982714039949,0.5497898775808515,0.16000000000000003,0.5666666666666667
65,0.608489833087005,0.5854254015019624,0.5455874291978806,0.16000000000000003,0.5666666666666667
66,0.5923730987854632,0.5255014267613033,0.4626347524209757,0.2,0.5666666666666667
67,0.5809902034828045,0.5030956084596129,0.3842499543212132,0.16000000000000003,0.5666666666666667
68,0.5661978600156832,0.474828222059687,0.31719349534076374,0.14,0.5666666666666667
69,0.5784516371494339,0.4304492495338559,0.2958158231317376,0.14,0.5666666666666667
70,0.5685196092956697,0.5031986237161723,0.2764480175406541,0.12,0.5666666666666667
71,0.5565495011400963,0.4430686184623942,0.2578110725379134,0.12,0.5666666666666667
72,0.39064651231701547,0.3432468348562422,0.3586698337292162,0.04000000000000001,0.06666666666666665
73,0.38399384239568385,0.34259783873991734,0.33473414946099034,0.06,0.06666666666666665
74,0.3764919723485985,0.3384669269518815,0.2989219806321944,0.06,0.06666666666666665
75,0.3698465296623797,0.30454400296683937,0.2625616663621414,0.08000000000000002,0.06666666666666665
76,0.3649392370207892,0.2619162898025198,0.2272976429746026,0.06,0.06666666666666665
77,0.3553360483646573,0.2721251017275659,0.1490955600219258,0.06,0.06666666666666665
78,0.3459225746302365,0.23938685319295785,0.12771788781289972,0.04000000000000001,0.06666666666666665
79,0.3352642096476361,0.2809432076890588,0.09519459163164627,0.020000000000000018,0.06666666666666665
80,0.3192323953586696,0.24287907039032483,0.08514525854193312,0.0,0.06666666666666665
81,0.42655683678373585,0.34237120517548647,0.3657957244655582,0.04000000000000001,0.3666666666666666
82,0.41775225760756834,0.33137947730058814,0.36999817284852915,0.04000000000000001,0.3666666666666666
83,0.4132948603517495,0.3407332625961905,0.35684268225835925,0.04000000000000001,0.3666666666666666
84,0.40783468422402985,0.3010414842438165,0.31445276813447837,0.04000000000000001,0.3666666666666666
85,0.40050988143720795,0.26656227787335307,0.2517814726840855,0.020000000000000018,0.3666666666666666
86,0.3919221193144245,0.2557765805115738,0.21542115841403253,0.020000000000000018,0.3666666666666666
87,0.3809891193975377,0.22499562185159624,0.17449296546683718,0.020000000000000018,0.3666666666666666
88,0.36634493425022857,0.2936758933998125,0.12607345148912846,0.0,0.3666666666666666
89,0.3520874061814541,0.24000494473231485,0.11109080942810158,0.0,0.3666666666666666
90,0.8455503720219275,0.6600805579306295,0.7564407089347708,0.22000000000000003,0.9999999999999999
91,0.8312277988371379,0.663047397319543,0.7650283208477984,0.22000000000000003,0.9999999999999999
92,0.8168293396836639,0.6622644813696908,0.7188013886351179,0.2,0.9999999999999999
93,0.8041780646187091,0.6365518733324405,0.6665448565686096,0.2,0.9999999999999999
