군구,년도,전입인구,전출인구,등록외국인,주민등록인구,출생아수,산부인과의원수,소아청소년과의원수,유치원수,유치원원아수,초등학교수,초등학교학생수,문화기반시설수
성북구,2021,59054,62394,9614,430528,1939,12,18,46,4208,29,19628,25
강북구,2013,47329,52704,3214,338707,2491,8,13,23,2172,14,13005,9
강북구,2014,48224,52641,3385,335025,2360,9,13,24,2182,14,12402,11
강북구,2015,47491,52240,3553,330873,2164,9,13,22,2103,14,11879,9
강북구,2016,44791,48947,3509,327195,1965,10,12,24,2105,14,11225,11
강북구,2017,42231,44809,3523,324479,1772,9,12,23,1887,14,10878,12
강북구,2018,40941,45800,3751,319164,1344,9,11,23,1692,14,10654,12
강북구,2019,38046,42622,3741,313954,1227,8,10,21,1376,14,10392,12
강북구,2020,41625,46656,3514,308055,1049,7,10,18,1244,14,9913,12
강북구,2021,37057,42961,3381,299182,994,6,8,20,1199,14,9412,12
도봉구,2013,47956,52619,2027,358582,2530,8,16,31,3287,23,18763,8
도봉구,2014,45658,51552,2003,353709,2553,8,16,31,3097,23,18014,8
도봉구,2015,48961,52460,1999,351242,2481,8,17,30,3035,23,17408,10
도봉구,2016,44836,48607,2052,348220,2249,8,17,30,3027,23,16760,12
도봉구,2017,40965,45260,2068,344166,1906,7,17,29,2929,23,16242,12
도봉구,2018,39518,44213,2236,339413,1707,7,15,29,2686,23,15962,10
도봉구,2019,35445,41225,2269,333362,1483,7,15,26,2419,23,15561,11
도봉구,2020,40435,47892,2104,325257,1218,6,14,24,2252,23,14540,11
도봉구,2021,36895,42682,2007,317366,1136,6,13,26,2115,23,13952,12
노원구,2013,74362,83460,3548,590479,4668,17,35,70,8163,42,33518,14
노원구,2014,73503,83748,3504,582552,4715,17,35,70,7733,42,31890,14
노원구,2015,73528,83672,3638,574583,4462,16,34,69,7364,42,31048,15
노원구,2016,72249,81176,3631,567581,4176,16,33,67,7255,42,29482,14
노원구,2017,64406,78488,3672,554403,3494,16,34,68,6867,42,28364,15
노원구,2018,61867,72748,4408,543752,2851,17,31,68,6639,42,27558,19
노원구,2019,57183,68095,4398,532905,2604,17,29,66,6203,42,26994,19
노원구,2020,68176,77707,3995,523037,2252,17,29,62,5872,42,25841,21
노원구,2021,58736,68473,3990,510956,2225,17,27,57,5466,42,24692,22
은평구,2013,77427,77311,4451,503660,4157,17,29,49,4896,31,25395,7
은평구,2014,73950,80850,4599,498644,4085,17,28,50,4549,31,24688,9
은평구,2015,82375,85329,4658,497920,3870,15,27,48,4600,30,23918,12
은평구,2016,74864,82925,4461,491476,3522,13,28,48,4586,30,23037,12
은평구,2017,68402,73637,4408,486794,2930,12,27,48,4242,30,22409,12
은평구,2018,67489,71519,4469,483197,2703,13,25,43,3939,30,22028,14
은평구,2019,69399,72721,4514,480032,2407,13,24,44,3624,31,21613,16
은평구,2020,76364,76165,4208,479835,2144,13,22,42,3551,31,20400,16
은평구,2021,63269,66951,3866,473307,2076,12,19,39,3196,30,19730,16
서대문구,2013,47645,49668,9957,314110,2358,9,14,26,2524,18,14444,12
서대문구,2014,45088,49817,10485,310376,2334,9,14,26,2563,18,13645,13
서대문구,2015,55729,55165,10964,312141,2175,8,13,26,2571,18,13171,14
서대문구,2016,55152,54236,11677,314194,2201,7,13,27,2748,19,13331,13
서대문구,2017,48534,50286,12228,312800,1911,10,14,27,2649,19,13193,13
서대문구,2018,45861,48484,12767,310313,1647,10,13,27,2614,19,13027,13
서대문구,2019,45729,46677,13774,309397,1521,9,13,25,2439,19,12993,13
서대문구,2020,56504,53579,10779,312173,1533,9,11,23,2371,19,12988,14
서대문구,2021,42484,47061,10840,304819,1426,9,11,23,2257,19,12940,14
마포구,2013,60331,65135,9242,381856,3320,22,22,29,3217,22,17375,10
마포구,2014,68853,67146,10391,385439,3373,24,22,28,3183,22,17050,11
마포구,2015,71484,72254,10708,387643,3626,25,24,28,3132,22,17117,11
마포구,2016,62642,72793,10995,379892,3392,26,24,28,3085,22,16361,12
마포구,2017,57490,63689,10868,374915,2812,25,23,27,2975,22,15850,14
마포구,2018,60227,61071,11282,375077,2528,26,22,26,2782,22,15432,14
마포구,2019,57766,59573,11890,374035,2334,26,22,24,2609,22,15272,13
마포구,2020,66215,68667,9968,371890,2015,26,19,25,2784,22,14375,13
마포구,2021,61543,62124,9781,368905,1959,26,18,26,2711,22,13888,14
양천구,2013,63005,68505,4406,492528,3547,17,28,48,5374,30,26349,8
양천구,2014,62502,70772,4487,486221,3527,16,27,50,5264,30,25446,8
양천구,2015,66589,70624,4478,484532,3526,15,27,50,5168,30,25237,7
양천구,2016,65385,74404,4106,477739,3334,15,27,49,5177,30,24825,8
양천구,2017,54797,62729,3864,471154,2876,16,26,50,4972,30,24526,9
양천구,2018,54579,62414,3960,464185,2387,16,26,47,4805,30,24481,12
양천구,2019,50256,56733,4120,458165,2222,15,24,43,4469,30,24414,12
양천구,2020,64081,68021,3530,454251,1875,15,22,39,4150,30,23985,12
양천구,2021,54952,60442,3185,447302,1827,15,22,39,3769,30,23469,12
강서구,2013,84702,86246,6166,569070,5224,14,25,45,5462,36,28241,12
강서구,2014,109436,96548,6493,585160,5424,13,27,46,5131,36,27387,12
강서구,2015,94604,94501,6617,589074,5812,13,29,52,5643,36,27960,13
강서구,2016,95852,93011,6619,595485,5456,13,31,52,5858,36,27048,14
강서구,2017,90217,86483,6564,601691,4800,14,34,53,6084,36,26594,14
강서구,2018,83699,90281,6662,596949,4260,14,32,56,6023,36,26949,14
강서구,2019,78518,85057,6477,591796,3841,18,29,56,5683,36,27134,14
강서구,2020,87198,99573,5716,580185,3345,19,27,54,5375,35,26078,15
강서구,2021,87269,91368,5453,574315,3006,19,28,52,4786,35,24896,14
구로구,2013,56381,62188,27204,424964,4468,16,23,35,3462,24,19788,13
구로구,2014,62804,65025,31300,425831,4279,14,21,38,3614,24,19562,13
구로구,2015,57099,64052,32512,422092,4257,12,19,37,3568,24,19363,13
구로구,2016,54368,61558,32049,417551,3736,12,21,36,3482,24,19143,13
구로구,2017,50077,58672,30817,410742,3139,12,19,36,3271,24,18965,15
구로구,2018,51108,58543,33989,404497,2658,12,19,34,3108,24,18820,15
구로구,2019,54791,53666,32707,406664,2460,12,18,34,3135,26,18674,15
구로구,2020,60885,64024,28080,404408,2269,12,18,32,2905,26,18180,15
구로구,2021,48170,54880,24409,396754,2229,12,18,31,2693,26,17290,16
금천구,2013,34966,38174,17234,241020,1739,8,9,19,2055,18,10406,6
금천구,2014,33510,37071,19567,238463,1820,9,10,19,1946,18,9912,6
금천구,2015,34056,37303,19883,236284,1885,9,10,18,1763,17,9610,6
금천구,2016,34870,36528,19268,235386,1595,10,10,17,1666,17,9189,6
금천구,2017,34230,34907,18337,235154,1498,10,10,18,1767,18,9030,6
금천구,2018,33794,35508,20104,233917,1314,10,11,18,1716,18,8883,6
금천구,2019,32416,33728,19010,232810,1154,11,11,19,1610,18,8880,7
금천구,2020,35753,36963,16102,231733,1092,10,11,18,1550,18,8339,7
금천구,2021,35663,35047,14080,230811,1012,10,11,18,1423,18,8050,7
영등포구,2013,57690,65125,35106,386471,3448,19,21,41,3841,23,15941,9
영등포구,2014,59057,65662,39084,382352,3480,18,23,41,3932,23,15499,9
영등포구,2015,58936,65678,39307,378504,3611,19,22,42,4013,23,15078,10
영등포구,2016,61308,71785,36166,370613,3282,19,20,42,4017,23,14449,11
영등포구,2017,62622,66039,33474,368550,2805,18,22,42,3883,23,13905,11
영등포구,2018,59862,62108,35822,367778,2698,17,23,42,3707,23,13881,12
영등포구,2019,56874,58253,33308,367678,2633,17,24,39,3377,23,13891,11
영등포구,2020,79309,68526,27887,379480,2296,17,20,37,3410,23,13537,11
영등포구,2021,60565,61108,24071,376837,2402,17,19,37,3356,23,13776,11
동작구,2013,70907,67868,10672,410815,3712,10,20,31,3365,21,18171,6
동작구,2014,63291,69117,11791,407470,3765,10,17,34,3693,21,17916,7
동작구,2015,66694,76096,12133,400641,3643,10,18,34,3706,21,17474,7
동작구,2016,66425,68243,12250,400997,3184,10,18,34,3684,21,16887,7
동작구,2017,60949,66978,12276,396217,2814,10,16,34,3620,21,16698,7
동작구,2018,65099,66105,13182,396203,2417,10,15,37,3490,21,16366,8
동작구,2019,61168,62047,12949,395963,2227,9,15,34,3113,21,16257,8
동작구,2020,64496,69650,10352,391220,2044,9,15,32,2846,21,15553,8
동작구,2021,64257,68311,8881,385483,1831,9,14,31,2661,21,15174,9
관악구,2013,89789,97304,17100,518028,4140,20,25,36,4608,22,19157,10
관악구,2014,90987,98182,18774,513186,4071,20,25,36,4413,22,18364,10
관악구,2015,94590,100724,19368,509663,3960,21,24,36,4549,22,17747,10
관악구,2016,91198,96179,18756,506851,3561,21,22,36,4385,22,16883,10
관악구,2017,90303,94943,17632,503297,2931,20,22,35,4147,22,16227,11
관악구,2018,94403,96477,18083,501957,2582,20,22,36,3830,22,15768,11
관악구,2019,93583,95788,17240,500094,2245,20,21,33,3252,22,15246,11
관악구,2020,98301,103226,14743,495060,1905,21,20,33,2991,22,14410,11
관악구,2021,89756,95711,13750,485699,1707,21,18,32,2682,22,13550,10
서초구,2013,80562,76974,4778,441763,4081,26,29,26,2679,24,21579,14
서초구,2014,79323,74512,4610,449678,4135,24,29,25,2652,24,22144,15
서초구,2015,76543,83320,4494,446764,4078,24,31,28,3097,24,22817,14
서초구,2016,71136,74319,4285,447192,3629,25,31,27,3044,24,22595,14
서초구,2017,68680,76574,4299,441102,3039,23,31,28,3122,24,22939,17
서초구,2018,74658,83489,4212,433951,2919,24,30,28,2916,24,23182,19
서초구,2019,63335,67634,4281,430826,2512,26,29,27,2655,24,23064,19
서초구,2020,71250,77669,3899,425126,2238,29,28,26,2467,24,22668,22
서초구,2021,70064,81777,3888,412279,2163,36,26,26,2321,24,22345,22
강남구,2013,96256,100020,5553,563599,4551,46,28,38,3800,31,22280,24
강남구,2014,115906,104412,5332,578114,4654,48,27,40,4042,31,22665,25
강남구,2015,108537,114523,5265,576495,4595,52,28,42,4213,33,24007,24
강남구,2016,95358,108949,5025,567115,4122,52,30,41,4318,33,24190,25
