"행정구역별(1)","행정구역별(2)",시점,등록외국인<br>(A),주민등록인구<br>(B)
"서울특별시","금천구",2016,19268,235386
"서울특별시","금천구",2017,18337,235154
"서울특별시","금천구",2018,20104,233917
"서울특별시","금천구",2019,19010,232810
"서울특별시","금천구",2020,16102,231733
"서울특별시","금천구",2021,14080,230811
"서울특별시","영등포구",2013,35106,386471
"서울특별시","영등포구",2014,39084,382352
"서울특별시","영등포구",2015,39307,378504
"서울특별시","영등포구",2016,36166,370613
"서울특별시","영등포구",2017,33474,368550
"서울특별시","영등포구",2018,35822,367778
"서울특별시","영등포구",2019,33308,367678
"서울특별시","영등포구",2020,27887,379480
"서울특별시","영등포구",2021,24071,376837
"서울특별시","동작구",2013,10672,410815
"서울특별시","동작구",2014,11791,407470
"서울특별시","동작구",2015,12133,400641
"서울특별시","동작구",2016,12250,400997
"서울특별시","동작구",2017,12276,396217
"서울특별시","동작구",2018,13182,396203
"서울특별시","동작구",2019,12949,395963
"서울특별시","동작구",2020,10352,391220
"서울특별시","동작구",2021,8881,385483
"서울특별시","관악구",2013,17100,518028
"서울특별시","관악구",2014,18774,513186
"서울특별시","관악구",2015,19368,509663
"서울특별시","관악구",2016,18756,506851
"서울특별시","관악구",2017,17632,503297
"서울특별시","관악구",2018,18083,501957
"서울특별시","관악구",2019,17240,500094
"서울특별시","관악구",2020,14743,495060
"서울특별시","관악구",2021,13750,485699
"서울특별시","서초구",2013,4778,441763
"서울특별시","서초구",2014,4610,449678
"서울특별시","서초구",2015,4494,446764
"서울특별시","서초구",2016,4285,447192
"서울특별시","서초구",2017,4299,441102
"서울특별시","서초구",2018,4212,433951
"서울특별시","서초구",2019,4281,430826
"서울특별시","서초구",2020,3899,425126
"서울특별시","서초구",2021,3888,412279
"서울특별시","강남구",2013,5553,563599
"서울특별시","강남구",2014,5332,578114
"서울특별시","강남구",2015,5265,576495
"서울특별시","강남구",2016,5025,567115
"서울특별시","강남구",2017,4888,556164
"서울특별시","강남구",2018,5089,542364
"서울특별시","강남구",2019,5040,545169
"서울특별시","강남구",2020,4824,539231
"서울특별시","강남구",2021,4758,533042
"서울특별시","송파구",2013,6540,668415
"서울특별시","송파구",2014,7056,664738
"서울특별시","송파구",2015,7178,660302
"서울특별시","송파구",2016,7115,657831
"서울특별시","송파구",2017,6677,664496
"서울특별시","송파구",2018,6872,666635
"서울특별시","송파구",2019,6780,675961
"서울특별시","송파구",2020,5966,667960
"서울특별시","송파구",2021,5627,658338
"서울특별시","강동구",2013,4590,483379
"서울특별시","강동구",2014,4735,476597
"서울특별시","강동구",2015,4663,458658
"서울특별시","강동구",2016,4303,444168
"서울특별시","강동구",2017,4136,436223
"서울특별시","강동구",2018,4347,427573
"서울특별시","강동구",2019,4323,436067
"서울특별시","강동구",2020,4028,459970
"서울특별시","강동구",2021,3808,462664
