"행정구역(시군구)별","시점",총전입 (명),총전출 (명)
"강남구","2016",95358,108949
"강남구","2017",90474,103367
"강남구","2018",91611,106802
"강남구","2019",95557,93716
"강남구","2020",95325,101582
"강남구","2021",94082,98106
"강남구","2022",75316,76819
"송파구","2013",99953,108855
"송파구","2014",99723,107490
"송파구","2015",101994,111346
"송파구","2016",105735,112735
"송파구","2017",110872,107154
"송파구","2018",101060,101486
"송파구","2019",123273,116301
"송파구","2020",106928,116457
"송파구","2021",105181,113651
"송파구","2022",88263,86137
"강동구","2013",68569,75508
"강동구","2014",66412,75575
"강동구","2015",73720,94194
"강동구","2016",67962,84535
"강동구","2017",81615,90819
"강동구","2018",59334,68933
"강동구","2019",75101,67292
"강동구","2020",101437,78271
"강동구","2021",77883,74444
"강동구","2022",55517,56844
