"행정구역(시군구)별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"수영구",58605,58554,58558,59643,62062,62897,64232,65458,65932,66948,69633,70314,71183,71790,74356,76325,77733,79788,79842,81452,84311,85896,87361
"사상구",93213,93979,93578,93612,93345,93876,93812,93477,93480,93149,96873,96840,96373,96636,96915,96671,96403,97169,96698,96726,97556,98621,98625
"기장군",24674,25744,26168,27334,28875,29726,29825,30378,31769,35334,40664,42806,45186,51840,56606,60024,62810,65738,67970,69136,74649,76853,78736
"대구광역시",805779,815709,827177,845242,853142,865766,875173,883920,894969,906470,934598,940770,948652,960265,970618,982360,994220,1006753,1021266,1031251,1056627,1063893,1070873
"중구",33553,33444,33448,33369,32513,33524,33445,33954,34130,34106,35539,35371,35175,35780,37220,38294,37987,37856,38619,38418,39111,38370,40749
"동구",111127,112099,112567,117717,120937,123369,123614,124923,125324,127721,132857,135187,136479,138851,141918,144403,147154,148719,152370,152545,155865,158423,159422
"서구",93631,93386,92594,91843,91058,90557,89795,89005,87470,88112,91134,91355,91162,90793,90413,89896,88468,86738,85142,82733,83437,82301,81116
"남구",67264,67438,67726,68478,68189,69221,71127,72077,72425,72426,74527,74508,75085,75038,75028,74949,73979,73442,74134,74588,76582,76256,76401
"북구",127476,130373,139927,146477,152123,156299,159651,158730,160139,159488,162429,163032,164222,165041,167760,169568,171181,174617,177162,180115,187494,190956,192697
"수성구",144328,144550,141698,143946,143965,144890,147699,151031,153291,155905,160501,161277,162023,164518,165197,165786,165392,164900,165843,167040,170870,171239,171480
"달서구",179046,184343,188731,191545,192586,194385,195286,198529,202699,206757,213725,215189,217731,222326,224083,225889,225643,224583,227966,231978,235303,234950,235883
"달성군",49354,50076,50486,51867,51771,53521,54556,55671,59491,61955,63886,64851,66775,67918,68999,73575,84416,95898,100030,103834,107965,111398,113125
"인천광역시",829164,845739,872057,891606,908673,933686,965302,995712,1014755,1026936,1059664,1077563,1097491,1118988,1136280,1154004,1171399,1188917,1213201,1238641,1267956,1298647,1322632
"중구",26403,27593,30002,33920,36821,38707,39329,39082,38994,39991,42065,42288,44368,47949,49874,51240,52218,54525,57887,65002,68379,71061,75960
"중구영종출장소",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0
"중구용유출장소",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0
"동구",26253,26523,26739,29528,30034,29474,29280,29286,29968,30943,32474,32208,31423,30966,30776,30371,30081,29870,28952,28739,28777,28681,27618
"남구",139631,144020,152081,157384,159882,158876,161439,163179,168330,169510,173785,171868,171293,171342,171507,171888,178444,182292,-,-,-,-,-
"미추홀구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,184275,184872,188277,193561,194841
"연수구",82976,83016,83213,83788,84610,89463,93776,94432,95062,96504,100065,102953,104748,107906,112015,115920,120580,123913,129806,140700,152266,155984,156047
"남동구",132897,134790,136423,135330,134286,135174,143117,157972,168414,173529,179592,188124,192030,194917,199768,208231,209885,214280,218945,221455,225394,228442,226763
"부평구",176797,180135,187280,190442,193059,200093,205623,208567,210888,210135,214701,212946,213125,214173,216336,217217,216492,215192,212906,211851,211305,213372,217924
"계양구",106610,108537,111745,114119,115112,117132,122313,124259,124606,125826,128996,127929,127706,128889,128138,127063,126963,125936,124281,123283,124421,127984,127201
"서구",109031,112160,115348,117215,124078,132688,136814,143776,142084,143236,149708,160340,172946,182028,186599,190119,194008,199152,211847,217887,223229,232834,248741
"서구검단출장소",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0
"강화군",22974,23297,23459,23956,24522,25278,26170,27252,28210,28506,29055,29071,29308,29713,30184,30703,31106,31869,32556,33163,33915,34667,35114
"옹진군",5592,5668,5767,5924,6269,6801,7441,7907,8199,8756,9223,9836,10544,11105,11083,11252,11622,11888,11746,11689,11993,12061,12423
"광주광역시",430376,439620,449469,460647,469847,481935,495065,503844,513021,524093,540875,549105,555538,563599,573043,580427,586464,592818,603107,616485,633582,645712,652355
"동구",42237,41911,42427,44081,45705,46386,47393,48606,47112,46854,46449,47472,47283,46428,46153,45860,45095,45341,45452,47885,51029,52362,54072
"서구",88256,92760,96965,99805,102125,103653,105446,106561,107698,108212,111381,116992,117665,119155,119658,120107,123500,124663,126751,128783,131373,132808,133554
