"행정구역(시군구)별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"증평출장소",10293,10261,10324,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"충청남도",641499,653610,666201,691966,736328,756073,774490,796086,812871,827846,854432,868768,842446,857699,871459,885968,902294,923499,943611,959255,983153,1001915,1019093
"천안시",140891,146412,151536,162102,187837,194101,200280,204645,209512,212488,221744,227976,232724,238677,243364,247695,254676,263434,273851,281333,291425,297987,302893
"동남구",-,-,-,-,-,-,-,-,94701,95938,100450,102285,103844,105501,106767,107457,107475,108090,110982,113406,115586,116963,119122
"서북구",-,-,-,-,-,-,-,-,114811,116550,121294,125691,128880,133176,136597,140238,147201,155344,162869,167927,175839,181024,183771
"공주시",44379,44785,45146,46378,47696,49016,49744,49758,49778,49743,50789,51317,48825,49273,48794,48632,48835,49393,50134,50519,50966,51580,52394
"보령시",39112,39281,39360,39583,40222,41125,41991,43055,43645,44231,45299,45275,45284,45455,45831,46739,47011,47407,47705,48324,49361,49419,49694
"아산시",63394,65226,69932,73498,82998,85308,88442,92177,100099,105958,109718,112456,114439,117362,120475,122131,124223,129188,132159,135159,139580,145869,152249
"서산시",48709,49906,50286,53816,54453,55868,57438,59440,61312,62603,63668,64361,65364,66956,68248,69993,70991,72469,75091,76748,79103,81407,82433
"계룡출장소",8696,9097,9460,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"논산시",47811,48229,48458,49732,51406,51992,51745,51771,51840,52444,53704,54709,54995,55270,55451,56095,56347,56679,56729,57196,57826,58048,58137
"계룡시",-,-,-,10155,10338,11432,12259,12583,13755,14216,14417,14381,14017,13954,13894,14397,14858,15647,15860,15967,16531,17152,18051
"당진시",-,-,-,-,-,-,-,-,-,-,-,-,66369,68490,70502,72074,73434,74586,75540,76162,77661,79526,81199
"금산군",22478,22556,22510,22935,23479,23499,23512,24023,23908,24012,24410,24435,24607,24737,24913,25154,25342,25440,25588,25521,25897,25893,26180
"연기군",26893,27638,28854,30236,32215,32884,33388,32652,32128,32564,34339,34944,-,-,-,-,-,-,-,-,-,-,-
"부여군",31406,31419,31401,31383,31464,31604,31592,31612,31591,31590,32223,32035,32164,32288,32362,32733,32903,32999,33193,33341,33562,33257,32945
"서천군",26224,26123,25852,25683,25664,25782,25656,25648,25841,26149,26753,26638,26612,26663,26670,26622,26583,26544,26433,26410,26794,26646,26666
"청양군",14030,13997,13887,13761,13658,13800,13761,13856,13921,13981,14216,14253,14375,14588,14859,15226,15668,16147,16274,16296,16378,16426,16567
"홍성군",31321,31577,31628,33598,33763,34610,35177,35196,35397,35634,36490,36967,37536,38320,39530,41008,43555,44833,45358,45920,46588,46746,46871
"예산군",33045,33628,33687,33924,34044,34668,35185,35536,35854,35864,36454,36548,36720,36924,37369,37488,37251,37489,38060,38290,38946,39051,39605
"태안군",23159,23586,23727,23767,24339,24930,25747,26260,27149,27462,28132,28140,28415,28742,29197,29981,30617,31244,31636,32069,32535,32908,33209
"당진군",39951,40150,40477,41415,42752,45454,48573,57874,57141,58907,62076,64333,-,-,-,-,-,-,-,-,-,-,-
"전라북도",645798,656185,658563,672111,675145,683683,692574,701419,710550,720993,740650,754479,760189,766699,774562,782986,790084,797916,806235,816191,836660,849001,855849
"전주시",189042,191544,195850,201263,204772,209069,214515,218224,223318,227704,234415,241199,244811,247718,251702,254710,258006,260683,266541,273753,284106,293207,296241
"완산구",100906,102559,106560,110365,112258,116275,119225,120649,123199,125226,129853,134842,136704,138200,140438,142810,143668,144937,142949,143731,149040,152056,153551
"덕진구",88136,88985,89290,90898,92514,92794,95290,97575,100119,102478,104562,106357,108107,109518,111264,111900,114338,115746,123592,130022,135066,141151,142690
"전주시효자출장소",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0
"군산시",87989,88784,89491,90642,91909,93226,94828,96219,99379,101757,106405,109102,111278,112103,113098,114382,115329,115657,117068,118264,121220,122250,123176
"익산시",105012,107180,107663,109436,110595,111358,112593,114011,114197,114994,118174,122103,120978,122164,122345,122857,123675,126333,126516,126876,128400,129962,130068
"익산시함열출장소",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0
"정읍시",50451,51096,49877,52310,50188,50207,50039,50140,50328,50664,51812,51859,51757,51841,51988,52203,52330,52722,53110,53582,54335,54242,54528
"남원시",34589,35291,35239,35846,35359,35300,35124,35028,35337,35698,36425,36664,36781,36946,37046,37213,37529,37686,38054,38427,39457,39670,39799
"김제시",40094,40648,40363,40903,40510,40581,40600,40325,40252,40595,41481,41480,41532,41523,41535,41438,41601,41712,41618,41850,42459,42509,43215
"완주군",28440,29872,29932,30866,30927,32171,32593,33139,33963,34510,35099,35003,35824,36241,38090,40750,41204,41835,41881,41800,43275,44020,45356
"진안군",11135,11338,11275,11431,11551,11622,11564,12523,11955,12358,12463,12771,12480,12553,12504,12571,12654,12927,13023,13131,13406,13494,13513
"무주군",10339,10625,10520,10475,10515,10630,10714,10902,11172,11262,11402,11473,11428,11570,11761,11821,11893,12001,12204,12421,12674,12823,12932
"장수군",9714,9819,9566,9917,9816,9775,9848,10449,10148,10282,10464,10457,10460,10572,10787,10909,11123,11144,11327,11308,11554,11584,11611
"임실군",13604,13703,13506,13422,13340,13451,13657,13769,13604,13721,13876,14083,13916,13947,14157,14269,14332,14557,14790,14788,14801,14899,14992
"순창군",12596,12605,12482,12440,12665,12934,13246,13251,13143,13103,13197,13065,13325,13576,13753,13784,13819,13872,13877,13816,14097,13996,14132
"고창군",26449,26708,26361,26277,26016,26158,26199,26327,26621,27144,27814,27775,28166,28412,28435,28671,28900,29159,28802,28735,29057,28757,28592
"부안군",26344,26972,26438,26883,26982,27201,27054,27112,27133,27201,27623,27445,27453,27533,27361,27408,27689,27628,27424,27440,27819,27588,27694
"전라남도",723932,728837,731087,737207,741768,751732,758147,765729,773087,783156,799520,805051,808682,815769,823667,833901,842688,851376,860303,872628,893152,903108,907710
"목포시",79378,80961,82721,84356,86027,88849,90511,92615,95086,96223,98181,98809,99652,99334,99955,100172,101180,100845,101609,102481,103316,103162,104039
"여수시",98668,99138,99870,100917,101244,102450,103626,104984,106931,107985,110613,111921,112907,114364,116100,117602,118910,119684,120810,123677,126988,128169,128720
"순천시",83955,85396,86556,88326,89608,91716,93124,94599,95564,97100,100273,101471,102713,104507,105841,107871,109650,111677,113942,116946,121488,124029,124828
"나주시",40178,40151,40102,40484,40506,40898,41172,41277,40836,40733,41284,40768,40841,41094,42886,46444,49378,52303,54872,56090,58025,59292,59865
"광양시",42670,43176,43842,44373,45541,46742,47707,48665,50344,51840,53423,56442,57026,57707,58698,59789,61487,62790,64186,65725,65668,67103,68734
"담양군",18940,18715,18649,18898,19406,19976,20294,20852,20421,20431,20989,21217,21308,21516,21735,21953,22334,22710,23129,23521,24369,24773,24787
"곡성군",14386,14232,14108,13876,13850,14077,14166,14460,14198,14241,14449,14342,14269,14705,14782,14994,14960,15090,15132,15289,15414,15536,15512
"구례군",11660,11718,11762,11722,11819,11883,11862,11759,11759,11851,11968,12047,12067,12230,12424,12672,12883,13106,13151,13243,13414,13462,13429
"고흥군",36806,36600,36471,36664,36222,35902,35622,35284,35110,35162,35151,34855,34807,34699,34657,34583,34508,34516,34536,34791,35290,35379,35445
"보성군",22960,22826,22698,22912,22827,22862,22759,22624,22622,22611,22833,22557,22381,22296,22345,22384,22449,22428,22459,22276,22628,22511,22282
"화순군",28173,28929,29030,28794,28770,28835,28917,29012,28944,29147,29494,29495,29452,29517,29430,29405,29575,29671,29928,30103,31090,32012,32093
"장흥군",19676,19651,19541,19392,19368,19393,19333,19319,19265,19431,19878,20085,20228,20447,20603,20890,20161,20232,20139,20143,20431,20103,19788
"강진군",18111,18496,18086,18063,18133,18205,18253,18246,18352,18491,18783,18824,18550,18756,18753,18577,18414,18358,18352,18351,18612,18592,18550
"해남군",35717,35746,35217,35244,35147,35215,35075,35009,34952,35400,35660,35366,35488,35438,35344,35354,35231,35071,34745,34824,35259,35225,35074
"영암군",23902,24019,24542,24599,24743,25069,25338,25643,25957,26642,27248,27544,27467,27191,27353,27242,27190,26885,26851,27362,27827,28197,28353
"무안군",24927,25191,24931,24830,24909,25215,25675,26900,28076,30383,31572,32211,32248,33549,34562,35086,35500,36235,36410,36722,40114,42739,43119
"함평군",17398,17255,17114,17312,17153,17553,17412,17434,17449,17575,17716,17556,17519,17604,17489,17547,17591,17790,17751,17837,17995,17980,18010
"영광군",25850,25663,25251,25057,25100,25162,24991,24762,24860,24983,25637,25552,25778,26309,26040,26070,26054,26244,26378,26687,27138,27112,27549
"장성군",19835,19888,19721,19869,20050,20228,20119,20257,20289,20491,20938,20882,20971,21191,21292,21529,21557,21885,22095,22850,23178,23160,23358
"완도군",24715,25018,24904,24938,25068,25075,25095,24937,24745,24977,25274,25227,25215,25240,25321,25535,25688,25750,25835,25872,26241,26029,25781
"진도군",15735,15828,15714,15732,15817,15781,15799,15728,15641,15580,15782,15775,15736,15803,15865,15932,15911,16060,16110,16102,16840,16700,16578
"신안군",20292,20240,20257,20849,20460,20646,21297,21363,21686,21879,22374,22105,22059,22272,22192,22270,22077,22046,21883,21736,21827,21843,21816
"경상북도",943498,954933,964032,974099,985475,1006080,1030265,1045213,1058099,1073367,1101486,1114901,1125195,1139387,1153559,1169648,1180643,1193261,1207351,1227548,1254662,1276846,1286873
"포항시",163532,165648,167754,170098,172929,176676,179593,183065,187079,190790,196411,199120,202148,204857,207515,210690,212095,214012,216654,220328,225693,232201,232371
"남구",-,-,-,86558,87147,89359,90248,92588,94588,96040,98648,98991,99746,100431,101073,102172,102685,103117,103887,104824,106025,109419,109532
"북구",-,-,-,83540,85782,87317,89345,90477,92491,94750,97763,100129,102402,104426,106442,108518,109410,110895,112767,115504,119668,122782,122839
"경주시",97715,98386,99383,100514,101031,102182,103547,105009,105579,106571,108567,108945,109675,111053,111848,112609,113798,114942,116805,118542,121505,123071,124027
"김천시",48360,49227,49159,51193,50543,51244,51688,52352,53071,53122,54693,55334,55964,56681,57275,60757,62202,63360,63443,65273,67122,68393,69038
"안동시",60077,60583,61310,61667,62202,62994,63530,64409,65849,66870,68075,68766,69617,70674,71881,73108,73714,73816,73863,74827,76915,77666,77759
"구미시",112223,116059,118921,122042,127745,134065,143411,147127,149224,151440,157057,161502,163030,165018,166686,167635,168487,171387,173269,176015,179889,182645,184786
"영주시",42561,42746,42918,43423,43648,43914,44182,44447,44843,45397,46744,47446,47908,48324,48093,48186,48678,48845,48982,49063,49718,50271,50663
"영천시",42039,42581,42632,42820,42412,42484,42429,43539,43571,43964,44857,45765,45328,45605,46355,47110,47509,48564,50020,51439,52861,53904,54431
"상주시",43180,43171,43099,42900,42775,42848,42901,43246,43432,44549,44981,45047,45174,45413,45845,46313,46750,47048,47527,48796,48856,48965,49315
"문경시",30188,30571,29745,29642,29771,30015,30094,30140,31071,32082,33161,33226,33357,33674,34159,34625,34643,34555,34644,35587,36268,37069,37056
"경산시",72047,73645,76068,77279,79836,84463,88427,89966,90779,91529,94447,96241,98130,100272,103935,106495,107821,109849,112513,115537,119680,124869,127392
"군위군",12271,12614,12317,12035,11995,11864,11749,11669,11625,11673,11791,11647,11671,11896,12038,12189,12428,12670,12784,12938,13096,13258,13693
"의성군",28406,28082,27706,27445,27140,27077,27013,26848,26813,26941,27475,27370,27407,27316,27352,27398,27440,27574,27822,28212,28750,28798,29005
"청송군",12756,12811,12674,12611,12503,12542,12503,12499,12495,12595,12740,12827,12885,13023,13220,13332,13460,13562,13723,13862,14064,14029,14038
"영양군",8365,8389,8296,8308,8314,8466,8496,8458,8460,8495,8681,8688,8725,8825,8817,8784,8800,8827,8913,8942,9127,9055,9070
"영덕군",19391,19291,19957,19338,19378,19493,20109,19735,19717,19790,20140,20051,19919,20076,20006,20039,20185,20045,20123,20085,20153,19895,19741
"청도군",18955,18889,18960,19114,18950,19069,19282,19386,19428,19682,20177,20397,20578,20830,21211,21493,21722,21912,22181,22473,22843,23251,23443
"고령군",13772,13719,13733,13721,13826,14103,14520,14758,14944,15049,15417,15911,15983,16059,16163,16218,16215,16241,16204,16227,16497,16556,16758
"성주군",18362,18456,18948,18720,18709,18999,19163,19279,19325,19839,20092,20428,20395,20686,20989,21444,21877,22389,22677,22915,23516,23621,23918
"칠곡군",34921,35683,36818,37865,38849,40385,43894,45543,46821,48219,49729,49961,50792,52053,52555,53174,53695,52993,52599,52659,53026,53883,54443
"예천군",21175,21066,20801,20617,20635,20705,20936,20947,21021,21200,21490,21430,21378,21385,21394,21395,22123,23504,25273,26453,27301,27771,28155
"봉화군",15151,15112,14944,15143,14997,15067,15105,15170,15288,15413,15843,15825,15874,16011,16268,16409,16492,16583,16705,16705,16908,16882,16830
"울진군",24207,24428,24155,23912,23532,23347,23185,23099,23091,23309,23666,23652,23864,24256,24590,24926,25186,25148,25137,25244,25562,25535,25462
"울릉군",3844,3776,3734,3692,3755,4078,4508,4522,4573,4848,5252,5322,5393,5400,5364,5319,5323,5435,5490,5426,5312,5258,5479
"경상남도",999572,1018039,1043704,1074004,1096069,1129320,1153979,1177923,1203767,1231461,1268731,1286678,1301439,1320887,1343984,1367142,1385684,1406011,1425271,1450822,1484601,1505971,1516930
"창원시",158699,161029,159887,162053,164126,168342,170968,172670,174485,176102,-,-,-,-,-,-,-,-,-,-,-,-,-
"창원시",-,-,-,-,-,-,-,-,-,-,400054,404755,408227,409981,412256,415872,417762,420517,425771,431382,442097,451940,456191
"의창구",-,-,-,-,-,-,-,-,-,-,93315,95186,96316,97428,99821,100458,99924,101257,102538,106817,111656,95630,96712
"성산구",-,-,-,-,-,-,-,-,-,-,85030,84983,85336,84706,83959,83742,83682,84149,85722,85420,86158,105052,106194
"마산합포구",-,-,-,-,-,-,-,-,-,-,73087,73762,74223,74300,74924,75740,76899,77798,78259,78684,80142,84087,84722
"마산회원구",-,-,-,-,-,-,-,-,-,-,83165,83382,83487,84053,83397,83492,83640,81903,81278,80629,82303,82405,82697
"진해구",-,-,-,-,-,-,-,-,-,-,65457,67442,68865,69494,70155,72440,73617,75410,77974,79832,81838,84766,85866
"마산시",137513,139790,141658,143918,145372,148034,150068,150129,150542,150964,-,-,-,-,-,-,-,-,-,-,-,-,-
"진주시",106885,108100,110674,113633,116241,119290,120924,121640,122292,124102,127321,128875,130438,131740,134500,138231,140748,142865,145153,149078,154197,157292,158827
"진해시",42600,43316,46084,50336,51645,55170,57421,58915,61331,62934,-,-,-,-,-,-,-,-,-,-,-,-,-
"통영시",44035,44666,45354,46547,47639,48960,50249,51796,53371,54917,57291,57496,57321,58147,58427,59015,59214,58941,59125,59423,59813,59738,59506
"사천시",39262,40103,40271,40588,40864,41881,43406,44371,45174,45849,47419,47905,48642,49647,50072,50520,51012,51348,52184,52503,53509,53944,54395
"사천남양출장소",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0
"김해시",106152,110096,123827,131948,140083,146949,152154,157701,163890,171380,178354,181135,184977,190133,194766,197865,200370,204894,208710,217228,223242,225984,228540
"장유출장소",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0
"밀양시",42162,42491,42487,42722,43032,43472,43815,44426,45121,45673,46904,46963,47423,47872,48321,49197,50158,50597,51044,51541,52673,53120,53674
"거제시",55062,56989,58729,61456,63813,67299,70545,74380,79463,84371,86467,88629,90793,93572,97392,101534,102413,101279,100775,101969,103779,103674,103495
"양산시",61724,65013,68432,71471,73310,77556,79676,82501,87272,91153,96584,99954,102031,106677,113213,117649,125453,135821,141871,145297,149595,153732,155897
"양산시웅상출장소",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0
"의령군",13382,13283,13333,13600,13766,13678,14039,14171,14094,14160,14300,14274,14505,14436,14538,14427,14419,14436,14587,14577,14917,15010,15098
"함안군",22445,23116,23331,23620,23574,24059,25296,26177,26949,27596,28311,28523,29076,29454,30289,30882,31106,31076,30989,30910,31056,30978,30808
"창녕군",26478,26352,26292,26359,26585,26852,26877,26990,27072,27441,28341,28846,29320,29635,29944,30378,30810,31256,31429,31504,32203,32469,32198
"고성군",22201,22369,22413,22478,22583,22727,22906,23534,24231,25198,25599,25692,25685,25718,25844,25883,25853,25827,25842,25882,26222,26318,26564
"남해군",21438,21373,21243,21339,21330,21298,21419,22367,22102,22223,22438,22918,22477,22325,22265,22236,22155,22135,22255,22612,22780,22786,22774
"하동군",20509,20952,20647,21365,21088,21196,21438,22218,22066,22418,22602,23666,22935,23032,22910,23603,23704,23805,23631,23738,23796,23769,23675
"산청군",15088,14999,15112,15281,15319,15650,15837,16116,16253,16508,17057,17223,17420,17673,17793,18083,18404,18740,18856,19040,19454,19600,19576
"함양군",16758,16800,16919,16986,17082,17310,17534,17697,17927,18298,18810,18934,18935,19095,19222,19363,19598,19915,20159,20427,20754,20840,20868
"거창군",24299,24424,24333,24664,25031,25406,25563,25909,25994,26362,26983,26993,27196,27510,27681,27895,28203,28353,28814,29538,30253,30564,30659
"합천군",22880,22778,22678,23640,23586,24191,23844,24215,24138,23812,23896,23897,24038,24240,24551,24509,24302,24206,24076,24173,24261,24213,24185
"제주특별자치도",177600,183248,188760,194855,199989,204635,208424,211850,214681,217711,224713,227873,232141,238465,246516,256928,266972,278203,287104,293155,302033,307529,311355
"제주시",90562,94368,98081,101976,105459,110161,150379,153042,155398,157704,162824,165494,168658,173370,179090,185874,192353,198454,204621,209439,216202,219978,222599
"서귀포시",27787,28344,28813,29136,29985,30505,58045,58808,59283,60007,61889,62379,63483,65095,67426,71054,74619,79749,82483,83716,85831,87551,88756
"북제주군",33898,34775,35880,37206,37961,36886,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"남제주군",25353,25761,25986,26537,26584,27083,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
