년도,시도,총인구,전출인구,출생아수,산부인과의원수,초등학생인원수,도매 및 소매업 신생,예금은행대출금액,예금액
2018,경상북도,2676831,318671,16079,54,129290,8567,40939.9,43841.2
2018,광주광역시,1459336,225108,9105,37,88622,5652,33475.5,24104.4
2018,충청남도,2126282,282221,14380,42,120152,7340,36232.6,27566.9
2018,전라남도,1882970,232414,11238,19,94134,6157,22228.8,32334.2
2018,울산광역시,1155623,140576,8149,32,67290,3491,27620.7,15886.4
2018,충청북도,1599252,213737,10586,41,85344,5479,25028.7,24605.0
2018,대전광역시,1489936,227632,9337,45,83453,5677,33252.0,30908.9
2018,강원도,1543052,220252,8351,31,75412,4866,19200.5,19412.9
2018,제주특별자치도,667191,95349,4781,22,40096,2744,16633.8,11864.7
2018,세종특별자치시,314126,55000,3703,6,24865,962,8351.6,206787.8
2019,경기도,13239666,1806296,83198,264,769744,52700,376464.3,25501.3
2019,서울특별시,9729107,1476081,53673,391,422293,42897,641634.1,791160.6
2019,경상남도,3362553,405561,19250,58,194606,11406,78235.3,9847.4
2019,부산광역시,3413841,435058,17049,67,155589,13569,120127.2,90142.9
2019,대구광역시,2438031,336092,13233,91,126122,9712,80062.2,52113.4
2019,인천광역시,2957026,422351,18522,59,160853,11826,92157.9,46757.3
2019,전라북도,1818917,241523,8971,50,97731,6946,30488.3,23693.8
2019,경상북도,2665836,311082,14472,54,131374,9159,43118.9,47388.8
2019,광주광역시,1456468,221005,8364,35,88990,5575,36888.6,25261.5
2019,충청남도,2123709,259584,13228,42,122424,7776,37360.9,36495.5
2019,전라남도,1868745,233271,10832,19,94952,6796,23785.6,34777.2
2019,울산광역시,1148019,152228,7539,33,68512,3486,28495.1,16646.3
2019,충청북도,1600007,208831,9333,40,86709,5918,26399.9,25555.5
2019,대전광역시,1474870,228766,8410,46,82743,5833,35318.1,33905.4
2019,강원도,1541502,215965,8283,32,75617,5238,20991.4,21582.6
2019,제주특별자치도,670989,92030,4500,23,41068,2758,18281.1,11646.8
2019,세종특별자치시,340575,58674,3819,7,27892,1080,8803.9,223043.4
2020,경기도,13427014,1984199,77737,265,761731,63145,419831.8,24939.5
2020,서울특별시,9668465,1642977,47445,385,409536,49581,726164.1,898371.8
2020,경상남도,3340216,419997,16823,59,190849,12160,82937.6,10308.9
2020,부산광역시,3391946,506176,15058,67,153527,14454,132190.5,101058.8
2020,대구광역시,2418346,364083,11193,87,122587,9605,88740.3,57156.5
2020,인천광역시,2942828,460304,16040,60,156928,13214,102078.5,51948.8
2020,전라북도,1804104,257577,8165,48,94661,6953,33132.0,25070.1
2020,경상북도,2639422,334679,12873,53,129079,9471,47189.5,51352.9
2020,광주광역시,1450062,232246,7318,36,86419,5810,42161.3,28573.7
2020,충청남도,2121029,286386,11950,43,120115,8409,41097.0,38260.0
2020,전라남도,1851549,248770,9738,18,92405,6948,26806.6,36756.8
2020,울산광역시,1136017,149696,6617,34,67397,3754,30498.2,18231.6
2020,충청북도,1600837,226441,8607,40,85135,6103,28669.1,27669.5
2020,대전광역시,1463882,243418,7481,44,79807,6405,39341.3,38725.4
2020,강원도,1542840,217897,7835,32,73478,5554,22831.4,23634.2
2020,제주특별자치도,674635,94736,3989,23,40575,2856,20182.3,14025.4
2020,세종특별자치시,355831,65909,3468,7,29487,1361,9864.7,251734.3
