,년도,시도,초등학생인원수,빈집수,전출인구,총인구,부채,예금은행대출금액,산부인과의원수
94,2018,충청남도,120152,106443.0,282221,2126282,5590.0,36232.6,42
95,2018,전라남도,94134,118648.0,232414,1882970,4561.0,22228.8,19
96,2018,울산광역시,67290,29265.0,140576,1155623,7568.0,27620.7,32
97,2018,충청북도,85344,74757.0,213737,1599252,5112.0,25028.7,41
98,2018,대전광역시,83453,29900.0,227632,1489936,6675.0,33252.0,45
99,2018,강원도,75412,72384.0,220252,1543052,4508.0,19200.5,31
100,2018,제주특별자치도,40096,32603.0,95349,667191,6466.0,16633.8,22
101,2018,세종특별자치시,24865,14242.0,55000,314126,10254.0,8351.6,6
102,2019,경기도,769744,278815.0,1806296,13239666,10217.0,376464.3,264
103,2019,서울특별시,422293,93402.0,1476081,9729107,10635.0,641634.1,391
104,2019,경상남도,194606,147173.0,405561,3362553,6804.0,78235.3,58
105,2019,부산광역시,155589,109651.0,435058,3413841,6217.0,120127.2,67
106,2019,대구광역시,126122,40721.0,336092,2438031,7546.0,80062.2,91
107,2019,인천광역시,160853,66695.0,422351,2957026,7277.0,92157.9,59
108,2019,전라북도,97731,91138.0,241523,1818917,4973.0,30488.3,50
109,2019,경상북도,131374,143560.0,311082,2665836,5067.0,43118.9,54
110,2019,광주광역시,88990,39625.0,221005,1456468,5003.0,36888.6,35
111,2019,충청남도,122424,107609.0,259584,2123709,5225.0,37360.9,42
112,2019,전라남도,94952,121767.0,233271,1868745,4765.0,23785.6,19
113,2019,울산광역시,68512,33114.0,152228,1148019,6672.0,28495.1,33
114,2019,충청북도,86709,77520.0,208831,1600007,5195.0,26399.9,40
115,2019,대전광역시,82743,29640.0,228766,1474870,6763.0,35318.1,46
116,2019,강원도,75617,84382.0,215965,1541502,4924.0,20991.4,32
117,2019,제주특별자치도,41068,36566.0,92030,670989,7289.0,18281.1,23
118,2019,세종특별자치시,27892,16437.0,58674,340575,10145.0,8803.9,7
119,2020,경기도,761731,272358.0,1984199,13427014,10213.0,419831.8,265
120,2020,서울특별시,409536,96629.0,1642977,9668465,11077.0,726164.1,385
121,2020,경상남도,190849,150982.0,419997,3340216,7067.0,82937.6,59
122,2020,부산광역시,153527,113410.0,506176,3391946,6712.0,132190.5,67
123,2020,대구광역시,122587,39069.0,364083,2418346,7894.0,88740.3,87
124,2020,인천광역시,156928,65861.0,460304,2942828,8498.0,102078.5,60
125,2020,전라북도,94661,95412.0,257577,1804104,5378.0,33132.0,48
126,2020,경상북도,129079,139770.0,334679,2639422,5228.0,47189.5,53
127,2020,광주광역시,86419,41585.0,232246,1450062,6035.0,42161.3,36
128,2020,충청남도,120115,106430.0,286386,2121029,5644.0,41097.0,43
129,2020,전라남도,92405,122103.0,248770,1851549,4545.0,26806.6,18
130,2020,울산광역시,67397,30241.0,149696,1136017,6776.0,30498.2,34
131,2020,충청북도,85135,76877.0,226441,1600837,5547.0,28669.1,40
132,2020,대전광역시,79807,26983.0,243418,1463882,6562.0,39341.3,44
133,2020,강원도,73478,84106.0,217897,1542840,5619.0,22831.4,32
134,2020,제주특별자치도,40575,35105.0,94736,674635,7869.0,20182.3,23
135,2020,세종특별자치시,29487,14385.0,65909,355831,10793.0,9864.7,7
