년도,시도,총인구,전출인구,출생아수,산부인과의원수,초등학생인원수,도매 및 소매업 신생,예금은행대출금액,예금액,외국인
2014,경상북도,2700794,338029,22062,55,131307,9728,31642.7,37942.2,47406
2014,광주광역시,1475884,246043,12729,43,93163,6781,24782.2,19139.3,17297
2014,충청남도,2062273,279817,18200,46,115056,8001,29451.1,18907.1,58020
2014,전라남도,1905780,260874,14817,23,95720,6799,17164.0,25822.9,26697
2014,울산광역시,1166377,173229,11556,31,65810,4020,21981.2,14873.6,25785
2014,충청북도,1578933,213577,13366,47,86508,6539,19076.8,19741.1,31794
2014,대전광역시,1531809,248397,13962,50,91599,7085,25804.7,25692.5,17003
2014,강원도,1544442,226284,10662,32,80458,5432,14184.7,15124.3,15462
2014,제주특별자치도,607346,81396,5526,20,37915,2581,8312.3,1667.4,11935
2014,세종특별자치시,156125,23070,1344,3,8057,653,3535.0,153813.3,2863
2015,경기도,12522606,1898312,113495,273,733359,49285,284496.7,15664.1,452632
2015,서울특별시,10022181,1726687,83005,389,450675,44599,525529.1,600391.1,337116
2015,경상남도,3364702,450279,29537,66,187075,11822,68619.5,8886.4,90361
2015,부산광역시,3513777,520591,26645,74,154283,13133,92109.5,73156.4,44070
2015,대구광역시,2487829,364364,19438,85,129583,9664,61642.8,46861.6,29282
2015,인천광역시,2925815,463685,25491,65,157099,11394,69059.0,35680.0,67850
2015,전라북도,1869711,264662,14087,53,100260,7183,26242.4,19700.1,29930
2015,경상북도,2702826,345307,22310,55,129743,9675,35582.2,39657.4,57565
2015,광주광역시,1472199,233875,12441,41,91862,6342,28259.6,21419.9,21592
2015,충청남도,2077649,279680,18604,46,115484,7772,32255.0,20055.2,71082
2015,전라남도,1908996,246168,15061,22,94368,6819,19216.7,28207.6,34611
2015,울산광역시,1173534,170473,11732,32,66134,3714,24057.9,15505.6,29860
2015,충청북도,1583952,213188,13563,47,85290,5944,21044.6,22462.1,40758
2015,대전광역시,1518775,241390,13774,47,89464,6128,27830.0,28045.8,19080
2015,강원도,1549507,222352,10929,33,78414,5570,15464.9,16285.4,18306
2015,제주특별자치도,624395,83323,5600,20,38164,2526,10191.0,2533.3,15146
2015,세종특별자치시,210884,30950,2708,4,13353,712,5215.0,169215.4,4471
2016,경기도,12716780,1824976,105643,269,727380,52487,305720.4,22669.9,472699
2016,서울특별시,9930616,1655859,75536,388,436121,44997,544592.1,628071.1,335167
2016,경상남도,3373871,410180,27138,64,185325,12066,72333.0,9587.6,92185
2016,부산광역시,3498529,480407,24906,70,151207,13686,99122.7,79929.2,46168
2016,대구광역시,2484557,337488,18298,87,125541,10049,66966.8,47164.2,30492
2016,인천광역시,2943069,435869,23609,65,155590,12107,73804.8,40274.6,71873
2016,전라북도,1864791,252607,12698,52,97895,7233,27330.1,20112.5,31549
2016,경상북도,2700398,318803,20616,56,127825,9740,37300.0,42454.8,60706
2016,광주광역시,1469214,221074,11580,39,89095,6228,30354.2,24067.4,23701
