"시점",전국,전국,전국,서울특별시,서울특별시,서울특별시,부산광역시,부산광역시,부산광역시,대구광역시,대구광역시,대구광역시,인천광역시,인천광역시,인천광역시,광주광역시,광주광역시,광주광역시,대전광역시,대전광역시,대전광역시,울산광역시,울산광역시,울산광역시,세종특별자치시,세종특별자치시,세종특별자치시,경기도,경기도,경기도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,제주특별자치도
"시점",계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명)
"2013",51141463,25588336,25553127,10143645,5007869,5135776,3527635,1747000,1780635,2501588,1246071,1255517,2879782,1448835,1430947,1472910,730216,742694,1532811,767309,765502,1156480,595319,561161,122153,62205,59948,12234630,6159193,6075437,1542263,776498,765765,1572732,792862,779870,2047631,1037421,1010210,1872965,932894,940071,1907172,952597,954575,2699440,1355951,1343489,3333820,1678592,1655228,593806,297504,296302
"2014",51327916,25669296,25658620,10103233,4979768,5123465,3519401,1740417,1778984,2493264,1241119,1252145,2902608,1459074,1443534,1475884,731339,744545,1531809,766497,765312,1166377,600904,565473,156125,78862,77263,12357830,6219813,6138017,1544442,778007,766435,1578933,796141,782792,2062273,1045892,1016381,1871560,931536,940024,1905780,951975,953805,2700794,1356182,1344612,3350257,1687114,1663143,607346,304656,302690
"2015",51529338,25758186,25771152,10022181,4930943,5091238,3513777,1735570,1778207,2487829,1237291,1250538,2925815,1469869,1455946,1472199,729662,742537,1518775,759778,758997,1173534,604889,568645,210884,105752,105132,12522606,6299812,6222794,1549507,781434,768073,1583952,798896,785056,2077649,1054439,1023210,1869711,930255,939456,1908996,953881,955115,2702826,1357306,1345520,3364702,1694981,1669721,624395,313428,310967
"2016",51696216,25827594,25868622,9930616,4876789,5053827,3498529,1725607,1772922,2484557,1234169,1250388,2943069,1477671,1465398,1469214,728137,741077,1514370,757289,757081,1172304,603797,568507,243048,121505,121543,12716780,6395453,6321327,1550806,781146,769660,1591625,803240,788385,2096727,1064765,1031962,1864791,927505,937286,1903914,951889,952025,2700398,1356868,1343530,3373871,1699219,1674652,641597,322545,319052
"2017",51778544,25855919,25922625,9857426,4830206,5027220,3470653,1709508,1761145,2475231,1227814,1247417,2948542,1479597,1468945,1463770,725295,738475,1502227,750969,751258,1165132,599480,565652,280100,139734,140366,12873895,6475323,6398572,1550142,780635,769507,1594432,805091,789341,2116770,1076270,1040500,1854607,922307,932300,1896424,948290,948134,2691706,1353164,1338542,3380404,1701413,1678991,657083,330823,326260
"2018",51826059,25866129,25959930,9765623,4773899,4991724,3441453,1692421,1749032,2461769,1219342,1242427,2954642,1481844,1472798,1459336,722581,736755,1489936,744338,745598,1155623,593819,561804,314126,156831,157295,13077153,6577501,6499652,1543052,776456,766596,1599252,808971,790281,2126282,1082009,1044273,1836832,913297,923535,1882970,943000,939970,2676831,1346689,1330142,3373988,1697412,1676576,667191,335719,331472
"2019",51849861,25864816,25985045,9729107,4744059,4985048,3413841,1675417,1738424,2438031,1205286,1232745,2957026,1482249,1474777,1456468,720740,735728,1474870,736607,738263,1148019,589712,558307,340575,169845,170730,13239666,6659995,6579671,1541502,775386,766116,1600007,810384,789623,2123709,1081938,1041771,1818917,904110,914807,1868745,937674,931071,2665836,1342037,1323799,3362553,1692032,1670521,670989,337345,333644
"2020",51829023,25841029,25987994,9668465,4701723,4966742,3391946,1661000,1730946,2418346,1193109,1225237,2942828,1473943,1468885,1450062,717348,732714,1463882,730699,733183,1136017,583708,552309,355831,177568,178263,13427014,6754469,6672545,1542840,776505,766335,1600837,811591,789246,2121029,1082634,1038395,1804104,896874,907230,1851549,930615,920934,2639422,1329211,1310211,3340216,1681423,1658793,674635,338609,336026
"2021",51638809,25746684,25892125,9509458,4618040,4891418,3350380,1639044,1711336,2385412,1175632,1209780,2948375,1476373,1472002,1441611,713015,728596,1452251,724626,727625,1121592,576217,545375,371895,185678,186217,13565450,6827298,6738152,1538492,774332,764160,1597427,810672,786755,2119257,1083366,1035891,1786855,888994,897861,1832803,922221,910582,2626609,1323661,1302948,3314183,1668338,1645845,676759,339177,337582
"2022",51439038,25636951,25802087,9428372,4570048,4858324,3317812,1619915,1697897,2363691,1162865,1200826,2967314,1485175,1482139,1431050,707299,723751,1446072,721245,724827,1110663,570368,540295,383591,191389,192202,13589432,6839276,6750156,1536498,772947,763551,1595058,810782,784276,2123037,1086632,1036405,1769607,880592,889015,1817697,915272,902425,2600492,1311881,1288611,3280493,1651675,1628818,678159,339590,338569
