,시점,지역,대학생숫자
204,2019,서울특별시,562971
205,2019,경기도,437390
206,2019,부산광역시,238814
207,2019,경상북도,189481
208,2019,충청남도,187859
209,2019,대전광역시,138739
210,2019,경상남도,111845
211,2019,전라북도,118227
212,2019,강원도,122703
213,2019,충청북도,118816
214,2019,대구광역시,116125
215,2019,광주광역시,109105
216,2019,전라남도,72187
217,2019,인천광역시,67980
218,2019,울산광역시,32248
219,2019,제주특별자치도,29634
220,2019,세종특별자치시,22734
221,2020,서울특별시,563889
222,2020,경기도,433276
223,2020,부산광역시,230984
224,2020,경상북도,186264
225,2020,충청남도,184548
226,2020,대전광역시,134526
227,2020,경상남도,107580
228,2020,전라북도,116780
229,2020,강원도,116054
230,2020,충청북도,116655
231,2020,대구광역시,114809
232,2020,광주광역시,108225
233,2020,전라남도,69626
234,2020,인천광역시,67160
235,2020,울산광역시,32080
236,2020,제주특별자치도,28773
237,2020,세종특별자치시,22558
238,2021,서울특별시,560242
239,2021,경기도,416739
240,2021,부산광역시,220221
241,2021,경상북도,178369
242,2021,충청남도,178834
243,2021,대전광역시,128059
244,2021,경상남도,101910
245,2021,전라북도,113242
246,2021,강원도,109330
247,2021,충청북도,111733
248,2021,대구광역시,109881
249,2021,광주광역시,104086
250,2021,전라남도,65323
251,2021,인천광역시,65844
252,2021,울산광역시,31159
253,2021,제주특별자치도,27494
254,2021,세종특별자치시,21777
255,2022,서울특별시,552173
256,2022,경기도,402465
257,2022,부산광역시,209360
258,2022,경상북도,171561
259,2022,충청남도,173254
260,2022,대전광역시,123835
261,2022,경상남도,94829
262,2022,전라북도,108118
263,2022,강원도,104253
264,2022,충청북도,107511
265,2022,대구광역시,105786
266,2022,광주광역시,101125
267,2022,전라남도,61761
268,2022,인천광역시,63977
269,2022,울산광역시,30129
270,2022,제주특별자치도,25964
271,2022,세종특별자치시,21253
