시점,시도,총인구,전출인구,출생아수,산부인과의원수,초등학생인원수,도매 및 소매업 신생,예금은행대출금액,예금액,cluster
2020,경기도,0.9999999999999999,0.9999999999999999,0.681823035307517,0.6692111959287532,0.9894932695560503,1.0,0.5767341637477805,0.026285745245682075,0.25
2020,서울특별시,0.7175055793517873,0.8267108156559628,0.41228288724373574,0.9745547073791349,0.5276914564140488,0.7837337967760964,1.0,1.0,0.5
2020,부산광역시,0.24575927550088647,0.24938778826767694,0.12410129555808656,0.16539440203562344,0.19200974491709216,0.22366428036161287,0.17929407863375407,0.11114458029439778,0.75
2020,경상남도,0.2418712228560674,0.20562188625202502,0.13980637813211844,0.14503816793893132,0.24094674649316727,0.18708844209888548,0.11124030204425653,0.0099753525849017,0.75
2020,인천광역시,0.21200334223709663,0.2260917479647959,0.13283919419134396,0.14758269720101783,0.19646917212785878,0.20389355697635483,0.1376876895548785,0.05639608169755798,0.75
2020,경상북도,0.18919919569246155,0.1622932420559751,0.10465902619589977,0.12977099236641224,0.15995326845463342,0.14421467179004765,0.06184639405307191,0.055731764240546024,0.75
2020,대구광역시,0.17258301308070784,0.17722602826686437,0.08971027904328019,0.2162849872773537,0.1514408893154694,0.1463511854461965,0.11925801571017015,0.06220169676867918,0.75
2020,충청남도,0.15023651881819733,0.1377676998004154,0.09644611332574032,0.10432569974554708,0.1481995767412221,0.12728200385847988,0.053428257580467986,0.04113562053705257,0.0
2020,전라남도,0.12998226738332702,0.11866445921720185,0.07676359624145786,0.04071246819338423,0.11186593133976876,0.10398762735375244,0.033682908799491526,0.039459832650863,0.0
2020,전라북도,0.1264162774793363,0.12313708362746244,0.06276694191343964,0.11704834605597965,0.11482402242694591,0.10406734801256397,0.042422848141930404,0.026431339909024514,0.0
2020,충청북도,0.11113862820513494,0.1073247032893367,0.0666998861047836,0.09669211195928754,0.10233343036291687,0.09051483601460482,0.03625636455332407,0.02932918652382039,0.0
2020,강원도,0.10677954470926077,0.102985643114332,0.059830580865603646,0.07633587786259542,0.08704864853524664,0.08176150767709944,0.02819029064505655,0.024830578981816162,0.0
2020,대전광역시,0.1008450219810639,0.11594645242218486,0.056680666287015936,0.10687022900763359,0.09534730034851978,0.09532996380682089,0.051002369651875344,0.04165445481208757,0.0
2020,광주광역시,0.09980630387645538,0.11027276559222789,0.055230281890660586,0.08651399491094149,0.10401702475827833,0.0858432054082495,0.054898823464389596,0.030337201030667522,0.0
2020,울산광역시,0.0762025247764708,0.06834984688358582,0.04899273917995444,0.08142493638676845,0.07907517694786889,0.05306207050495065,0.0387836708187389,0.018807686729336286,0.0
2020,제주특별자치도,0.041524823145465406,0.040438476656729755,0.025608627562642365,0.0534351145038168,0.04390588654881506,0.038744240182400864,0.02452997298735034,0.014118557533693293,0.0
2020,세종특별자치시,0.017563355227837404,0.02579871920531819,0.02097273633257403,0.01272264631043257,0.029367183545880568,0.014907763197755063,0.010273926229904593,0.27911968516770536,1.0
2019,경기도,0.9859188307190883,0.9096521743546511,0.730415361617312,0.6666666666666666,1.0,0.8334635437427254,0.5168123691682729,0.02691204755705867,0.25
2019,서울특별시,0.7220634623691295,0.741952881788034,0.4677000284738041,0.989821882951654,0.5444185698888355,0.6771632200768506,0.8832031061092803,0.8804794902715228,0.5
