년도,시도,총 인구,남성 인구,여성 인구,주택수,빈집수,자동차등록대수
2018,제주특별자치도,667191,335719,331472,233068.0,32603.0,7670794
2019,서울특별시,9729107,4744059,4985048,2953964.0,93402.0,38005651
2019,부산광역시,3413841,1675417,1738424,1249757.0,109651.0,17380896
2019,대구광역시,2438031,1205286,1232745,800340.0,40721.0,14583073
2019,인천광역시,2957026,1482249,1474777,1019365.0,66695.0,20097823
2019,광주광역시,1456468,720740,735728,526161.0,39625.0,8351445
2019,대전광역시,1474870,736607,738263,492797.0,29640.0,8274122
2019,울산광역시,1148019,589712,558307,391596.0,33114.0,6948158
2019,세종특별자치시,340575,169845,170730,132257.0,16437.0,2164838
2019,경기도,13239666,6659995,6579671,4354776.0,278815.0,73393515
2019,강원도,1541502,775386,766116,627376.0,84382.0,9832254
2019,충청북도,1600007,810384,789623,625957.0,77520.0,10573419
2019,충청남도,2123709,1081938,1041771,850525.0,107609.0,13976063
2019,전라북도,1818917,904110,914807,724524.0,91138.0,11461086
2019,전라남도,1868745,937674,931071,787816.0,121767.0,13688569
2019,경상북도,2665836,1342037,1323799,1081216.0,143560.0,17878739
2019,경상남도,3362553,1692032,1670521,1266739.0,147173.0,21770014
2019,제주특별자치도,670989,337345,333644,241788.0,36566.0,7670794
2020,서울특별시,9668465,4701723,4966742,3015371.0,96629.0,38005651
2020,부산광역시,3391946,1661000,1730946,1275859.0,113410.0,17380896
2020,대구광역시,2418346,1193109,1225237,809802.0,39069.0,14583073
2020,인천광역시,2942828,1473943,1468885,1032774.0,65861.0,20097823
2020,광주광역시,1450062,717348,732714,538275.0,41585.0,8351445
2020,대전광역시,1463882,730699,733183,496875.0,26983.0,8274122
2020,울산광역시,1136017,583708,552309,394634.0,30241.0,6948158
2020,세종특별자치시,355831,177568,178263,136887.0,14385.0,2164838
2020,경기도,13427014,6754469,6672545,4495115.0,272358.0,73393515
2020,강원도,1542840,776505,766335,644023.0,84106.0,9832254
2020,충청북도,1600837,811591,789246,640256.0,76877.0,10573419
2020,충청남도,2121029,1082634,1038395,865008.0,106430.0,13976063
2020,전라북도,1804104,896874,907230,741221.0,95412.0,11461086
2020,전라남도,1851549,930615,920934,802043.0,122103.0,13688569
2020,경상북도,2639422,1329211,1310211,1094306.0,139770.0,17878739
2020,경상남도,3340216,1681423,1658793,1296944.0,150982.0,21770014
2020,제주특별자치도,674635,338609,336026,246451.0,35105.0,7670794
2021,서울특별시,9509458,4618040,4891418,3068494.0,97000.0,38005651
2021,부산광역시,3350380,1639044,1711336,1282831.0,101337.0,17380896
2021,대구광역시,2385412,1175632,1209780,815588.0,36121.0,14583073
2021,인천광역시,2948375,1476373,1472002,1053451.0,62748.0,20097823
2021,광주광역시,1441611,713015,728596,542703.0,33439.0,8351445
2021,대전광역시,1452251,724626,727625,501218.0,26005.0,8274122
2021,울산광역시,1121592,576217,545375,396893.0,29293.0,6948158
2021,세종특별자치시,371895,185678,186217,143798.0,13223.0,2164838
2021,경기도,13565450,6827298,6738152,4608126.0,242181.0,73393515
2021,강원도,1538492,774332,764160,654719.0,80738.0,9832254
2021,충청북도,1597427,810672,786755,650224.0,70258.0,10573419
2021,충청남도,2119257,1083366,1035891,874666.0,96673.0,13976063
2021,전라북도,1786855,888994,897861,747880.0,89358.0,11461086
2021,전라남도,1832803,922221,910582,811478.0,116001.0,13688569
2021,경상북도,2626609,1323661,1302948,1103666.0,129848.0,17878739
2021,경상남도,3314183,1668338,1645845,1306263.0,138586.0,21770014
2021,제주특별자치도,676759,339177,337582,249629.0,32447.0,7670794
2022,서울특별시,9428372,4570048,4858324,,,38005651
2022,부산광역시,3317812,1619915,1697897,,,17380896
2022,대구광역시,2363691,1162865,1200826,,,14583073
2022,인천광역시,2967314,1485175,1482139,,,20097823
2022,광주광역시,1431050,707299,723751,,,8351445
2022,대전광역시,1446072,721245,724827,,,8274122
2022,울산광역시,1110663,570368,540295,,,6948158
2022,세종특별자치시,383591,191389,192202,,,2164838
2022,경기도,13589432,6839276,6750156,,,73393515
2022,강원도,1536498,772947,763551,,,9832254
2022,충청북도,1595058,810782,784276,,,10573419
2022,충청남도,2123037,1086632,1036405,,,13976063
2022,전라북도,1769607,880592,889015,,,11461086
2022,전라남도,1817697,915272,902425,,,13688569
2022,경상북도,2600492,1311881,1288611,,,17878739
2022,경상남도,3280493,1651675,1628818,,,21770014
2022,제주특별자치도,678159,339590,338569,,,7670794
