시도,활동,신생,소멸,상용_월평균_임금,임금상승률,"협회 및 단체, 수리 및 기타 개인서비스업_활동","협회 및 단체, 수리 및 기타 개인서비스업_신생","협회 및 단체, 수리 및 기타 개인서비스업_소멸","예술, 스포츠 및 여가관련 서비스업_활동","예술, 스포츠 및 여가관련 서비스업_신생","예술, 스포츠 및 여가관련 서비스업_소멸",보건업 및 사회복지 서비스업_활동,보건업 및 사회복지 서비스업_신생,보건업 및 사회복지 서비스업_소멸,교육서비스업_활동,교육서비스업_신생,교육서비스업_소멸,"사업 시설관리, 사업지원 및 임대 서비스업_활동","사업 시설관리, 사업지원 및 임대 서비스업_신생","사업 시설관리, 사업지원 및 임대 서비스업_소멸","전문, 과학 및 기술서비스업_활동","전문, 과학 및 기술서비스업_신생","전문, 과학 및 기술서비스업_소멸",부동산업_활동,부동산업_신생,부동산업_소멸,금융 및 보험업_활동,금융 및 보험업_신생,금융 및 보험업_소멸,정보통신업_활동,정보통신업_신생,정보통신업_소멸,숙박 및 음식점업_활동,숙박 및 음식점업_신생,숙박 및 음식점업_소멸,운수 및 창고업_활동,운수 및 창고업_신생,운수 및 창고업_소멸,도매 및 소매업_활동,도매 및 소매업_신생,도매 및 소매업_소멸,건설업_활동,건설업_신생,건설업_소멸,"수도, 하수 및 폐기물처리, 원료재생업_활동","수도, 하수 및 폐기물처리, 원료재생업_신생","수도, 하수 및 폐기물처리, 원료재생업_소멸","전기, 가스, 증기 및 공기조절 공급업_활동","전기, 가스, 증기 및 공기조절 공급업_신생","전기, 가스, 증기 및 공기조절 공급업_소멸",제조업_활동,제조업_신생,제조업_소멸,광업_활동,광업_신생,광업_소멸
경상남도,335284,47958,42146,2612430.0,2.5,15770,1978,1933,5832,1070,1178,3638,290,246,8877,1949,1530,4935,1056,774,6089,1152,623,48870,6033,5327,752,158,190,1128,193,156,58947,11663,10912,31279,2001,1817,78392,12612,11214,24845,1926,1532,804,65,72,252,74,12,44769,5724,4611,105,14,19
제주특별자치도,64751,9560,7964,2217146.0,3.8,3488,387,438,1493,222,246,755,70,39,1599,250,241,1523,258,250,993,152,85,9243,1335,982,123,24,27,345,73,57,13887,2989,2487,6841,432,392,16266,2633,2230,5490,501,276,96,6,6,41,11,1,2553,217,207,15,0,0
서울특별시,1285898,181516,187357,3199814.0,1.0,48403,6868,6262,24334,4708,4322,20123,1546,1008,29136,5718,4388,24572,4392,3120,54304,9562,5666,335740,37892,47061,10270,2081,1508,38009,6705,4517,142059,29498,25635,104709,8750,30201,321817,50223,42959,56813,5629,4389,506,35,31,213,62,12,74839,7841,6269,51,6,9
부산광역시,381957,55145,49300,2558970.0,1.5,17935,2519,2107,6890,1259,1160,5384,389,218,8572,1751,1263,6662,1224,933,7924,1395,758,70602,11401,12730,1464,293,322,2257,514,335,51762,10858,9575,49694,3220,2781,97120,14569,12824,19491,2346,1557,467,37,18,66,24,2,35654,3345,2715,13,1,2
대구광역시,264875,39148,34878,2352273.0,1.6,11646,1862,1453,5206,1029,928,3940,244,130,6901,1428,1064,4223,837,659,5199,738,439,46871,7142,9213,874,135,147,1614,319,209,35310,7845,6634,29672,2339,1887,67666,10744,8997,14757,1659,1099,344,30,19,118,33,2,30523,2761,1995,11,3,3
인천광역시,286863,45562,46934,2637047.0,1.1,12445,2114,1698,6133,1359,1247,3481,292,150,6299,1479,1049,4709,1123,759,4818,880,512,58362,8417,9625,788,219,157,2106,556,360,37526,8747,7334,34969,2990,9898,66404,11938,10114,17074,2342,1675,538,55,34,71,19,6,31119,3031,2315,21,1,1
광주광역시,147975,25014,22533,2493312.0,3.1,7757,1299,1090,3361,776,736,2345,234,143,5171,1128,911,2758,608,441,3125,549,297,24417,4251,5112,525,146,101,985,189,139,21258,5367,4615,15881,1131,1652,39256,6781,5653,10909,1253,788,186,24,18,282,111,6,9738,1162,826,21,5,5
대전광역시,158252,27477,23216,2805150.0,3.0,7994,1342,971,3768,959,772,2509,185,119,4834,1078,838,2882,681,520,3463,620,364,31252,5407,5909,483,100,101,1553,326,225,22880,5709,4705,16073,1674,967,40794,7085,6129,10086,1263,823,138,11,9,75,31,3,9464,1006,760,4,0,1
울산광역시,112595,17821,16113,2952210.0,4.2,5632,822,696,2712,529,505,1475,108,63,3479,681,558,2259,454,329,3034,603,301,19742,3000,3842,293,92,67,382,73,54,19401,4400,3761,12284,800,719,24180,4020,3504,8249,801,617,226,10,14,32,7,1,9199,1419,1080,16,2,2
세종특별자치시,14500,3859,1864,0.0,0.0,513,106,57,241,80,39,157,41,8,325,107,65,213,53,42,275,75,16,3541,1543,558,14,2,3,86,22,15,2231,670,373,1493,152,98,2746,653,405,1463,184,93,40,2,0,36,19,1,1118,150,91,8,0,0
