"산업별(1)","지역별(1)",2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021
"산업별(1)","지역별(1)",활동,신생,소멸,활동,신생,소멸,활동,신생,소멸,활동,신생,소멸,활동,신생,소멸,활동,신생,소멸,활동,신생,소멸,활동,신생,소멸,활동,신생
"광업","제주",15,-,-,15,-,-,15,-,-,15,-,-,17,-,-,18,-,-,18,-,-,18,-,2,17,1
"제조업","전국",488666,52380,41943,501782,55100,42250,509779,51302,41558,517225,50248,38670,526118,47604,38899,534335,47391,39365,542830,48317,39550,550644,47860,36867,562651,48955
"제조업","서울",74080,7362,6401,74839,7841,6269,74768,7019,5826,74827,6743,5482,75034,6380,5597,74787,6157,5579,74877,6329,5459,75430,6775,5136,76057,6571
"제조업","부산",35083,3208,2694,35654,3345,2715,35937,3090,2678,36061,3031,2580,36131,2740,2636,36089,2697,2443,36258,2750,2529,36156,2613,2177,36557,2738
"제조업","대구",29884,2640,1936,30523,2761,1995,31041,2717,1978,31262,2413,1838,31763,2490,1933,31835,2230,2008,31841,2151,2002,31778,2072,1779,31902,2171
"제조업","인천",30778,3168,2594,31119,3031,2315,31343,2698,2400,31525,2631,2125,31911,2570,2180,32234,2578,2058,32622,2518,2128,32945,2517,1877,33646,2576
"제조업","광주",9376,1051,808,9738,1162,826,9906,1050,836,10108,1084,759,10384,1078,788,10507,959,804,10605,977,794,10720,957,763,10953,1017
"제조업","대전",9185,913,687,9464,1006,760,9554,904,685,9718,914,658,9882,881,651,10049,840,654,10260,869,682,10480,974,648,10682,910
"제조업","울산",8637,1161,867,9199,1419,1080,9597,1443,1214,9607,1259,1144,9317,911,1040,9451,1238,1096,9549,1244,890,9761,1121,962,9870,1079
"제조업","세종",1040,121,84,1118,150,91,1223,164,90,1296,139,93,1387,179,99,1473,192,141,1530,195,150,1627,235,152,1663,193
"제조업","경기",150356,16149,12398,154756,16319,12119,158467,15470,11797,162575,15668,10676,167921,15147,10702,172492,14533,11552,175555,14310,11669,179078,14639,10638,184546,15310
"제조업","강원",7877,773,734,8041,845,697,8167,824,693,8352,861,642,8520,816,685,8613,772,634,9019,1005,729,9237,960,698,9483,927
"제조업","충북",13359,1531,1139,13908,1628,1280,14273,1537,1148,14779,1601,1029,15377,1570,1183,15850,1601,1200,16432,1717,1246,16878,1609,1217,17421,1679
"제조업","충남",17483,2047,1610,18365,2309,1733,18888,2181,1638,19524,2222,1554,20406,2294,1605,21021,2206,1747,21620,2281,1734,22306,2345,1681,23031,2352
"제조업","전북",12096,1357,1166,12549,1550,1159,12814,1458,1150,13088,1425,1112,13327,1372,1224,13525,1391,1136,14042,1619,1244,14377,1573,1216,14691,1557
"제조업","전남",12439,1433,1344,12874,1728,1433,13119,1674,1354,13449,1670,1459,13491,1496,1357,13726,1555,1259,14387,1824,1281,14892,1720,1310,15351,1738
"제조업","경북",29671,3525,2663,30749,3626,2914,31414,3544,2947,32149,3574,2727,32887,3321,2843,33529,3358,2906,34136,3452,2935,34547,3277,2702,35340,3330
"제조업","경남",44769,5724,4611,46285,6140,4634,46603,5249,4953,46086,4690,4587,45456,4056,4148,46138,4772,3914,46932,4711,3814,47130,4090,3648,47977,4386
"제조업","제주",2553,217,207,2601,240,230,2665,280,171,2819,323,205,2924,303,228,3016,312,234,3165,365,264,3302,383,263,3481,421
"전기, 가스, 증기 및 공기조절 공급업","전국",4498,1449,159,8941,4364,246,14956,5964,420,18326,3753,492,22935,4958,603,31536,8821,872,48657,17314,1414,69770,21884,2321,89743,21748
"전기, 가스, 증기 및 공기조절 공급업","서울",163,45,9,213,62,12,261,60,14,293,43,12,353,62,16,480,121,29,634,167,30,747,132,38,804,89
"전기, 가스, 증기 및 공기조절 공급업","부산",39,14,1,66,24,2,85,18,4,89,9,7,110,17,5,150,35,6,195,46,7,242,46,13,286,40
"전기, 가스, 증기 및 공기조절 공급업","대구",86,11,1,118,33,2,168,49,3,188,18,8,228,37,7,305,74,10,477,135,11,610,122,15,791,155
"전기, 가스, 증기 및 공기조절 공급업","인천",54,10,2,71,19,6,102,32,6,118,23,3,151,31,4,204,47,8,329,117,7,385,67,17,439,60
"전기, 가스, 증기 및 공기조절 공급업","광주",151,62,5,282,111,6,539,214,11,698,150,15,843,139,19,1039,164,34,1340,297,36,1574,243,46,1787,222
"전기, 가스, 증기 및 공기조절 공급업","대전",35,8,-,75,31,3,96,16,3,112,20,4,168,40,4,210,33,6,281,64,5,349,53,19,405,56
"전기, 가스, 증기 및 공기조절 공급업","울산",23,3,-,32,7,1,56,20,3,60,8,1,73,11,5,92,20,5,151,55,3,220,64,10,264,53
"전기, 가스, 증기 및 공기조절 공급업","세종",14,3,-,36,19,1,61,23,2,75,16,5,86,16,2,136,49,6,190,54,5,254,59,9,315,50
"전기, 가스, 증기 및 공기조절 공급업","경기",310,91,13,582,264,17,899,309,36,1091,202,37,1477,376,51,2222,706,60,3642,1355,125,4957,1283,183,6222,1292
"전기, 가스, 증기 및 공기조절 공급업","강원",142,43,9,246,105,9,447,199,9,690,246,19,1103,426,22,1872,754,37,3191,1289,141,4264,1175,158,5622,1439
"전기, 가스, 증기 및 공기조절 공급업","충북",225,77,3,483,237,11,822,320,19,1073,261,34,1393,347,60,1789,416,47,3349,1540,115,4999,1692,180,6360,1525
"전기, 가스, 증기 및 공기조절 공급업","충남",285,80,9,605,306,19,1470,853,34,1960,529,72,2559,673,82,3621,1138,119,6133,2593,187,9415,3453,347,12357,3273
"전기, 가스, 증기 및 공기조절 공급업","전북",1544,617,57,3246,1708,84,4726,1513,140,5578,1010,121,6527,1097,136,8723,2336,219,12530,4012,287,18102,5800,496,22495,4940
"전기, 가스, 증기 및 공기조절 공급업","전남",792,212,27,1622,824,37,3032,1422,93,3537,617,80,4203,740,101,5324,1204,163,7485,2306,244,10767,3502,378,13047,2697
"전기, 가스, 증기 및 공기조절 공급업","경북",342,88,10,668,311,17,1222,539,24,1589,390,44,2152,596,40,3148,1002,69,5144,1959,127,7750,2617,260,11847,4192
"전기, 가스, 증기 및 공기조절 공급업","경남",252,74,12,482,228,15,732,254,15,914,186,27,1177,280,42,1731,561,43,2873,1101,70,4140,1286,130,5496,1434
"전기, 가스, 증기 및 공기조절 공급업","제주",41,11,1,114,75,4,238,123,4,261,25,3,332,70,7,490,161,11,713,224,14,995,290,22,1206,231
"수도, 하수 및 폐기물처리, 원료재생업","전국",8539,734,627,8676,766,570,8724,638,570,8846,703,540,8997,714,497,9470,972,479,10059,1066,497,10558,928,528,10942,903
"수도, 하수 및 폐기물처리, 원료재생업","서울",500,27,27,506,35,31,506,37,25,512,38,32,511,36,31,510,40,22,525,42,22,548,47,19,561,37
"수도, 하수 및 폐기물처리, 원료재생업","부산",470,37,30,467,37,18,483,36,31,493,39,27,495,35,26,507,41,22,530,42,29,540,38,28,541,35
"수도, 하수 및 폐기물처리, 원료재생업","대구",341,22,24,344,30,19,343,18,18,344,26,14,350,19,18,360,30,17,380,36,18,398,36,22,413,33
"수도, 하수 및 폐기물처리, 원료재생업","인천",521,49,35,538,55,34,555,50,45,539,41,42,528,38,30,562,64,30,618,80,33,634,45,38,652,58
"수도, 하수 및 폐기물처리, 원료재생업","광주",166,14,7,186,24,18,179,12,18,178,22,14,183,18,10,187,14,8,197,16,8,205,17,9,215,17
"수도, 하수 및 폐기물처리, 원료재생업","대전",137,6,11,138,11,9,138,8,6,140,7,8,139,8,4,148,14,9,155,16,8,168,22,4,180,13
"수도, 하수 및 폐기물처리, 원료재생업","울산",226,24,12,226,10,14,234,25,12,241,21,18,243,22,19,249,25,15,253,21,14,255,15,13,266,24
"수도, 하수 및 폐기물처리, 원료재생업","세종",39,4,1,40,2,-,43,4,2,45,3,2,44,3,3,51,8,3,55,7,5,57,5,2,55,2
"수도, 하수 및 폐기물처리, 원료재생업","경기",2272,225,189,2299,220,154,2318,167,160,2361,195,154,2427,218,126,2608,300,125,2785,299,140,2954,280,157,3081,276
"수도, 하수 및 폐기물처리, 원료재생업","강원",407,25,30,401,26,24,391,15,29,389,26,18,395,25,12,415,35,15,429,34,24,443,28,10,455,31
"수도, 하수 및 폐기물처리, 원료재생업","충북",447,40,32,451,32,23,456,34,22,474,37,31,466,19,31,477,42,24,506,49,26,537,50,28,555,43
"수도, 하수 및 폐기물처리, 원료재생업","충남",500,33,36,521,47,31,514,27,34,525,50,33,548,51,27,584,64,38,644,97,30,677,67,41,690,51
"수도, 하수 및 폐기물처리, 원료재생업","전북",378,30,32,374,26,19,380,29,18,383,24,21,393,29,22,413,46,22,445,53,20,489,57,25,500,37
"수도, 하수 및 폐기물처리, 원료재생업","전남",459,56,34,474,52,35,483,38,30,486,33,26,510,49,35,521,49,29,556,59,24,590,57,31,638,74
"수도, 하수 및 폐기물처리, 원료재생업","경북",776,71,49,790,62,58,802,75,54,830,76,53,837,66,55,898,101,53,953,111,41,985,69,51,1024,84
"수도, 하수 및 폐기물처리, 원료재생업","경남",804,65,72,819,86,69,807,58,60,802,48,43,814,64,38,864,89,40,902,85,45,944,79,45,972,75
"수도, 하수 및 폐기물처리, 원료재생업","제주",96,6,6,102,11,14,92,5,6,104,17,4,114,14,10,116,10,7,126,19,10,134,16,5,144,13
"건설업","전국",343595,32839,27058,353274,36487,26653,366201,39683,26697,384883,43335,26387,407307,46069,28878,425977,47675,31143,444426,51166,31752,465343,53579,30840,490858,55374
"건설업","서울",56983,5311,4902,56813,5629,4389,57516,6032,4313,59172,6297,4177,61125,6343,4199,62920,6459,4422,64627,6903,4621,66195,6934,4251,68454,6914
"건설업","부산",18852,1983,1625,19491,2346,1557,20603,2414,1664,21729,2637,1608,22958,2789,1920,23499,2662,1867,24156,2741,1874,24962,2763,1811,25994,2840
"건설업","대구",14192,1408,958,14757,1659,1099,15450,1844,1062,16032,1872,1067,16718,1797,1141,17312,1885,1289,17756,1968,1278,18628,2182,1205,19631,2173
"건설업","인천",16532,1926,1727,17074,2342,1675,17860,2470,1763,19124,2767,1717,20380,2895,1889,21794,3229,1883,22995,3132,1983,24256,3340,1886,25952,3615
"건설업","광주",10688,1121,818,10909,1253,788,11185,1276,769,11531,1372,722,12186,1322,884,12700,1422,835,13499,1658,867,14350,1709,892,15280,1741
"건설업","대전",9832,959,861,10086,1263,823,10209,1126,748,10583,1174,791,11113,1325,754,11682,1397,930,12136,1457,866,12728,1517,844,13513,1595
"건설업","울산",7928,815,606,8249,801,617,8720,1008,656,9146,1038,670,9658,1044,796,9700,972,816,9747,1059,821,9846,1148,752,10133,1070
"건설업","세종",1173,209,90,1463,184,93,1463,179,108,1559,186,99,1649,233,122,1806,222,137,1955,281,148,2078,264,161,2162,263
"건설업","경기",69088,8586,7059,72503,9510,6946,76971,10526,7047,83713,12159,7172,91253,13376,7878,97762,13404,8624,104331,14471,8806,111209,15244,8572,120068,16661
"건설업","강원",17051,1102,990,17568,1211,920,17828,1351,894,18444,1346,782,19425,1531,950,20193,1648,961,21044,1882,1034,22007,2040,1076,23046,2091
"건설업","충북",14670,1177,966,15167,1339,921,15654,1360,886,16279,1420,859,17335,1639,962,18133,1727,1104,18842,1865,1159,19571,1970,1116,20541,2034
"건설업","충남",18473,1442,1242,18732,1606,1281,19329,1788,1262,20146,1980,1221,21471,2371,1367,22260,2234,1531,22963,2391,1454,24070,2582,1549,25351,2698
"건설업","전북",16214,1354,1032,16592,1518,1134,16831,1494,1081,17419,1760,1056,18264,1846,1151,19122,1948,1242,20184,2418,1294,21349,2486,1392,22419,2436
"건설업","전남",17856,1295,1046,17971,1240,1027,18312,1490,979,18870,1565,1002,19653,1604,973,20731,1941,1086,21987,2271,1201,23449,2388,1189,24737,2372
"건설업","경북",23728,1724,1328,24508,1832,1471,25381,2106,1419,26499,2302,1358,27702,2397,1504,28674,2571,1744,29511,2688,1668,30722,2822,1665,32060,2762
"건설업","경남",24845,1926,1532,25462,2142,1571,26338,2457,1684,27187,2480,1651,28146,2390,1860,28889,2880,1983,29643,2956,1942,30665,3137,1805,31949,3055
"건설업","제주",5490,501,276,5929,612,341,6551,762,362,7450,980,435,8271,1167,528,8800,1074,689,9050,1025,736,9258,1053,674,9568,1054
"도매 및 소매업","전국",1315584,206718,192331,1337770,217050,185919,1346677,202282,174501,1376838,209433,166149,1413890,209849,177670,1419730,192306,175274,1436702,202675,172276,1482762,225783,178263,1530481,230765
"도매 및 소매업","서울",319355,48097,45519,321817,50223,42959,319748,44599,39416,322127,44997,36901,326251,44574,38271,325526,41812,38117,325424,42897,36709,333691,49581,39156,337776,48031
"도매 및 소매업","부산",95755,13902,12841,97120,14569,12824,96928,13133,11760,98543,13686,11193,100555,13900,11941,100403,12472,11702,101317,13569,11817,103209,14454,12091,104930,14394
"도매 및 소매업","대구",66423,9981,9033,67666,10744,8997,67697,9664,8264,69134,10049,8015,70901,10226,8510,70793,9007,8753,71064,9712,8310,71749,9605,8142,72754,9583
"도매 및 소매업","인천",65210,11522,10732,66404,11938,10114,67454,11394,9543,69886,12107,9364,71585,11563,10054,72229,11223,9718,73512,11826,9854,76415,13214,9952,81121,14687
