"지역별(1)","시점",합계,응급,응급,응급,응급,응급,응급,응급,응급,응급,응급,비응급,비응급,비응급,비응급,비응급,비응급,비응급,비응급,비응급,비응급,미상/미입력
"지역별(1)","시점",계,계,119구급차,의료기관구급차,기타구급차,경찰차등공공차량,항공이송,기타자동차,도보,기타,미상/미입력,계,119구급차,의료기관구급차,기타구급차,경찰차등공공차량,항공이송,기타자동차,도보,기타,미상/미입력,계
"광주","2020",140056,104921,20325,10291,4842,97,29,67685,1467,184,1,35106,2160,110,305,16,5,32443,51,15,1,29
"광주","2021",143820,108316,21616,9298,5613,81,97,67192,4245,173,1,35484,2605,92,315,26,15,32339,81,11,-,20
"대전","2014",198119,142881,28654,3023,4830,117,23,105378,709,146,1,55238,7077,319,336,92,29,46419,896,69,1,-
"대전","2015",190989,140947,29504,3049,4729,107,23,103013,399,120,3,50042,6619,292,298,94,27,42283,386,42,1,-
"대전","2016",209772,188167,37047,2866,5313,182,61,142201,377,118,2,21605,2255,123,170,64,5,18906,72,10,-,-
"대전","2017",204628,180567,38745,3030,5496,227,74,132560,367,63,5,24061,3445,164,201,46,1,20115,73,16,-,-
"대전","2018",211549,184601,43348,2847,5404,222,93,132354,262,69,2,26948,3696,118,218,19,-,22848,30,19,-,-
"대전","2019",203632,173931,43291,2856,4551,211,54,122665,243,57,3,29701,4468,105,204,14,1,24840,51,17,1,-
"대전","2020",154941,131898,37268,2500,3212,235,18,88109,451,101,4,23043,4135,105,128,46,1,18361,241,23,3,-
"대전","2021",153436,127008,38074,1792,3100,146,41,83463,333,55,4,26428,4539,124,121,46,1,21348,239,10,-,-
"울산","2014",76252,60402,9038,919,2174,67,12,37680,10289,223,-,15850,866,22,74,10,7,13402,1427,42,-,-
"울산","2015",80018,63164,10021,1054,2657,69,21,47606,1584,150,2,16854,1061,42,77,11,5,14676,915,67,-,-
"울산","2016",82502,61975,10169,733,3111,86,9,47102,652,107,6,20499,1401,48,129,9,10,18394,472,34,2,28
"울산","2017",81219,54692,8749,451,3443,59,22,41500,357,109,2,26522,2345,33,190,14,24,23491,361,61,3,5
"울산","2018",84090,57940,9392,472,3738,60,23,43749,421,85,-,26150,1754,23,272,10,23,23445,595,28,-,-
"울산","2019",82288,55791,11514,235,4516,94,13,38837,500,80,2,26497,2529,12,336,15,3,23167,394,41,-,-
"울산","2020",68075,40208,10496,94,3741,91,7,25009,665,105,-,27867,2251,6,265,54,1,24755,506,29,-,-
"울산","2021",70860,44264,11756,110,3780,63,14,27838,618,85,-,26596,2540,16,259,44,1,23279,446,11,-,-
"세종","2020",10006,8793,1557,47,112,17,1,7038,13,8,-,1213,119,3,-,2,-,1082,5,-,2,-
"세종","2021",27538,25324,4067,95,326,46,1,20757,17,13,2,2214,159,2,2,2,-,2046,2,1,-,-
"경기","2014",1285308,1025467,177529,6725,24110,870,434,739588,60223,15909,79,259792,21585,854,3326,222,104,182779,44736,6070,116,49
"경기","2015",1245029,1030321,191061,5680,26019,780,439,761596,37035,7681,30,214692,18194,634,2707,228,40,175903,15491,1298,197,16
"경기","2016",1355595,1112906,199448,5348,28607,747,439,863868,12804,1522,123,241165,20528,422,2564,301,55,211358,4719,323,895,1524
"경기","2017",1314645,1104853,214220,5682,30836,797,527,838172,13077,1522,20,209572,18405,435,2292,261,60,183766,4028,289,36,220
"경기","2018",1376578,1150845,231459,4847,34875,736,503,873231,4437,735,22,225672,20883,422,2184,283,64,200297,1431,103,5,61
"경기","2019",1488891,1201287,253459,4273,37759,793,596,899697,4053,634,23,286605,28911,352,2811,297,80,252625,1463,57,9,999
"경기","2020",1093766,872358,213888,2546,28378,680,404,622282,3659,508,13,221352,22354,189,1843,297,95,194921,1507,99,47,56
"경기","2021",1146462,942413,235242,2096,30087,592,617,654553,18515,694,17,204008,21782,139,1566,237,99,175032,5040,102,11,41
"강원","2014",169686,107268,19185,4595,4957,185,361,68545,9298,136,6,61910,5251,316,683,57,43,52482,2985,53,40,508
"강원","2015",182124,127211,25336,3491,6209,233,247,88689,2804,199,3,54801,4261,237,587,70,42,47992,1469,122,21,112
"강원","2016",192048,133538,25720,2172,6545,201,238,98008,570,77,7,58047,4608,214,735,90,28,51897,255,36,184,463
"강원","2017",202152,137433,29404,2694,7072,280,240,97527,149,66,1,64686,6191,234,862,116,48,57048,93,25,69,33
"강원","2018",211381,137111,30248,2639,7063,295,251,96449,113,52,1,74230,7401,215,935,86,76,65428,52,19,18,40
"강원","2019",211083,139739,31590,1883,7692,251,324,97751,168,79,1,70577,6851,171,852,76,33,62486,64,36,8,767
"강원","2020",177957,114249,30195,1381,6856,212,205,75199,123,76,2,63705,7425,110,1071,55,29,54806,151,47,11,3
"강원","2021",178243,121576,33451,1231,6776,157,260,79422,153,120,6,56667,6806,85,823,60,15,48697,121,30,30,-
"충북","2014",114360,94748,17426,1768,1353,100,34,73643,319,89,16,19612,2484,230,238,59,7,16484,95,12,3,-
"충북","2015",112216,89447,17189,1391,1180,97,13,69085,372,117,3,22766,3119,180,296,85,17,18752,292,22,3,3
"충북","2016",122280,73336,16061,1269,1609,113,29,53717,424,112,2,48929,6850,302,451,182,44,40527,509,50,14,15
