시도별,시점,산부인과,소아청소년과
대전광역시,2019,46,62
울산광역시,2019,33,36
세종특별자치시,2019,7,21
경기도,2019,264,687
강원도,2019,32,54
충청북도,2019,40,51
충청남도,2019,42,62
전라북도,2019,50,76
전라남도,2019,19,27
경상북도,2019,54,73
경상남도,2019,58,100
제주특별자치도,2019,23,32
서울특별시,2020,385,475
부산광역시,2020,67,128
대구광역시,2020,87,112
인천광역시,2020,60,140
광주광역시,2020,36,43
대전광역시,2020,44,59
울산광역시,2020,34,35
세종특별자치시,2020,7,22
경기도,2020,265,672
강원도,2020,32,56
충청북도,2020,40,51
충청남도,2020,43,67
전라북도,2020,48,68
전라남도,2020,18,25
경상북도,2020,53,73
경상남도,2020,59,98
제주특별자치도,2020,23,34
서울특별시,2021,397,455
부산광역시,2021,67,132
대구광역시,2021,84,114
인천광역시,2021,59,137
광주광역시,2021,36,42
대전광역시,2021,43,59
울산광역시,2021,32,32
세종특별자치시,2021,9,22
경기도,2021,272,657
강원도,2021,32,56
충청북도,2021,39,54
충청남도,2021,42,64
전라북도,2021,48,65
전라남도,2021,18,26
경상북도,2021,51,71
경상남도,2021,61,91
제주특별자치도,2021,23,34
서울특별시,2022,393,454
부산광역시,2022,68,136
대구광역시,2022,79,116
인천광역시,2022,60,141
광주광역시,2022,36,41
대전광역시,2022,41,58
울산광역시,2022,30,32
세종특별자치시,2022,9,22
경기도,2022,287,663
강원도,2022,33,57
충청북도,2022,39,55
충청남도,2022,41,66
전라북도,2022,50,66
전라남도,2022,18,26
경상북도,2022,50,70
경상남도,2022,61,92
제주특별자치도,2022,22,34
