"행정구역별(1)","시간대별(1)","시점",공공의료시설,공공의료시설,병·의원,병·의원,종합병원,종합병원
"행정구역별(1)","시간대별(1)","시점",승용차,대중교통/도보,승용차,대중교통/도보,승용차,대중교통/도보
"인천광역시","오전첨두(07-09시)","2018",8.27,16.20,2.73,5.36,9.63,17.14
"인천광역시","오전첨두(07-09시)","2019",7.66,17.02,2.89,5.85,10.91,18.63
"인천광역시","오전첨두(07-09시)","2020",8.86,17.08,2.83,5.50,9.96,17.63
"인천광역시","낮시간(12-14시)","2017",8.85,16.29,2.85,5.77,11.42,19.06
"인천광역시","낮시간(12-14시)","2018",8.32,15.96,2.77,5.33,9.64,16.92
"인천광역시","낮시간(12-14시)","2019",7.97,17.38,2.99,6.09,11.32,20.59
"인천광역시","낮시간(12-14시)","2020",8.95,17.24,2.93,5.60,10.02,17.75
"인천광역시","저녁첨두(18-20시)","2017",9.25,16.78,2.98,5.70,11.81,19.65
"인천광역시","저녁첨두(18-20시)","2018",8.94,16.37,2.96,5.51,10.27,17.40
"인천광역시","저녁첨두(18-20시)","2019",8.18,18.20,4.91,7.91,15.06,22.12
"인천광역시","저녁첨두(18-20시)","2020",9.04,17.47,3.00,5.76,10.25,18.00
"광주광역시","일평균(06-20시)","2017",9.32,19.12,2.06,4.68,5.97,13.26
"광주광역시","일평균(06-20시)","2018",9.57,17.41,2.20,4.70,6.16,12.26
"광주광역시","일평균(06-20시)","2019",8.82,20.04,2.08,5.02,5.47,13.68
"광주광역시","일평균(06-20시)","2020",9.11,17.60,2.19,4.72,5.74,12.28
"광주광역시","오전첨두(07-09시)","2017",9.16,19.42,2.01,4.65,5.76,13.30
"광주광역시","오전첨두(07-09시)","2018",9.40,17.53,2.12,4.71,5.96,12.25
"광주광역시","오전첨두(07-09시)","2019",8.29,19.28,1.98,4.87,5.11,12.97
"광주광역시","오전첨두(07-09시)","2020",9.14,17.69,2.17,4.70,5.73,12.25
"광주광역시","낮시간(12-14시)","2017",9.32,18.78,2.05,4.69,5.96,13.03
"광주광역시","낮시간(12-14시)","2018",9.58,17.42,2.19,4.74,6.15,12.43
"광주광역시","낮시간(12-14시)","2019",8.84,20.33,2.07,4.99,5.48,13.83
