"시점","시도별(1)",합계,의사,의사,의사,의사,의사,치과의사,한의사,한의사,한의사,한의사,한의사,간호사,약사,물리치료사,작업치료사,사회복지사
"시점","시도별(1)",소계,소계,일반의,인턴,레지던트,전문의,소계,소계,일반의,일반수련의,전문수련의,전문의,소계,소계,소계,소계,소계
"2013","충남",10387,2766,292,46,254,2174,768,706,621,7,12,66,3774,1163,1020,77,113
"2013","전북",12887,3279,272,94,372,2541,785,841,666,13,41,121,5073,1260,1363,123,163
"2013","전남",12973,2861,386,22,100,2353,640,686,598,6,11,71,5849,1149,1530,106,152
"2013","경북",14883,3362,335,13,95,2919,789,889,814,2,7,66,6722,1398,1423,109,191
"2013","경남",19226,4614,427,80,316,3791,1161,1074,979,8,14,73,8470,1720,1751,229,207
"2013","제주",4145,940,71,33,51,785,202,188,177,-,-,11,1998,361,374,58,24
"2014","계",351550,92927,4854,2734,12229,73110,22952,18767,16108,187,374,2098,147210,32645,29326,4667,3056
"2014","서울",91252,27465,848,1187,5477,19953,6648,4512,3732,44,128,608,37660,8217,5454,889,407
"2014","부산",28399,7341,360,260,899,5822,1581,1536,1341,17,36,142,12660,2380,2170,430,301
"2014","대구",19629,5195,139,220,813,4023,1166,999,906,4,12,77,8502,1753,1527,316,171
"2014","인천",16072,4167,213,132,475,3347,1081,827,736,10,3,78,6500,1515,1547,274,161
"2014","광주",13368,3194,130,57,435,2572,909,637,496,25,11,105,6147,1097,1110,134,140
"2014","대전",12042,3307,158,122,461,2566,766,689,562,12,41,74,4709,1084,1160,235,92
"2014","울산",6882,1542,110,6,128,1298,454,376,332,5,-,39,3214,603,547,80,66
"2014","세종",474,124,14,-,-,110,43,41,38,-,-,3,112,82,67,1,4
"2014","경기",66821,17543,759,396,1852,14536,4722,3561,3073,24,48,416,25878,7013,6155,1294,655
"2014","강원",9693,2477,209,62,309,1897,589,482,424,9,4,45,4351,891,755,82,66
"2014","충북",8635,2247,189,40,194,1824,503,549,459,6,15,69,3303,930,944,70,89
"2014","충남",11020,2855,295,59,242,2259,797,743,652,4,11,76,4122,1167,1098,111,127
"2014","전북",13476,3351,263,95,363,2630,811,862,698,9,34,121,5427,1262,1426,170,167
"2014","전남",13713,2887,350,2,110,2425,645,724,620,8,9,87,6471,1153,1560,114,159
"2014","경북",15552,3464,327,-,89,3048,814,928,854,1,7,66,7096,1374,1533,133,210
"2014","경남",20191,4807,420,87,315,3985,1208,1112,1008,9,15,80,8951,1754,1870,274,215
"2014","제주",4331,961,70,9,67,815,215,189,177,-,-,12,2107,370,403,60,26
"2015","계",368954,95076,4790,2829,11907,75550,23540,19246,16451,224,369,2202,158247,33206,31194,5133,3312
"2015","서울",94274,27726,837,1252,5276,20361,6733,4567,3742,69,125,631,39759,8227,5906,939,417
"2015","부산",30226,7538,380,257,880,6021,1628,1579,1380,24,32,143,13782,2441,2443,490,325
"2015","대구",20556,5335,142,219,800,4174,1204,1018,918,4,12,84,9005,1798,1641,370,185
"2015","인천",17454,4351,201,141,461,3548,1107,821,726,7,-,88,7450,1581,1658,312,174
"2015","광주",14227,3292,139,50,417,2686,932,661,523,22,8,108,6679,1071,1275,171,146
"2015","대전",12555,3399,159,141,452,2647,771,709,577,14,38,80,5034,1087,1195,249,111
"2015","울산",7201,1633,114,9,130,1380,469,402,343,5,5,49,3362,616,579,78,62
"2015","세종",589,159,12,-,-,147,61,54,50,-,-,4,132,103,73,1,6
