시도별,의원,병원,종합병원,상급종합병원,의사,치과의사,한의사,약사,간호사,기타보건의료인,시점
전라북도,1080,75,11,2,3279.0,785.0,841.0,1260.0,5073.0,1649.0,2013
전라남도,894,76,21,1,2861.0,640.0,686.0,1149.0,5849.0,1788.0,2013
경상북도,1168,81,18,0,3362.0,789.0,889.0,1398.0,6722.0,1723.0,2013
경상남도,1481,141,23,1,4614.0,1161.0,1074.0,1720.0,8470.0,2187.0,2013
제주특별자치도,331,6,7,0,940.0,202.0,188.0,361.0,1998.0,456.0,2013
서울특별시,7655,210,40,17,27465.0,6648.0,4512.0,8217.0,37660.0,6750.0,2014
부산광역시,2157,132,23,4,7341.0,1581.0,1536.0,2380.0,12660.0,2901.0,2014
대구광역시,1598,111,7,4,5195.0,1166.0,999.0,1753.0,8502.0,2014.0,2014
인천광역시,1403,52,17,2,4167.0,1081.0,827.0,1515.0,6500.0,1982.0,2014
광주광역시,889,74,20,2,3194.0,909.0,637.0,1097.0,6147.0,1384.0,2014
대전광역시,1011,41,8,1,3307.0,766.0,689.0,1084.0,4709.0,1487.0,2014
울산광역시,553,39,6,0,1542.0,454.0,376.0,603.0,3214.0,693.0,2014
세종특별자치시,75,1,0,0,124.0,43.0,41.0,82.0,112.0,72.0,2014
경기도,6032,283,50,5,17543.0,4722.0,3561.0,7013.0,25878.0,8104.0,2014
강원도,710,46,15,1,2477.0,589.0,482.0,891.0,4351.0,903.0,2014
충청북도,793,41,10,1,2247.0,503.0,549.0,930.0,3303.0,1103.0,2014
충청남도,1003,50,10,2,2855.0,797.0,743.0,1167.0,4122.0,1336.0,2014
전라북도,1084,76,11,2,3351.0,811.0,862.0,1262.0,5427.0,1763.0,2014
전라남도,892,82,22,1,2887.0,645.0,724.0,1153.0,6471.0,1833.0,2014
경상북도,1190,85,19,0,3464.0,814.0,928.0,1374.0,7096.0,1876.0,2014
경상남도,1496,144,22,1,4807.0,1208.0,1112.0,1754.0,8951.0,2359.0,2014
제주특별자치도,342,7,7,0,961.0,215.0,189.0,370.0,2107.0,489.0,2014
서울특별시,7802,218,42,14,27726.0,6733.0,4567.0,8227.0,39759.0,7262.0,2015
부산광역시,2198,130,24,4,7538.0,1628.0,1579.0,2441.0,13782.0,3258.0,2015
대구광역시,1615,114,8,4,5335.0,1204.0,1018.0,1798.0,9005.0,2196.0,2015
인천광역시,1444,55,16,3,4351.0,1107.0,821.0,1581.0,7450.0,2144.0,2015
광주광역시,893,75,20,2,3292.0,932.0,661.0,1071.0,6679.0,1592.0,2015
대전광역시,1026,38,9,1,3399.0,771.0,709.0,1087.0,5034.0,1555.0,2015
울산광역시,574,40,6,1,1633.0,469.0,402.0,616.0,3362.0,719.0,2015
세종특별자치시,100,1,0,0,159.0,61.0,54.0,103.0,132.0,80.0,2015
경기도,6159,288,53,5,18105.0,4899.0,3716.0,7124.0,27717.0,8605.0,2015
강원도,717,49,14,1,2519.0,617.0,498.0,904.0,4805.0,936.0,2015
충청북도,815,40,11,1,2314.0,533.0,570.0,947.0,3726.0,1148.0,2015
충청남도,1024,51,11,2,2915.0,805.0,756.0,1227.0,4424.0,1422.0,2015
전라북도,1107,81,10,2,3476.0,843.0,886.0,1306.0,5855.0,1880.0,2015
전라남도,905,83,22,1,2946.0,656.0,731.0,1171.0,6988.0,1908.0,2015
경상북도,1226,84,19,0,3433.0,835.0,944.0,1417.0,7497.0,1893.0,2015
경상남도,1522,142,22,2,4914.0,1227.0,1137.0,1808.0,9801.0,2522.0,2015
제주특별자치도,361,7,7,0,1021.0,220.0,197.0,378.0,2231.0,519.0,2015
서울특별시,8004,222,42,14,28189.0,6803.0,4648.0,8321.0,45291.0,7890.0,2016
부산광역시,2227,139,25,4,7637.0,1683.0,1609.0,2448.0,15494.0,3516.0,2016
대구광역시,1674,113,8,4,5495.0,1238.0,1059.0,1847.0,9920.0,2343.0,2016
인천광역시,1477,58,15,3,4469.0,1136.0,860.0,1628.0,8822.0,2393.0,2016
광주광역시,904,75,20,2,3434.0,969.0,701.0,1083.0,7192.0,1782.0,2016
대전광역시,1045,40,9,1,3455.0,793.0,714.0,1113.0,5788.0,1619.0,2016
울산광역시,594,40,6,1,1702.0,485.0,406.0,646.0,3863.0,813.0,2016
세종특별자치시,116,1,0,0,180.0,74.0,69.0,113.0,139.0,96.0,2016
경기도,6399,288,56,5,18846.0,5037.0,3845.0,7392.0,33004.0,9305.0,2016
강원도,738,48,14,1,2575.0,622.0,499.0,920.0,5130.0,975.0,2016
충청북도,841,41,11,1,2389.0,560.0,574.0,971.0,3943.0,1230.0,2016
충청남도,1035,49,11,2,2995.0,820.0,769.0,1245.0,4956.0,1490.0,2016
전라북도,1125,79,11,2,3522.0,871.0,899.0,1335.0,6581.0,1939.0,2016
전라남도,923,81,23,1,3042.0,693.0,747.0,1173.0,7436.0,1954.0,2016
경상북도,1242,83,18,0,3515.0,846.0,954.0,1458.0,8386.0,2001.0,2016
경상남도,1569,149,23,2,5221.0,1277.0,1176.0,1866.0,11672.0,2790.0,2016
제주특별자치도,379,8,6,0,1047.0,243.0,208.0,387.0,2372.0,552.0,2016
서울특별시,8155,221,43,14,28746.0,7118.0,4733.0,8924.0,46034.0,8386.0,2017
부산광역시,2279,138,25,4,7735.0,1730.0,1627.0,2676.0,15962.0,3663.0,2017
대구광역시,1712,112,8,4,5552.0,1288.0,1090.0,1976.0,10073.0,2471.0,2017
인천광역시,1496,60,16,3,4684.0,1211.0,914.0,1813.0,9504.0,2639.0,2017
광주광역시,915,74,20,2,3497.0,988.0,726.0,1215.0,7559.0,1895.0,2017
대전광역시,1057,45,9,1,3545.0,814.0,727.0,1222.0,6019.0,1737.0,2017
울산광역시,592,42,7,1,1729.0,501.0,409.0,704.0,3961.0,846.0,2017
세종특별자치시,147,1,0,0,239.0,105.0,86.0,149.0,142.0,122.0,2017
경기도,6600,270,56,5,19642.0,5324.0,4072.0,8192.0,34371.0,10050.0,2017
강원도,743,48,14,1,2629.0,645.0,505.0,967.0,5289.0,1007.0,2017
충청북도,847,39,11,1,2417.0,592.0,589.0,1060.0,4090.0,1326.0,2017
충청남도,1055,45,11,2,3089.0,877.0,801.0,1401.0,5100.0,1576.0,2017
전라북도,1143,79,11,2,3598.0,899.0,910.0,1409.0,6853.0,1978.0,2017
전라남도,931,74,22,1,3089.0,731.0,783.0,1236.0,7551.0,1990.0,2017
경상북도,1260,79,19,0,3587.0,904.0,979.0,1582.0,8659.0,2140.0,2017
경상남도,1594,132,23,2,5351.0,1312.0,1217.0,2030.0,12219.0,3013.0,2017
제주특별자치도,412,7,6,0,1112.0,261.0,221.0,424.0,2467.0,594.0,2017
서울특별시,8372,223,45,13,29378.0,7175.0,4816.0,9106.0,47763.0,8994.0,2018
부산광역시,2342,137,25,4,7852.0,1739.0,1655.0,2701.0,16696.0,3852.0,2018
대구광역시,1760,108,10,5,5721.0,1313.0,1103.0,2027.0,10541.0,2696.0,2018
인천광역시,1529,62,16,3,4893.0,1250.0,945.0,1856.0,10355.0,2874.0,2018
광주광역시,933,78,20,2,3547.0,978.0,697.0,1238.0,7990.0,2017.0,2018
대전광역시,1068,49,9,1,3629.0,841.0,728.0,1247.0,6274.0,1867.0,2018
울산광역시,604,41,8,0,1726.0,502.0,404.0,701.0,4003.0,882.0,2018
세종특별자치시,171,0,0,0,270.0,111.0,99.0,167.0,171.0,155.0,2018
경기도,6817,265,58,5,20355.0,5549.0,4226.0,8487.0,36593.0,10850.0,2018
강원도,761,45,14,1,2661.0,649.0,508.0,987.0,5509.0,1059.0,2018
충청북도,865,39,12,1,2472.0,611.0,618.0,1093.0,4382.0,1478.0,2018
충청남도,1062,45,11,2,3114.0,893.0,810.0,1409.0,5284.0,1658.0,2018
전라북도,1153,77,11,2,3619.0,909.0,928.0,1411.0,7329.0,2101.0,2018
전라남도,943,74,23,1,3086.0,744.0,801.0,1281.0,8051.0,2077.0,2018
경상북도,1282,76,20,0,3619.0,917.0,985.0,1598.0,8921.0,2227.0,2018
경상남도,1620,139,23,2,5392.0,1338.0,1213.0,2076.0,12862.0,3193.0,2018
제주특별자치도,436,7,6,0,1137.0,273.0,223.0,452.0,2590.0,642.0,2018
서울특별시,8628,228,44,13,30359.0,7308.0,5018.0,9385.0,52727.0,10064.0,2019
부산광역시,2384,142,25,4,8008.0,1757.0,1691.0,2795.0,18514.0,4263.0,2019
대구광역시,1803,109,11,5,5908.0,1330.0,1146.0,2083.0,12557.0,3063.0,2019
인천광역시,1573,62,16,3,5071.0,1298.0,997.0,1915.0,11639.0,3161.0,2019
광주광역시,948,80,21,2,3658.0,1009.0,723.0,1276.0,8949.0,2220.0,2019
대전광역시,1078,51,9,1,3726.0,852.0,741.0,1262.0,7153.0,2012.0,2019
울산광역시,609,43,8,0,1754.0,504.0,410.0,724.0,4612.0,946.0,2019
세종특별자치시,181,0,1,0,302.0,121.0,103.0,180.0,220.0,183.0,2019
경기도,7065,277,59,5,21210.0,5788.0,4512.0,8797.0,39694.0,11722.0,2019
강원도,769,45,14,1,2719.0,669.0,528.0,1005.0,6043.0,1151.0,2019
충청북도,891,37,12,1,2529.0,634.0,639.0,1110.0,4767.0,1579.0,2019
충청남도,1074,44,11,2,3198.0,924.0,836.0,1444.0,5940.0,1780.0,2019
전라북도,1165,74,11,2,3689.0,917.0,934.0,1427.0,7652.0,2202.0,2019
전라남도,944,78,22,1,3128.0,767.0,830.0,1304.0,8539.0,2207.0,2019
경상북도,1292,74,20,0,3662.0,957.0,1027.0,1625.0,9577.0,2317.0,2019
경상남도,1639,138,24,2,5532.0,1370.0,1257.0,2132.0,13972.0,3481.0,2019
제주특별자치도,448,7,6,0,1175.0,281.0,238.0,477.0,2738.0,666.0,2019
서울특별시,8884,230,43,13,31140.0,7368.0,5073.0,9516.0,54778.0,10622.0,2020
부산광역시,2419,145,25,4,8102.0,1783.0,1725.0,2835.0,18961.0,4492.0,2020
대구광역시,1834,109,12,5,6013.0,1338.0,1172.0,2139.0,12683.0,3263.0,2020
인천광역시,1591,68,16,3,5130.0,1322.0,1034.0,1963.0,12176.0,3358.0,2020
