"이동규모별","시점","전출지별",서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"7인","2020","부산광역시",3,76,0,0,1,1,2,0,0,0,1,0,0,1,0,6,0
"7인","2020","대구광역시",0,0,56,0,0,0,0,0,2,1,0,0,0,0,3,0,0
"7인","2020","인천광역시",2,1,0,92,0,1,0,0,12,2,0,0,1,0,0,0,0
"7인","2020","광주광역시",1,0,0,1,35,0,0,0,2,0,0,0,2,0,0,0,0
"7인","2020","대전광역시",0,1,0,1,0,42,0,3,4,0,0,1,0,1,1,0,0
"7인","2020","울산광역시",0,0,1,1,0,0,13,0,1,0,0,0,0,0,3,1,0
"7인","2020","세종특별자치시",0,0,0,0,0,1,0,11,0,0,0,1,0,0,0,0,0
"7인","2020","경기도",29,1,0,11,2,2,1,1,457,4,4,3,1,3,2,3,2
"7인","2020","강원도",1,0,0,1,0,0,0,0,5,30,0,1,1,0,0,0,0
"7인","2020","충청북도",0,0,1,0,0,2,0,0,0,1,37,1,0,0,0,0,0
"7인","2020","충청남도",1,0,0,0,0,0,0,5,3,3,0,35,0,1,0,2,1
"7인","2020","전라북도",0,0,2,0,1,0,0,0,1,1,0,1,55,0,0,1,0
"7인","2020","전라남도",0,0,0,0,1,1,0,0,2,1,0,1,1,33,0,0,0
"7인","2020","경상북도",1,0,3,0,0,0,2,0,1,0,1,0,0,0,34,0,0
"7인","2020","경상남도",0,4,1,0,0,1,1,0,1,0,0,0,0,0,0,67,0
"7인","2020","제주특별자치도",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,13
"7인","2021","서울특별시",220,0,1,6,0,0,0,1,63,1,2,1,1,0,0,1,0
"7인","2021","부산광역시",2,63,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0
"7인","2021","대구광역시",2,0,38,0,0,0,0,0,3,0,0,0,0,0,7,1,0
"7인","2021","인천광역시",5,0,0,66,0,0,0,0,14,0,0,0,0,0,0,0,2
"7인","2021","광주광역시",0,0,0,0,31,0,0,0,0,0,0,1,0,2,0,0,0
