"시점","행정구역별",남 (명),여 (명)
"2021","광주광역시",713015,728596
"2021","대전광역시",724626,727625
"2021","울산광역시",576217,545375
"2021","세종특별자치시",185678,186217
"2021","경기도",6827298,6738152
"2021","강원도",774332,764160
"2021","충청북도",810672,786755
"2021","충청남도",1083366,1035891
"2021","전라북도",888994,897861
"2021","전라남도",922221,910582
"2021","경상북도",1323661,1302948
"2021","경상남도",1668338,1645845
"2021","제주특별자치도",339177,337582
"2022","서울특별시",4570048,4858324
"2022","부산광역시",1619915,1697897
"2022","대구광역시",1162865,1200826
"2022","인천광역시",1485175,1482139
"2022","광주광역시",707299,723751
"2022","대전광역시",721245,724827
"2022","울산광역시",570368,540295
"2022","세종특별자치시",191389,192202
"2022","경기도",6839276,6750156
"2022","강원도",772947,763551
"2022","충청북도",810782,784276
"2022","충청남도",1086632,1036405
"2022","전라북도",880592,889015
"2022","전라남도",915272,902425
"2022","경상북도",1311881,1288611
"2022","경상남도",1651675,1628818
"2022","제주특별자치도",339590,338569
