"가정별","성별","연령별",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","45 - 49세",2104888,2057463,2048855,2035425,2125961,2154449,2200173,2228237,2244349,2206645,2159864,2074336,1998180,1929560
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","50 - 54세",1961827,2078358,2127006,2174567,2153964,2123620,2058038,2056212,2046854,2138136,2160734,2203458,2227687,2239207
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","55 - 59세",1420113,1546118,1633180,1737360,1857434,1951809,2080676,2123676,2176334,2148244,2115505,2044423,2042287,2030851
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","60 - 64세",1128921,1176122,1213715,1247802,1297261,1404900,1528218,1615386,1720944,1840431,1937587,2065385,2103576,2152660
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","65 - 69세",1007312,982408,991450,1006436,1047495,1095999,1150604,1187813,1224345,1271411,1382094,1501043,1585271,1688374
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","70 - 74세",875369,897257,940767,979241,980699,983369,948477,956466,969497,1009612,1061419,1115455,1152833,1190258
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","75 - 79세",638739,679260,712482,743323,779558,804154,826652,873516,915243,917522,922655,891729,901862,916599
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","80 - 84세",387547,410686,438974,465166,491882,526920,567927,601756,631903,668672,696308,719902,766878,808102
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","85 - 89세",188964,198879,210619,221824,244965,267549,287025,309209,330352,354414,385986,421735,452548,479906
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","90 - 94세",60109,66212,72887,84211,88979,92698,99590,107174,114711,130469,145710,158728,175213,191341
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","95 - 99세",12251,14049,15652,16689,17537,19133,21534,24744,29728,30579,32281,35207,39454,44215
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","100세 이상",1985,2041,2182,2264,2438,2698,3003,3325,3554,3981,4492,4815,5538,6928
