"이동규모별","시점","전출지별",서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"1인","2012","서울특별시",363976,10915,6698,23409,6887,8369,3920,1102,150870,14194,9286,14021,10886,10253,10387,10056,4204
"1인","2012","부산광역시",15969,117890,3218,1957,886,1405,7373,179,11110,1442,1166,2179,1129,2207,6812,30073,1244
"1인","2012","대구광역시",10172,3197,75990,1218,415,1131,2544,120,8169,1088,1139,1626,590,639,25392,5682,464
"1인","2012","인천광역시",19125,1620,1000,90540,1164,1603,688,238,30619,3329,2312,4908,2336,2363,2345,1838,804
"1인","2012","광주광역시",8660,885,364,1357,54111,872,387,94,7535,530,559,1138,3643,20786,593,916,483
"1인","2012","대전광역시",9766,1121,918,1669,682,49402,518,2227,8556,1088,4775,9847,2346,993,1805,1345,312
"1인","2012","울산광역시",4957,5755,1870,660,246,529,33861,29,3441,612,501,824,513,555,4562,4353,257
"1인","2012","세종특별자치시",721,86,62,150,55,1163,39,1228,821,98,960,1054,117,92,122,107,22
"1인","2012","경기도",130083,8335,6123,31618,6503,8287,3326,1436,398506,17829,12809,20116,11624,10588,11663,9207,3466
"1인","2012","강원도",15039,1346,1087,3415,499,1269,737,139,17862,54829,2713,1901,889,800,2543,1463,350
"1인","2012","충청북도",9959,975,919,2189,450,5071,537,1175,12271,2522,49221,3654,1070,745,2352,1207,306
"1인","2012","충청남도",14245,1459,990,4293,870,10136,664,1573,18963,1620,3503,58061,3233,1584,2029,1692,444
"1인","2012","전라북도",12956,1061,632,2656,3583,2798,636,242,13526,945,1236,3760,81984,3391,1027,1385,407
"1인","2012","전라남도",12057,2127,549,2549,22368,1223,660,117,11930,782,884,2027,3588,60987,1091,2644,597
"1인","2012","경상북도",13450,6285,24236,2499,490,2241,5220,179,13161,2433,2627,2753,916,1052,81804,5915,491
"1인","2012","경상남도",13417,26287,5238,2037,933,1555,5007,153,10722,1559,1359,2104,1288,2751,6297,109166,807
"1인","2012","제주특별자치도",3938,1026,405,661,478,268,250,21,2901,288,281,423,336,585,432,736,19371
"1인","2013","서울특별시",358981,10800,6944,22906,6130,8130,3838,1208,144360,13431,9152,13338,10004,9692,10120,9788,4555
"1인","2013","부산광역시",14803,121456,3133,1853,710,1330,7451,145,9998,1409,1132,1951,978,2122,6609,29530,1253
"1인","2013","대구광역시",9820,3339,78172,1330,337,1240,2514,133,8246,1178,1208,1578,610,596,25413,5457,535
"1인","2013","인천광역시",19510,1551,1061,89933,1092,1506,749,286,29373,3393,2418,4909,2124,2264,2266,1846,873
"1인","2013","광주광역시",8050,754,340,1298,54630,878,308,118,6688,550,512,1198,3239,20461,575,920,456
"1인","2013","대전광역시",9494,1100,944,1523,694,48717,517,1701,8352,1151,4724,9620,2221,1003,1773,1355,360
"1인","2013","울산광역시",4779,6089,1993,646,226,490,33453,40,3388,564,494,809,562,573,4595,4481,243
"1인","2013","세종특별자치시",783,95,71,176,75,1173,44,1232,903,105,952,1066,163,87,134,118,22
"1인","2013","경기도",125964,7933,6212,31583,5751,7820,3320,1384,390163,17213,12829,19517,10582,10142,11030,8967,3846
"1인","2013","강원도",14350,1201,1021,3228,478,1129,677,127,16546,53211,2603,1830,896,757,2376,1378,386
